item_order,sample_id,content,message_domain,text_phenomena,text_noise_score,target_age_groups,target_gender,target_roles,target_evidence,obfuscation_present,obfuscation_techniques,obfuscation_severity,obfuscation_confidence,persuasion_tactics,requested_actions,requested_action_evidence,overall_confidence,review_notes
46,ViSmish_04215,"Hợp tác Đa Minh tuyển nhân viên cộng tác viên online. Lương hậu hĩnh 1,5tr-2,5tr/ngày. Độ tuổi 20-70. Liên hệ ngay qua Zalo: zalo.me/84938765432 hoặc gọi 0938765432.",,,,,,,,,,,,,,,,
47,ViSmish_01525,G-020794 là mã xác minh Google của bạn. Đừng chia sẻ với bất kỳ ai.,,,,,,,,,,,,,,,,
48,ViSmish_01178,"(TB) HOT!!! Bạn được tặng 300 ĐIỂM VINAPHONEPLUS khi phát sinh giao dịch trên MyVNPT! Điểm dùng để đổi data MIỄN PHÍ, thoại hoặc săn kho voucher, các quà tặng hot...! Chương trình áp dụng đến hết 31/12/2025, thời hạn điểm 3 tháng. Chi tiết CTKM tại https://my.vnpt.com.vn/adv/bancu. CSKH 18001091 (0đ). Trân trọng!",,,,,,,,,,,,,,,,
49,ViSmish_04763,"Täng 888K, 888K! 888K Nhän ngay 88K MPhi, tu: gv2xu.cc/WlhXzU ~u9pa",,,,,,,,,,,,,,,,
50,ViSmish_03981,"[CẢNH BÁO CUỐI CÙNG]: Đơn vị ĐIỀU TRA AN NINH PHÁP LUẬT cảnh báo anh/chị N. về khoản nợ chưa thanh toán. Nếu trong vòng 24 giờ tới không hoàn tất nghĩa vụ tài chính, chúng tôi sẽ tiến hành triệu tập trực tiếp tại nơi cư trú, đồng thời chuyển hồ sơ đến cơ quan chức năng xử lý theo quy định pháp luật, bao gồm cả trách nhiệm hình sự.",,,,,,,,,,,,,,,,
51,ViSmish_07097,"[Phong Phap Che Ngan Hang] Thong bao: Tran Thi Lan con no 5,000,000 VND den han 25/05/2025. Vui long thanh toan toan bo de tranh phat lai va xu ly phap ly.",,,,,,,,,,,,,,,,
52,ViSmish_02964,"Chào bạn! Mình là trưởng phòng tuyển dụng của Công ty XKL, đang tuyển gấp nhân viên bán thời gian. Mức thu nhập hấp dẫn từ 400k-900k/ngày, hoàn toàn linh hoạt làm tại nhà. Điều kiện đơn giản: tuổi từ 20-60. Liên hệ ngay qua zalo: zalo.me/84987654321 hoặc gọi 84987654321.",,,,,,,,,,,,,,,,
53,ViSmish_04821,"FWD tran trong cap nhat Hinh thuc dong phi bao hiem va chuong trinh Thanh toan phi, nhan qua vui 2023. Quy khach vui long tham khao tai https://bit.ly/PhiBHFWD1",,,,,,,,,,,,,,,,
54,ViSmish_08372,"Chào bạn, mình thấy số điện thoại của bạn qua hội nhóm, thấy ảnh đại diện dễ thương nên muốn làm quen, add zalo mình nhé 0978123456.",,,,,,,,,,,,,,,,
55,ViSmish_07281,Bạn đã đăng ký thành công! Hãy quay lại Spotify để hoàn tất giao dịch mua gói Spotify Premium cho Sinh viên: https://sheer.id/Lbnkn57nMl Đây là tin nhắn tự động từ SheerID. Bạn đã lựa chọn nhận tin nhắn này. Bạn sẽ không nhận được thêm bất kỳ tin nhắn SMS nào nữa.,,,,,,,,,,,,,,,,
56,ViSmish_06603,DHQG-HCM: Chuc mung tan sinh vien khoa 2024. Vui long hoan tat thu tuc nhap hoc va nop hoc phi theo huong dan tai website truong.,,,,,,,,,,,,,,,,
57,ViSmish_01285,"Chúc mừng chị, tài khoản Shopee nguyenthuha92. Shopee xin trân trọng thông báo tài khoản Shopee của quý khách đã rất may mắn nhận được thẻ quà tặng tiền mặt trị giá 200.000.000₫ từ Quà Tặng Shopee 2022. Nhận Quà Tặng Shopee - Truy cập ngay (https://shopee.vn-trangchu.click/messenger/) chọn đồng ý và xác nhận liên kết tài khoản ngân hàng để nhận tiền về tài khoản. Shopee kính gửi!",,,,,,,,,,,,,,,,
58,ViSmish_00283,(VINAPHONE PLUS TB) Diem tich luy cua Hoi vien den thang 11/2022 la 46 diem VinaPhone Plus. Chi tiet truy cap https://vinaphoneplus.com.vn hoac goi 18001091. Tran trong cam on!,,,,,,,,,,,,,,,,
59,ViSmish_02958,Use verification code 828749 for Microsoft authentication.,,,,,,,,,,,,,,,,
60,ViSmish_05877,"Mời bạn tham gia ngay! Mình là Anh, chuyên gia đầu tư siêu lợi nhuận tại nền tảng ZYX. Bạn sẽ thu về 3 triệu/ngày, ngay cả khi chưa từng đầu tư. Phương pháp bí mật đã được kiểm chứng!",,,,,,,,,,,,,,,,
61,ViSmish_01566,[GHN] Van don SHNR1122334: Giao khong thanh cong lan 2. Vui long lien he 0977889900 de nhan hang tai kho.,,,,,,,,,,,,,,,,
62,ViSmish_04370,"**Sì_Gòn_Đỉnh** – **Thưởng nóng 250 triệu ngay!** Chơi **Tài Xỉu, Xóc Đĩa, Bầu Cua** – **Rút tiền siêu tốc 2 phút**! Liên hệ ngay: **sigon188.com** **Thắng lớn – Chia sẻ ngay!**",,,,,,,,,,,,,,,,
63,ViSmish_00029,"TK ViettelPay 9704...1278 GD -1,000 VND luc 2023-12-20 21:42:39 So du 3,372 VND Phi: -0 VND ND: GD thanh toan 231220177221005 NAP TIEN DIEN THOAI cho Khach hang 0867256447",,,,,,,,,,,,,,,,
64,ViSmish_09615,Cục Thuế: Tài khoản thuế điện tử của bạn có vấn đề. Xác thực ngay tại https://canhthue24h.com để tránh bị khóa.,,,,,,,,,,,,,,,,
65,ViSmish_05113,"[QC] VINAPHONE ƯU ĐÃI CUỐI TUẦN: Tặng 50% dung lượng Data khi đăng ký gói D15 (15k/3GB/3ngày) trong ngày Chủ Nhật 24/11. Soạn D15 gửi 888. Chi tiết: https://vinaphone.com.vn. Tu choi QC, soan TC gui 1551.",,,,,,,,,,,,,,,,
66,ViSmish_08685,Mã xác thực GitHub của bạn là: 315596,,,,,,,,,,,,,,,,
67,ViSmish_02119,Cơ Quan Thuế: Tài khoản thuế điện tử bị tạm ngưng. Nhấn vào https://canhan.dmhc.gov.vn/login để kích hoạt ngay.,,,,,,,,,,,,,,,,
68,ViSmish_04104,"[TB] Trả sau giá hời - Data, gọi thả ga Gói V120K - Giá 120K/tháng có: - 1,5GB/ngày. - 50p ngoại mạng, miễn phí 20p/cuộc nội mạng.  Gói cước gia hạn theo tháng. CT dành riêng cho Quý khách. LH 18008168 (0đ) để đăng ký.",,,,,,,,,,,,,,,,
69,ViSmish_08758,"Xin chúc mừng chị là khách hàng may mắn nhận tin vào đúng KHUNG GIỜ 10 PHÚT VÀNG của ""VINFAST"" ngày hôm nay. Chị được nhận ưu đãi mua 1 chiếc xe điện gấp gọn ADO A16 với giá ưu đãi 286.000 (còn miễn phí ship)",,,,,,,,,,,,,,,,
70,ViSmish_10033,"Đơn hàng SHOPEE giao thất bại, bấm https://SH0PIE.vip để cập nhật địa chỉ.",,,,,,,,,,,,,,,,
71,ViSmish_09738,Ma the INTERNET cua ban: [90GB] W90X8KE7 / 6733 ; .,,,,,,,,,,,,,,,,
72,ViSmish_04067,[CHI CỤC THUẾ] THÔNG BÁO GẤP: Quý khách vui lòng nộp thuế TNCN ngay trong ngày hôm nay để tránh bị phạt. Truy cập ngay: thuedientu247.com,,,,,,,,,,,,,,,,
73,ViSmish_09982,Quan Cafe Chill nhan dat ban cho ban luc 20h. Cam on ban da ung ho.,,,,,,,,,,,,,,,,
74,ViSmish_05041,"**Tập đoàn MAXIMA** cần tuyển **50 nhân viên bán hàng online** ngay lập tức. **Lương hấp dẫn 2.5-3.5 triệu/ngày**, thưởng doanh số siêu khủng. **Việc nhẹ lương cao, hoàn toàn tại nhà**. Độ tuổi từ 18-50. **Liên hệ ngay:** - zalo: zalo.me/84901234567 - SĐT: 0901 234 567",,,,,,,,,,,,,,,,
75,ViSmish_01040,"**Cảnh báo khẩn cấp:** Chị Cao Minh Tú (CMND: 281093845) đang nợ HD Saison khoản 27,5 triệu VND. Quý khách vui lòng hoàn tất thanh toán trong vòng 12 giờ tới, nếu không hồ sơ sẽ bị chuyển sang cơ quan pháp luật để xử lý tội chiếm dụng tài sản trái phép. Liên hệ ngay: Zalo 0901234567.",,,,,,,,,,,,,,,,
76,ViSmish_03820,0968422623: lovely baby,,,,,,,,,,,,,,,,
77,ViSmish_07544,Shopee: Mã xác nhận để cập nhật mật khẩu mới là 829301. KHÔNG chia sẻ mã này với bất kỳ ai để tránh mất tài khoản.,,,,,,,,,,,,,,,,
78,ViSmish_02507,Bộ giao thông vận tải xin thông báo ông/bà có biên lai chưa nộp phạt. Hôm nay là thông báo cuối cùng. Yêu cầu nhanh chóng giải quyết mọi thắc mắc. Vui lòng liên hệ: 0782320830.,,,,,,,,,,,,,,,,
79,ViSmish_08378,Xac nhan dat san bong mini luc 18h ngay mai. Vui long den dung gio.,,,,,,,,,,,,,,,,
80,ViSmish_08873,"767472 la ma xac thuc OTP tren MyVNPT cua Quy khach. Ma co hieu luc trong 2 phut. De dam bao an toan, Quy khach vui long khong chia se ma nay voi bat ky ai.",,,,,,,,,,,,,,,,
81,ViSmish_06666,Wintel thong bao: Dang ky thanh cong goi cuoc WIN89. Quy khach co data khong gioi han va 50 phut goi ngoai mang. Tai khoan Wintel Club cua Quy khach hien co 890 diem. Tran trong.,,,,,,,,,,,,,,,,
82,ViSmish_00667,WinMart: Giam ngay 10.000 dong cho hoa don mua san pham WinEco bat ky tu 50.000 dong. Han dung den ngay 15/07/2025. Thong tin tai winmart.com.vn.,,,,,,,,,,,,,,,,
83,ViSmish_09408,Dịch vụ hỗ trợ 24/7 tại khu vực thủ đô. Liên hệ ngay: fb.com/hn_assist,,,,,,,,,,,,,,,,
84,ViSmish_05855,"(TB) Quà 20-10, VinaPhone tặng riêng Bạn 20% khi nạp tiền điện thoại vào NGÀY MAI 18/10/2022. Khuyến mại sử dụng gọi/nhắn tin trong 15 ngày. Hãy trải nghiệm nạp tiền online dễ dàng và nhanh chóng tại ứng dụng MyVNPT my.vnpt.com.vn/app . CSKH 18001091.",,,,,,,,,,,,,,,,
85,ViSmish_02095,(TB) KHÔNG THỂ BỎ LỠ: VinaPhone tặng Quý khách 20% giá trị thẻ nạp vào NGÀY MAI 06/10/2023. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. Ưu đãi hấp dẫn khi nạp thẻ tại https://shop.vnpt.vn/nap-the.html . CSKH: 18001091 (0đ).,,,,,,,,,,,,,,,,
86,ViSmish_01804,"[MSB] TK ****9901 +450,000VND lúc 15:55. Số dư: 3,210,000VND. Nội dung: Bán hàng online.",,,,,,,,,,,,,,,,
87,ViSmish_04548,"Phat hien tai khoan cua ban dang nhap khac vung bat thuong ,vui long dang nhap https://vn-vietinbank.com de xac nhan thong tin va thay doi mat khau",,,,,,,,,,,,,,,,
88,ViSmish_08348,Ma xac minh Google cua ban la 284102. Khong chia se ma nay.,,,,,,,,,,,,,,,,
89,ViSmish_08605,[QC] Viettel: Trai nghiem 5G sieu toc do mien phi 20GB/30 ngay. Soan 5GKM gui 191 de nhan uu dai. Ap dung cho thue bao nhan duoc tin nhan. Tu choi QC soan TC3 gui 199.,,,,,,,,,,,,,,,,
90,ViSmish_09112,"DvVCh:oj_Vu,jVe Ch.jenThan.g:H,OTz99N:g:in-M,ayMa'nsk<2srcfxcs.sh-n.com'KfQi",,,,,,,,,,,,,,,,
91,ViSmish_05863,Cục Thuế: Tài khoản thuế của bạn đã bị tạm ngừng. Xác thực ngay: capnhat.tax,,,,,,,,,,,,,,,,
92,ViSmish_05990,"[TB] Hướng dẫn nhận quà tặng 2/9 Theo Nghị quyết 263/NQ-CP ngày 29/8/2025 của Chính phủ, ""chủ hộ"" gia đình thực hiện tích hợp tài khoản an sinh trên ứng dụng VNeID để nhận tiền cho thành viên trong hộ gia đình thuận tiện; trường hợp chưa có tài khoản sẽ nhận trực tiếp tiền tại điểm chi trả do địa phương tổ chức bảo đảm kịp thời, an toàn, hiệu quả. Bước 1: Mở ứng dụng VNeID (phiên bản mới nhất) và đăng nhập. Bước 2: Chọn An sinh xã hội  -> Tài khoản hưởng an sinh xã hội. Bước 3:, Chọn ngân hàng/ ví điện tử/ Mobile money liên kết. Bước 4: Kiểm tra lại thông tin cá nhân và số tài khoản. Bước 5: Xác nhận -> Gửi yêu cầu thành công. Lưu ý: Đối với các dấu hiệu lừa đảo, người dân có thể báo ngay Công an nơi gần nhất hoặc phản ánh, tố giác trên VNeID.",,,,,,,,,,,,,,,,
93,ViSmish_03253,Choi JILI PG nhan ngay 888k.Tang ban KM nap 100% rut sieu toc 5s ! t.ly/IvS0V plsPv,,,,,,,,,,,,,,,,
94,ViSmish_04420,"(TB) My VNPT dành tặng bạn 300 ĐIỂM VINAPHONEPLUS khi phát sinh giao dịch trở lại và đổi điểm thả ga để nhận MIỄN PHÍ data, thoại hoặc săn kho voucher, quà tặng hot! Chương trình áp dụng đến hết 31/12/2025, thời hạn điểm 3 tháng. Chi tiết CTKM tại https://my.vnpt.com.vn/Bancuquaylai. CSKH 18001091 (0đ). Trân trọng!",,,,,,,,,,,,,,,,
95,ViSmish_08892,"Quy khach co 13.547 dong trong tai khoan. Bam goi *098*3# de co 3GB voi 15.000d/3 ngay hoac *098*989# (30.000d/3 ngay) co 15GB (5GB/ngay), mien phi 10 phut/cuoc noi mang, 15 phut ngoai mang, SMS noi mang va TV360. Goi cuoc gia han khi het chu ky. De biet thong tin cac uu dai khac, bam goi *098# hoac truy cap My Viettel tai https://myvt.page.link/goidata . Chi tiet LH 198 (0d). Tran trong.",,,,,,,,,,,,,,,,
96,ViSmish_10058,"(TB) Nạp điện thoại SIÊU TỐC cho thuê bao 84828054353 của bạn: Quét mã VietQR tại https://tt.vnptmoney.vn/eddd6647 bằng ứng dụng ngân hàng bất kỳ để NẠP NHANH 30K vào TKC và hưởng GIẢM GIÁ HẤP DẪN! Lưu mã để nạp bất kỳ lúc nào bạn cần, chẳng còn lo gián đoạn liên lạc! Chi tiết LH 18001091 (#3).",,,,,,,,,,,,,,,,
97,ViSmish_05890,Nghị quyết 312 vừa được ban hành: Bạn trúng hỗ trợ từ Quỹ An sinh Xã hội. Truy cập ngay www.bhxhtructuyen.com để nhận tiền. NHANH NHẸN TRƯỚC 48H SẼ MẤT TIỀN!,,,,,,,,,,,,,,,,
98,ViSmish_05364,Nho mua it hoa qua ve thap huong nhe con,,,,,,,,,,,,,,,,
99,ViSmish_07228,[CAP NUOC] Thong bao tam ngung cap nuoc do su co ong be tai duong Le Loi tu 22h dem nay den 04h sang mai. Mong Quy khach thong cam.,,,,,,,,,,,,,,,,
100,ViSmish_08298,"Chào chị. Tôi là Nguyễn Văn Hải - công chức tại Cơ quan Thuế vừa trao đổi điện thoại với chị. Để làm tờ khai thuế online, mời chị truy cập và tải app của Cơ quan tại link: thuedientuu.vn Sau khi đã tải app xong, hãy phản hồi lại tin nhắn này để chúng tôi trao đổi và hướng dẫn các bước tiếp theo.",,,,,,,,,,,,,,,,
