sample_id,content,label,data_origin,source_dataset,source_file,source_row_id,message_domain_v2,target_age_groups,target_gender,target_occupations,target_life_statuses,target_evidence,text_phenomena,text_noise_score,obfuscation_present,obfuscation_techniques,obfuscation_severity,persuasion_tactics,annotation_confidence,annotator_id,review_notes
phase1_02559,"hI Dang Ky Tang 58K, Nap Dau Tang 1OO%. Hoan Tra Khong Gioi Han. xqiG3Qv.Gezne.de rCO",1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,238,,,,,,,,,,,,,,,
phase1_00027,"""Thông tin minh bạch - Tiêu dùng an toàn"" là chủ đề Ngày Quyền của người tiêu dùng Việt Nam 2023",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,26,,,,,,,,,,,,,,,
phase1_00586,"TK ViettelPay 9704...1278 GD -4,850 VND luc 2023-04-17 12:46:35 So du 375 VND Phi: -0 VND ND: GD thanh toan 230417185157482 NAP TIEN DIEN THOAI cho Khach hang 0867256447",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,585,,,,,,,,,,,,,,,
phase1_02424,"Xin chuc mung TB0912345678 Da trung thuong ""1 IP14s"" trong chuong trinh du thuong cuoi nam Lien He: 1>9>0>0>1>9>9>5 de nhan giai. De nghi LH truoc ngay 28/01",1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,102,,,,,,,,,,,,,,,
phase1_09569,T1kT0k dang tuyen nh4n vien. Thu nh4p 350-999k/ngay. Nhan tien s4u 13-25 phut. Tuoi 22-60. Lien he: zalo.me/84926000026 Zalo: 84926000026,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,4006,,,,,,,,,,,,,,,
phase1_00285,[TB] Ban co KHUYEN MAI 45% nap the Viettel duy nhat 31/5-1/6/2024 tren Viettel Money (gom tang 35% gia tri the nap + hoan tien 10%). Nap ngay tai https://km.vtmoney.vn/314y/km45,0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,284,,,,,,,,,,,,,,,
phase1_02426,"DIEN LUC thong bao khach hàng Nguyễn Hoàng AnhPE12DN0456789, co tong so hoa don 1, voi tong tien 607262dong. De nghi Quy khach thanh toan trong vong 2 ngay ke tu khi nhan duoc tin nhan. Neu Quy khach da thanh toan, vui long bo qua tin nhan nay.",1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,104,,,,,,,,,,,,,,,
phase1_05010,Shopee: Don hang #240612PLKMNJB cua ban dang duoc Shop chuan bi. Du kien se duoc giao cho don vi van chuyen trong 24h toi.,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,2443,,,,,,,,,,,,,,,
phase1_02508,Dang ky + 558k .( Nap 50k nhan 108k ) 1 vong cuoc la rut MAXX 8.888k. No Hu . Ban Ca. BCR... DK : t.ly/DJyj1 ZnReS,1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,186,,,,,,,,,,,,,,,
phase1_02515,"Giaitri2Q tangban 68K (NQ0106E5G88QL28) choithu, nap200 nhanngay 368 , sieuhoantra 1.4%, cuuthua 8% moingay. Tham gia nhan thuong tai t.ly/HBQ_l",1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,193,,,,,,,,,,,,,,,
phase1_02325,"Bắc, tài khoản tài chính của bạn đã được thêm vào. Tài khoản: Nay128 Mật khẩu: yk6698 USDT Số dư: 1,080,096.50 [ ehoaq. com ] Vui lòng giữ nó ở nơi an toàn.",1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,3,,,,,,,,,,,,,,,
phase1_00667,"Quý khách đã hủy khôi phục gói V120Z. Để biết thông tin các ưu đãi khác, bấm gọi *098#. Chi tiết LH 198 (0đ). Trân trọng.",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,666,,,,,,,,,,,,,,,
phase1_02918,Ma xac thuc VNeID cua ban la 391054. Ma co hieu luc trong 5 phut.,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,350,,,,,,,,,,,,,,,
phase1_10161,SACOMBANK: T41 kH04n cua ban da du dieu kien nhan qua tRU n13n. Truy cap http://sacombank.cc de nhan truoc 12h tRU4 nay.,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,4598,,,,,,,,,,,,,,,
phase1_02427,"Phục vụ số một việt nam, người mẫu, diễn viên, nhân viên văn phòng, dịch vụ tốt nhất hiện nay. đăng ký ngay: !ncina.ids",1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,105,,,,,,,,,,,,,,,
phase1_02397,https://www.google.com/search?q=cash688299.com t.h.u.o.n .g.108.-.188.k....B.E.A.N.,1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,75,,,,,,,,,,,,,,,
phase1_02299,"(TB) Chúc mừng đội tuyển VIỆT NAM VÔ ĐỊCH ASEAN CUP 2024, VinaPhone tặng riêng Quý khách 20% giá trị thẻ nạp vào HÔM NAY 07/1/2025 (khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày). Cơ hội trúng iPhone 16 Pro Max và hàng ngàn giải thưởng tổng trị giá hơn 5,5 TỶ đồng khi nạp thẻ từ 20.000đ. Thêm ưu đãi hời khi nạp thẻ tại https://my.vnpt.com.vn/adv/napthe . CSKH: 18001091 (0đ).",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,2304,,,,,,,,,,,,,,,
phase1_02197,"(TB) Ưu đãi dành riêng BẠN CŨ: My VNPT tặng bạn 300 ĐIỂM VINAPHONEPLUS khi phát sinh giao dịch trở lại. Điểm dùng để đổi MIỄN PHÍ data, thoại hoặc săn kho voucher, quà tặng hot! Ưu đãi áp dụng đến hết 31/12/2025, thời hạn điểm 3 tháng. Chi tiết tại https://my.vnpt.com.vn/Bancuquaylai. CSKH 18001091 (0đ). Trân trọng!",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,2202,,,,,,,,,,,,,,,
phase1_00380,"Viettel TB: Gói V15B đã được hủy theo yêu cầu của Quý khách. Để biết thêm thông tin các gói Mobile Internet khác, bấm gọi *098# hoặc truy cập My Viettel tại https://viettel.vn/goidata . Chi tiết LH 198 (0đ). Trân trọng.",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,379,,,,,,,,,,,,,,,
phase1_05185,Homestay Da Lat xac nhan Quy khach da dat phong thanh cong cho ngay 15/11.,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,2618,,,,,,,,,,,,,,,
phase1_00123,"Nhap ma OTP 3241 de xac thuc Dang nhap tren ung dung My Viettel. Ma OTP se het han sau 5p. Chi tiet LH 18008098 (0d) hoac truy cap https://viettel.vn/app. De dam bao an toan cho tai khoan cua Quy khach, vui long khong chia se ma xac thuc nay voi bat ky ai.",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,122,,,,,,,,,,,,,,,
phase1_09971,G:A:I_x:I:N:H_v;U;I_v;3_H:N_Z;a;I;o: zalo.me/g/hn_vui_v3_99_vv B2nQ,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,4408,,,,,,,,,,,,,,,
phase1_00272,TB  Dung quen Ban dang co voucher MIEN PHI 5.000d khi nap dien thoai Viettel. Mo app hoac truy cap https://km.vtmoney.vn/314y/uudai2 de su dung uu dai Ban nhe.,0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,271,,,,,,,,,,,,,,,
phase1_02262,"Quy khach da thanh toan dich vu Mua bao hiem thanh cong. Ma giao dich 250207757676944. So tien 99.000 VND, phi giao dich 0 VND. Thoi gian giao dich 07/02/2025 17:26:26. Cam on Quy khach!",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,2267,,,,,,,,,,,,,,,
phase1_00637,Năm mơi chi chuc e cung gđ ăn têt  vui ve va hp bên nhau .Chuc e moi điêu tôt đep,0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,636,,,,,,,,,,,,,,,
phase1_00670,Viettel TB: Quý khách đã dùng hết ưu đãi 1GB/ngày trên toàn quốc của gói V120Z. Chi tiết LH 198 (0đ). Trân trọng.,0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,669,,,,,,,,,,,,,,,
phase1_01495,(TB) TUẦN MỚI - ƯU ĐÃI TỚI! VinaPhone tặng riêng Quý khách 20% giá trị thẻ nạp HÔM NAY 19/03/2024. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. Ưu đãi hấp dẫn khi nạp thẻ tại https://my.vnpt.com.vn/adv/napthe . CSKH: 18001091 (0đ).  VinaPhone - Mạng di động nhanh nhất Việt Nam!,0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1497,,,,,,,,,,,,,,,
phase1_05643,Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.wsxza.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,76,,,,,,,,,,,,,,,
phase1_02364,"tORKiM! ay:Ma""n;N,ha7lXklq,uoacx.tech*;G^ja*nh$ap! nhan:thu""0g;Ho,ngbao'a~n^t*o$n!hayP3m56",1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,42,,,,,,,,,,,,,,,
phase1_02570,Highland Coffee: Mua 2 tinh 1 cho dong Tra va Freeze vao khung gio 14h-18h hang ngay. Han dung 30/04/2026. Xem menu tai highlandscoffee.com.vn.,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,2,,,,,,,,,,,,,,,
phase1_03660,[MTTQ VN] Tran trong cam on Quy khach da ung ho 500.000d vao Quy cuu tro thien tai. Moi su dong gop cua ban deu gop phan giup do dong bao vuot qua kho khan.,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,1092,,,,,,,,,,,,,,,
phase1_01094,"[QC] NẠP THẺ LIỀN TAY, NHẬN NGAY QUÀ KHỦNG 1.Thẻ mệnh giá dưới 50.000đ, tặng 6GB/3 ngày: 3GB trên các hạ tầng (ST15K)+3GB trên 4G 2.Thẻ mệnh giá từ 50.000đ trở lên, tặng 14GB/7 ngày: 7GB trên các hạ tầng (ST30K)+7GB trên 4G CT áp dụng với THẺ NẠP ĐẦU TIÊN trong ngày 25/01 cho TB của Quý khách. LH 198 (0đ). Từ chối QC, soạn TC1 gửi 199",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1095,,,,,,,,,,,,,,,
phase1_00327,[TB] Dung quen Ban dang co voucher MIEN PHI 5.000d khi nap dien thoai Viettel se HET HAN HOM NAY 17/04/2024. Mo app hoac truy cap https://km.vtmoney.vn/314y/uudai2 de su dung uu dai Ban nhe.,0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,326,,,,,,,,,,,,,,,
phase1_02419,UUNGDUNG VCB DIGIBANK cua ban duoc PHAT HIEN KICH HOAT tren thiet bi la. Neu KHONG PHAI BAN KICH HOAT vui long bam vao https://vietcombank.vn-ms.top de doi thiet bi hoac huy de tranh mat tai san,1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,97,,,,,,,,,,,,,,,
phase1_02389,BAN-da du d!euÜk!en NHANÜT!EN ho-tro tu quy-BHTN.€Bam vao> m.oxmqhu.com de Iay. ‘QUA’-HAN-SE-KH0NG DU0C CHAP-NHAN!,1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,67,,,,,,,,,,,,,,,
phase1_02543,t.ly/PDAB CVѴ l N phát ṱh ư ở g ae 1OOOṯ ỷ Ѵ à o 1 ẖàg Th á ng  lFrwO,1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,222,,,,,,,,,,,,,,,
phase1_02408,EBAY Shop hợp tác với EMIME COMPANY cần tuyển nhân viên làm việc tại nhà !!! Số lượng có hạn chỉ 80 người !!! Công việc : Xử lý đơn hàng trên nền tảng ứng dụng !!! Yêu cầu độ tuổi: 22 ~ 55 tuổi !!! Thu nhập 260k - 1180k / ngày !!! Nhận tiền trong ngày !!! Zalo: zalo.me/ 84886977590 Liên hệ / zalo: 84886977590,1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,86,,,,,,,,,,,,,,,
phase1_08158,[TECHCOMBANK] phát hiện giao dịch 20 triệu. Vui lòng vào techcombank.cc để xác nhận hoặc hủy.,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,2594,,,,,,,,,,,,,,,
phase1_03895,Tiki: Cam on ban da dat hang. Don hang TKI-1122334455 dang duoc Tiki xu ly va se som ban giao cho van chuyen.,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,1328,,,,,,,,,,,,,,,
phase1_01894,G-441032 là mã xác minh Google của bạn. Đừng chia sẻ với bất kỳ ai.,0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1898,,,,,,,,,,,,,,,
phase1_03653,[Cuc Thue] Nhac nho: Han cuoi nop to khai thue TNCN quy 3/2024 la ngay 31/10/2024. Quy khach vui long thuc hien khai thue tai thuedientu.gdt.gov.vn. LH 02437689679.,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,1085,,,,,,,,,,,,,,,
phase1_02376,"DIEN LUC thong bao khach hang Trần Văn Bình PE15HN0234567, co tong so hoa don 1, voi tong tien: 160956dong. De nghi Quy khach thanh toan trong vong 2 ngay ke tu khi nhan duoc tin nhan. Neu Quy khach da thanh toan, vui long bo qua tin nhan nay.",1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,54,,,,,,,,,,,,,,,
phase1_06130,Shopee dang tuyen nh4n vien xu ly don v4 danh gia san ph4m. Thu nh4p 500k-1500k/ngay. Zalo: zalo.me/84778901234,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,566,,,,,,,,,,,,,,,
phase1_04417,Nho gui bao cao truoc 5h nha em.,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,1850,,,,,,,,,,,,,,,
phase1_09917,3B4y tuyen nh4n vien xu ly don hang TMDT. Thu nh4p 500k-3000k/ngay. Tuoi 23-65. Lien he Zalo: zalo.me/84888112233 Zalo: 84888112233,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,4354,,,,,,,,,,,,,,,
phase1_01085,"Sacombank kinh chuc Quy khach hang HOANG THI THUY tuoi moi that nhieu dieu may man, vui ve, hanh phuc va thanh cong",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1086,,,,,,,,,,,,,,,
phase1_02494,"Game bài đổi thưởng uy tín, tài xỉu xóc đĩa md5, tặng code 50k miễn phí, LINK:k98.me",1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,172,,,,,,,,,,,,,,,
phase1_08594,Bo LDTBXH: B4N_da-du DIEU KIEN nh4n T1EN ho~tro tu QUY-BHTN. Nhan tai: mo.asdfg.com. QUA-HAN*SE*KH0NG_DUOC! bN8m,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,3030,,,,,,,,,,,,,,,
phase1_01729,"TKC cua Quy Khach khong du de thuc hien cuoc goi. De duoc ung 20 PHUT THOAI(Gia cuoc 32000d), soan 3 gui 9345 (hieu luc trong vong 48h). Tu choi nhan tin, soan TC gui 9345.",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1733,,,,,,,,,,,,,,,
phase1_04891,TikTok: 283109 is your verification code.,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,2324,,,,,,,,,,,,,,,
phase1_00188,[TB] Dung quen Ban dang co voucher MIEN PHI 5.000d khi nap dien thoai Viettel. Mo app hoac truy cap https://km.vtmoney.vn/314y/uudai2 de su dung uu dai ngay Ban nhe.,0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,187,,,,,,,,,,,,,,,
phase1_00788,[TB] KHUYẾN MẠI THÁNG 10/2022! Soạn ST90N gửi 191: Chỉ còn 72.000đ/30 ngày (giá gốc 90.000đ) có 120GB data tốc độ cao (4GB/ngày). Gói cước gia hạn sau 30 ngày với giá gốc. CT áp dụng với lần đăng ký đầu tiên đến hết 18/10/2022 cho TB của Quý khách. LH 198 (0đ).,0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,788,,,,,,,,,,,,,,,
