item_order,sample_id,content,scope_decision,proposed_label,evidence,confidence,reason,needs_discussion
12,phase1_00224,"[QC] KIỂM TRA ONLINE TỐC ĐỘ TRUY CẬP INTERNET ĐƠN GIẢN, DỄ DÀNG. Mời Quý khách đăng nhập tài khoản thuê bao Internet trên ứng dụng My Viettel để tự đo kiểm tốc độ download/upload tại https://myvt.page.link/ispeed. Chi tiết LH 18008119 (0đ). Từ chối QC, soạn TC3 gửi 199.",accepted,0,"Từ chối QC, soạn TC3 gửi 199.",high,Quảng cáo hợp pháp,0
13,phase1_02164,"(TB) Ưu đãi tới tay, nạp thẻ ngay kẻo trễ! VinaPhone tặng Quý khách nhận được tin nhắn 20% giá trị thẻ nạp trong HÔM NAY 06/5/2025. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. Thêm ưu đãi hời khi nạp thẻ tại https://my.vnpt.com.vn/adv/napthe .CSKH: 18001091 (0đ).",accepted,0,20% giá trị thẻ nạp ,high,TB hợp pháp,0
14,phase1_02503,"Kiem 6OOk-3OOOk chi cän 20 phut möi ngay. Chung töi cö nhung G.V chuyen nghiep huong dän ban. Neu muon kiem tien, Them vao Telegram: t.me/huyenbkv DEgI",accepted,1,Kiem 6OOk-3OOOk chi cän 20 phut möi ngay.,high,Lừa đảo tuyển dụng,0
15,phase1_02371,Em la nu sinh vien 21 tuoi MU0N KIEM chut Tjen trang TRAI CU0C S0NG EM C0 the den lam tinh khu vuc nao cung DU0C GIA CA Uu DAI Add ZAL0 e: 0367891234 QkR,excluded_out_of_scope_malicious,,,,Nội dung nhạy cảm,0
16,phase1_00189,"[TB] Chatbot - Trợ lý ảo trên My Viettel hỗ trợ online 24/7 về thông tin CTKM, gói cước Data, báo hỏng dịch vụ. Truy cập ứng dụng tại https://myvt.page.link/chatbot hoặc https://viettel.vn. Chi tiết LH 198 (0đ). Trân trọng!",accepted,0,"Trợ lý ảo trên My Viettel hỗ trợ online 24/7 về thông tin CTKM, gói cước Data, báo hỏng dịch vụ",high,TB hợp pháp,0
17,phase1_02560,"3i Dang Ki Tang 88K, Nap Dau Tang 188K,Va Nhieu Uu Dai Khac. Thang Rut Cuc Nhanh, Chuc AE Thang Lon. tixa1kv.Gezne.de dk",excluded_out_of_scope_malicious,,"Dang Ki Tang 88K, Nap Dau Tang 188K",high,QC cờ bạc,0
18,phase1_02479,"Xin chào, có phải bạn đang muốn tim công việc không? Với mức lương là 6tr-36tr mỗi tháng với công việc hoàn toàn hợp pháp và đảm bảo thu nhập Mỗi ngày bạn nhận thấp nhất 800k, kiếm tiền tại nhà đơn giản, zalo.me/84918759421. Dưới 23 tuổi vui lòng không liên hệ",accepted,1,tim công việc;  lương là 6tr-36tr mỗi tháng ,high,Lừa đảo tuyển dụng,0
19,phase1_02435,"&,b La,yNg,ay_Ba'y~9Ng'hjn"" Kh'iID:o:wn:l:oadU'n'gDu'gVa_ XacN:han,SoD:T {TXGIJE> m K'Ma'iVo'g'Quay""P:h:a:tTai:1_59 :Ng:j:n6;VbUmlosnG.qcpo.bid D",needs_adjudication,,"ID:o:wn:l:oadU'n'gDu'gVa_ XacN:han,SoD:T",,Dụ dỗ tải app bất chính,1
20,phase1_02261,"Quy khach da dang ky thanh cong Bao hiem xe may PVI. So hop dong 250192454, Ho ten chu xe: Cao Minh Tan, bien so/ so khung: 68M7-2020. Phi bao hiem 99.000d da duoc tru vao Cong thanh toan Viettel Money cua Quy khach. Thoi gian hieu luc tu 17:27 07/02/2025 den 17:27 07/02/2028. Truy cap https://km.viettelmoney.vn/6Win/HOPDONG hoac https://congbaohiem.com.vn/Personal/Index de tra cuu hop dong bao hiem. Lien he 0981314410 (0 d/p).",accepted,0,tru vao Cong thanh toan Viettel Money,high,TB bảo hiểm xe máy ,0
21,phase1_02364,"tORKiM! ay:Ma""n;N,ha7lXklq,uoacx.tech*;G^ja*nh$ap! nhan:thu""0g;Ho,ngbao'a~n^t*o$n!hayP3m56",needs_adjudication,,"M! ay:Ma""n;N,ha7lXklq,uoacx.tech*;G^ja*nh$ap! nhan:thu""0g",,Dụ dỗ click vào đường link bất chính,1
22,phase1_02448,"Xin chào, tôi là Trưởng phòng nhân sự của Công ty EMIME. Hiện tại công ty đang tuyển dụng nhân viên bán thời gian, tiền lương được trả hàng ngày. Bạn có thể làm việc tại nhà với thu nhập từ 15–30 triệu/tháng (bình quân 500.000-1.000.000/ngày). Công việc đơn giản, có thể thực hiện mọi lúc mọi nơi. Yêu cầu độ tuổi 23–65. Liên hệ qua Zalo: zalo.me/84562696538
 hoặc 84562696538.",accepted,1,"tuyển dụng nhân viên bán thời gian, tiền lương được trả hàng ngày. Bạn có thể làm việc tại nhà với thu nhập từ 15–30 triệu/tháng",high,Lừa đảo tuyển dụng,0
23,phase1_00360,[TB] Dung quen Ban dang co voucher giam 50% toi da 10.000d khi thanh toan Dien/Nuoc/Internet truyen hinh se HET HAN HOM NAY 13/03/2024. Mo app hoac truy cap https://km.vtmoney.vn/314y/uudai2 de su dung uu dai Ban nhe.,accepted,0,voucher giam 50% toi da 10.000d khi thanh toan Dien/Nuoc/Internet truyen hinh,high,TB hợp pháp,0
24,phase1_00531,"Yeah. Chuc mung Ban da co co hoi trung vang giai thuong tri gia len den 67.100.000VND tu chuong trinh Ngay Vang Viettel Money cho giao dich Mua data Viettel hom nay. Ma du thuong chinh la so dien thoai 0867256447 cua Ban, hay don cho Than Tai go cua vao luc 18h30 moi ngay nhe! Chi tiet chuong trinh va theo doi ket qua trung thuong tai http://viettelmoney.vn/ngayvang2023",accepted,0,chuong trinh Ngay Vang Viettel Money cho giao dich Mua data Viettel hom nay,medium,Hợp lệ chỉ vì tên thương hiệu hợp pháp,1
25,phase1_01390,(TB) KHUYẾN MẠI TỚI RỒI - NẠP THẺ NGAY THÔI! VinaPhone ưu đãi dành riêng cho Quý khách nhận được tin nhắn và nạp tiền vào HÔM NAY 08/10/2024: + Nhận ngay 20% giá trị thẻ nạp. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày.  + Thêm ưu đãi hời khi nạp thẻ tại https://my.vnpt.com.vn/adv/napthe . CSKH: 18001091 (0đ).,accepted,0,Nhận ngay 20% giá trị thẻ nạp,high,TB hợp pháp,0
26,phase1_00506,"[TB] Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 15/09/2023. CT áp dụng khi nạp thẻ online qua các ví điện tử, ứng dụng thanh toán hoặc tại https://km.vtmoney.vn/314y/kmdaitra . Tiền KM sử dụng liên lạc nội mạng trong 15 ngày. Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng.",accepted,0,Tặng 20% giá trị tất cả thẻ nạp ,high,TB hợp pháp,0
27,phase1_01935,"Tai khoan vien thong cua Quy khach hien con duoi 1.000d. Moi Quy khach nap them tien vao tai khoan vien thong hoac goi *911# de duoc cong truoc 20.000d (phi: 3.000d). Neu tai khoan vien thong het tien, cuoc phat sinh tiep theo se duoc tru vao tai khoan Tien di dong (neu co). DAC BIET khuyen mai 50% GIA TRI NAP TIEN vao chu nhat hang tuan tren My Viettel (https://vietteltelecom.vn/naptienkm). LH 18008098 (0d). Tran trong.",accepted,0,Tai khoan vien thong cua Quy khach hien con duoi 1.000d,high,TB tài khoản,0
28,phase1_02434,"j)t.ly/Q5YuG Um Cu,u~Th,ua8% ZJ Na.pVao- LanD:au,UuDa'j:8Tr8 PJ wz8:88.Bma Gu.i_C:OT~6OKa:H'SD;2_4H {H6MW9KD1X191> z Hoa'n,Tr'a~1,4% Ge",needs_adjudication,,,,,1
29,phase1_01856,A lô,accepted,0,A lô,high,P2P ,1
30,phase1_00639,Ok e,accepted,0,Ok e,high,P2P ,1
31,phase1_02412,https://ww.facebook.com/CSKHduongdinhninh035/ Chị nhắn vào Facebook bạn này ạ chị nhắn là tôi muốn hoàn tiền đơn hàng mĩ phẩm HASAKI bị lỗi gây kích ứng MVD: 1041 SĐT ĐẶT HÀNG: 0987654321,accepted,0,Chị nhắn vào Facebook bạn này ạ chị nhắn là tôi muốn hoàn tiền đơn hàng mĩ phẩm HASAKI bị lỗi gây kích ứng,medium,"Thương hiệu hợp lệ, nội dung cũng khá là hợp lý",1
32,phase1_01364,093 3587108,accepted,0,093 3587108,high,Nội dung chỉ có sdt,0
33,phase1_02532,"DvVCh:oj_Vu,jVe Ch.jenThan.g:H,OTz99N:g:in-M,ayMa'nsk<2srcfxcs.sh-n.com'KfQi",needs_adjudication,,,,,1
34,phase1_02338,Chung toi phat hien tai khoan cua ban dang tieu dung o nuoc ngoai .Neu khong phai ban dang tieu dung vui long nhap vao https://v-acb.com de huy thanh toan,accepted,1, tai khoan cua ban dang tieu dung o nuoc ngoai; eu khong phai ban dang tieu dung vui long nhap,high,Lừa đảo giả mạo ngân hàng,0
35,phase1_02459,Xin chúc mừng bạn @gmail.com đã trúng thưởng một xe máy SH trị giá 97 triệu đồng. Vui lòng truy cập website: www.traogiainammoi2022.com để hoàn tất hồ sơ nhận thưởng,accepted,1,Vui lòng truy cập website: www.traogiainammoi2022.com để hoàn tất hồ sơ nhận thưởng,high,Có dấu hiệu lừa đảo khá rõ,1
36,phase1_02546,Rut ko c4nnap KVVlN TAG 199 k - 399 k n4pdau TRAlNGHlEM GEM-BAl XANH 9  VAO c19.kwin668.com  hPNNO,needs_adjudication,,,,,1
37,phase1_02007,"(TB) NẠP THẺ HÔM NAY - NHẬN NGAY ƯU ĐÃI! VinaPhone dành riêng cho Quý khách nhận được tin nhắn và nạp thẻ trong HÔM NAY 21/10/2025, có ngay: + 20% giá trị thẻ nạp. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. + Thêm ưu đãi hời khi nạp tại https://my.vnpt.com.vn/adv/napthe . CSKH: 18001091 (0đ).",accepted,0,,high,TB hợp pháp,0
38,phase1_02348,"Chào chị. Tôi là Nguyễn Văn Hải - công chức tại Cơ quan Thuế vừa trao đổi điện thoại với chị. Để làm tờ khai thuế online, mời chị truy cập và tải app của Cơ quan tại link: thuedientuu.vn Sau khi đã tải app xong, hãy phản hồi lại tin nhắn này để chúng tôi trao đổi và hướng dẫn các bước tiếp theo.",accepted,1,,high,Giả mạo công chức nhà nước,0
39,phase1_00873,Do su co tam gian doan cap dien Khach hang PE13000143179 tu 05:59 - 08:59 ngay 22/06/2022. Kinh xin loi quy Khach hang va mong duoc thong cam. LH 1900545454,accepted,0,,high,TB gián đoạn cung cấp điện,0
40,phase1_00065,"[TB] Nap lien tay, Khuyen mai ngay. Tang 30% gia tri tat ca the nap trong ngay 21/08/2025 (20% de truy cap Internet, 10% de goi va nhan tin noi mang), uu dai su dung trong 15 ngay. CT danh rieng cho Quy khach khi nap the online tai cac vi dien tu, ung dung thanh toan hoac tai https://viettel.vn/naptienkm . LH 198 (0d).",accepted,0,,high,TB hợp pháp,0
41,phase1_02516,Dang ky nhan ngay 88.000k mien phi Su kien sieu Hot nap dau nhan ngay 238k x1 vong cuoc. Chuc AE may man t.ly/O4mad,excluded_out_of_scope_malicious,,,high,QC cờ bạc,0
42,phase1_00867,"Chuc mung thi sinh NGUYEN HOANG DUY da du dieu kien trung tuyen (tru dieu kien TNTHPT) vao Truong DH CNTT - DHQG-HCM (DGNL)  nganh CONG NGHE THONG TIN. Chi tiet xem tai: https://tuyensinh.uit.edu.vn/giaybao-kqxt, hotline 0971203246",accepted,0,,high,TB hợp pháp,0
43,phase1_00730,[TB] DEAL SỐC CUỐI NĂM: TẶNG 100% GIÁ TRỊ khi nạp tiền điện thoại trên My Viettel vào ngày 05/12. CT dành riêng cho số thuê bao của Quý khách nạp tiền vào tài khoản viễn thông qua tài khoản ngân hàng/ví điện tử có liên kết trên My Viettel. Tiền KM sử dụng nội mạng trong 15 ngày. Nạp thẻ tại https://myvt.page.link/km100 . Chi tiết LH 198 (0đ). Trân trọng.,accepted,0,,high,TB hợp pháp,0
44,phase1_01069,"[QC] NẠP THẺ LIỀN TAY, NHẬN NGAY QUÀ KHỦNG 1.Thẻ mệnh giá dưới 50.000đ, tặng 6GB/3 ngày: 3GB trên các hạ tầng (ST15K)+3GB trên 4G 2.Thẻ mệnh giá từ 50.000đ trở lên, tặng 14GB/7 ngày: 7GB trên các hạ tầng (ST30K)+7GB trên 4G CT áp dụng với THẺ NẠP ĐẦU TIÊN trong ngày 08/04 cho TB của Quý khách. LH 198 (0đ). Từ chối QC, soạn TC1 gửi 199",accepted,0,,,QC hợp pháp,0
45,phase1_02358,Tiktok đang tuyển nhân viên làm việc tại nhà ! ! ! Mô tả công việc: Xử lý đơn hàng ứng dụng của Tiktok. Thu nhập trong ngày 350 - 999k / ngày Thao tác đơn giản và bạn có thể nhận tiền sau 13 - 25 phút. Các bạn có nhu cầu tham gia xin liên hệ zalo.me/84937441240 zalo:84937441240,accepted,1,,high,Lừa đảo tuyển dụng,0
46,phase1_02195,"GIA HAN LIEN TAY, CHOP NGAY UU DAI! Goi cuoc FHAPPY (118.000d/90 ngay) cua QK co HSD het ngay 11/04/2025 23:59:59. Moi QK gia han goi cuoc bang cach quet QR va thanh toan de dang qua tai khoan ngan hang/vi dien tu tai https://thanhtoan.vnpt.vn/945b51a2. CSKH 18001091.",accepted,0,,high,TB hợp pháp,0
47,phase1_01578,"(TB) Chúc mừng NGÀY PHỤ NỮ VIỆT NAM 20/10, VinaPhone tặng riêng Quý khách 20% giá trị thẻ nạp HÔM NAY 17/10/2023. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. Ưu đãi hấp dẫn khi nạp thẻ tại https://shop.vnpt.vn/nap-the.html . CSKH: 18001091 (0đ).",accepted,0,,high,TB hợp pháp,0
48,phase1_00709,"The Visa 452404...6779 su dung tai 2C2*AMAZON PRIME VIDEO VN6717 2333 SG so tien 13,608 VND luc 17-12-2022 17:37:45. SD TK trich no tam tinh 1033311702: 486,392VND",accepted,0,,high,TB biến động số dư,0
49,phase1_01904,"[QC] GIA NHẬP GIC, ĐẪM DATA, ĐẬM CÁ TÍNH! Thắng đời 1-0 khi trở thành thành viên GIC: - Gói cước rẻ mà data ""khủng long"" mỗi ngày. - Đặc quyền ""sít rịt"": Sở hữu kho Topping data truy cập TikTok, Facebook, YouTube... không giới hạn dung lượng, đồng giá 10K. - Ngập tràn voucher ưu đãi ""đủ wow"". Nhanh tay soạn GIC gửi 195 để gia nhập Vũ trụ số GIC - chân ái cho giới trẻ! LH 198 (0đ). Từ chối QC, soạn TC4 gửi 199.",accepted,0,,high,QC hợp pháp,0
50,phase1_01868,Bố xong chưa,accepted,0,,high,P2P,0
