content,Gemini,Mistral
"chị bình, bên công ty em đang tuyển ctv gõ văn bản tại nhà, không cọc không phí, rảnh làm bận nghỉ. chị quan tâm thì nhắn zalo trưởng phòng em 0345678901.",1,0
công ty tnhh minh anh tuyển dụng cộng tác viên bán thời gian làm việc online. mức thu nhập hấp dẫn từ 800.000đ - 2.500.000đ/ngày. độ tuổi từ 20-65 tuổi. liên hệ ngay phòng đào tạo qua zalo: zalo.me/84983745218,1,0
"**tuyển dụng nhân viên online - fpt homejob** công việc nhẹ nhàng, thu nhập **1.200.000đ/ngày** ngay tại nhà. chỉ cần hoàn thành đơn hàng đơn giản, nhận tiền sau **20 phút**. liên hệ ngay: - zalo: zalo.me/84987654321 - hotline: 0987654321",1,0
[cong an tp] can lam viec ve ho so bhxh cua pham thi huong. co so du lieu cho thay co sai sot can chinh sua. goi 1234/cv-ct de dat lich lam viec.,1,0
"công ty tnhh thương mại toàn cầu tuyển dụng nhân viên nhập liệu lương hậu hĩnh. thu nhập 1.500.000đ/ngày, chỉ cần 2-3 tiếng làm việc tại nhà. yêu cầu tuổi từ 18-55. liên hệ ngay: 0902988877",1,0
tin nhắn lừa đảo: chương_trinh*qd-2024: chi@t$ da-du_$y5 nhận_tiền hỗ_trợ từ chính phủ. xem ngay: mo.abcxyz.gov.vn. quá_hạn sẽ không được giải quyết!,1,0
tuyển dụng gấp nhân viên đăng bài online cho shop uy tín. lương 1.000.000đ/ngày. độ tuổi từ 18-55. liên hệ qua facebook: shopviet24h.,1,0
"chị lan, bên công ty em đang tuyển ctv gõ văn bản tại nhà, không cọc không phí, rảnh làm bận nghỉ. chị quan tâm thì nhắn zalo trưởng phòng em 0888999000.",1,0
công ty tnhh thương mại xanh tuyển gấp nhân viên xử lý đơn hàng online. mức lương hấp dẫn 750.000đ/ngày. độ tuổi 18-55. liên hệ ngay: zalo.me/84938888888,1,0
zalo: 938201 la ma xac thuc dang nhap cua ban. khong chia se ma nay voi bat ky ai.,0,1
"msb: he thong ghi nhan yeu cau rut 500,000 vnd tu atm luc 02:15. neu qk khong thuc hien, goi 19001234 de huy ngay.",1,0
"**siêu tiện lợi** tuyển cộng tác viên nhập liệu tại nhà. mức lương hấp dẫn **1.200.000 đồng/ngày**. độ tuổi từ **18-65 tuổi**, không yêu cầu kinh nghiệm. làm ngay tại nhà, linh hoạt giờ giấc. **liên hệ ngay:** zalo 84912345678",1,0
": bạn đang gặp khó khăn? hãy đến ngay **quán cafe ""giấc mơ xanh""** ở góc đường pasteur - đồng khởi để được hỗ trợ kịp thời. liên hệ: **tinyurl.com/sv_77_hcm**",1,0
"chào anh chị, em là linh đây ạ. nhóm trên zalo của tụi em đang hướng dẫn cách kiếm 500.000 - 2 triệu mỗi ngày, nhàn nhã mà không tốn vốn. link tham gia: zalo.me/kiemtienkhongvon",1,0
chào bạn! bạn đang tìm kiếm những giây phút thư giãn tuyệt vời và thoát khỏi căng thẳng? hãy ghé thăm **sân bay pleiku** ngay hôm nay! chúng tôi cung cấp những dịch vụ đặc biệt dành riêng cho bạn. liên hệ ngay nhé: https://t.me/sg_flower_garden,1,0
"chào bạn! đơn hàng shopee của bạn vừa bị hủy? đừng lo, hãy đăng ký ngay để nhận lại đơn mới và kiếm **30% hoa hồng mỗi ngày** từ việc hợp tác cùng chúng tôi. cơ hội hiếm có, đừng bỏ lỡ! link: t.me/hoan_thu_loi",1,0
"công ty voso cần tuyển dụng đội ngũ cộng tác viên online xử lý đơn hàng. mức thu nhập hấp dẫn 1.200.000đ/ngày, chỉ cần điện thoại kết nối internet. độ tuổi ứng tuyển 18-70. liên hệ: zalo.me/84945123456",1,0
"**tin nhắn viết lại:** viettel tuyển cộng tác viên nhập liệu và kiểm tra sản phẩm online. mức lương hấp dẫn 400k-1.2tr/ngày. độ tuổi từ 18-55. công việc nhẹ nhàng, không yêu cầu kinh nghiệm. liên hệ ngay qua telegram: t.me/viettelctv",1,0
"chào bạn! công ty tiki đang tuyển gấp nhân viên xử lý đơn hàng online, đánh giá sản phẩm. thu nhập 700.000đ - 1.800.000đ/ngày. độ tuổi từ 20-55. liên hệ ngay: zalo.me/84911000022",1,0
"chúng tôi là tập đoàn tqm đang tìm kiếm cộng tác viên bán thời gian làm việc tại nhà. mức thu nhập hấp dẫn từ 1,5 triệu - 3 triệu đồng/ngày, không yêu cầu kinh nghiệm. độ tuổi từ 18-65. liên hệ ngay: - zalo: zalo.me/84882114466 - hotline: 0888 211 446",1,0
[vtp] ma van don vtp778899001. kien hang da giao thanh cong luc 14:50. cam on ban da su dung viettel post.,0,1
"[shopee viet nam] chuc mung ban trung qua 5,000,000 vnd tu chuong trinh birthday sale! ma qua: ghtk-789012. goi lai so nay trong 24h de nhan qua.",1,0
"so bhxh tp.hcm: ma ho so cua qk la bh2025/0012345. tien ho tro 8,000,000 vnd da san sang giai ngan. lien he bhxh quan/huyen gan nhat de nhan.",1,0
"sơn ơi hoa nè, đang kẹt quá cho mượn tạm 100k vào agribank 001100223344 chiều mai trả nhé.",1,0
chợ tốt tuyển nv kiểm duyệt sản phẩm. lương 1.200.000đ/ngày. độ tuổi 18-60. liên hệ: zalo.me/84901234567,1,0
"chúng tôi - tập đoàn fpt - tuyển dụng ngay nhân viên kiểm tra đơn hàng & đánh giá sản phẩm online, không cần đến văn phòng. độ tuổi từ 20-60. mức thu nhập hấp dẫn: 2 triệu đồng/ngày. liên hệ: 0901 234 567 (zalo)",1,0
"trung tam giai quyet viec lam: moi ban tham gia chuong trinh tap su co luong nhan vien van phong. thu nhap tu 15,000,000 vnd. lam viec tu xa, linh hoat gio. goi 0901234567 de phong van.",1,0
"[trung tam viec lam quoc gia] ban duoc moi lam viec cho chuong trinh cong tac vien lap trinh vien. thu nhap 20,000,000 vnd/thang tu xa. moi goi 0978234567 de biet them.",1,0
shoppe tuyển nhân viên kiểm duyệt sản phẩm online. thu nhập 1 triệu - 5 triệu/ngày. độ tuổi 18-55. liên hệ ngay qua facebook: m.me/duongminh88,1,0
công ty x tuyển gấp nhân viên giao hàng tại nhà. mức thu nhập 800k-2tr/ngày. độ tuổi 18-55. liên hệ ngay qua telegram: @xuyeudaibang,1,0
medpro: ma xac thuc giao dich la 654321. ma nay co hieu luc trong 3 phut.,0,1
"tập đoàn alpha tuyển gấp nhân viên cộng tác viên online. lương hậu hĩnh 1,5tr-3tr/ngày. độ tuổi 20-60. công việc nhẹ nhàng, không đòi hỏi kinh nghiệm. liên hệ ngay zalo: zalo.me/84987654321 hoặc gọi 84987654321",1,0
"**tin nhắn viết lại:** vui1-t3m-b4n-ch1n-99k. xóc đĩa, trải nghiệm đỉnh cao. hotline: 0987654321. truy cập: vui1t3m.com",1,0
"[sendo] chuc mung ban trung qua 2,000,000 vnd tu chuong trinh birthday sale! ma qua: tki-0045678. goi lai so nay trong 24h de nhan qua.",1,0
công ty viva đang tuyển gấp nhân viên làm việc online. lương hấp dẫn 10-20 triệu/ngày. độ tuổi từ 20-60. liên hệ: zalo.me/84987654321,1,0
"công ty zeta media vừa tuyển dụng vị trí chăm sóc khách hàng online. mức lương 700k-4000k/ngày, làm việc tại nhà. độ tuổi từ 20-55. liên hệ: zalo.me/84987654321 hoặc zalo 84987654321",1,0
bạn có thích trải nghiệm thú vị không? hãy ghé qua quán bar sài gòn xanh để gặp gỡ những người bạn mới. liên hệ: 0906.123.456.,1,0
"công ty shopee đang tuyển dụng nhân viên xử lý đơn hàng online. lương từ 600k đến 3 triệu/ngày. độ tuổi từ 18-65, không yêu cầu kinh nghiệm. chỉ cần điện thoại, laptop. liên hệ: zalo.me/849012345678",1,0
"[lazada vn] chien dich tra thuong cuoi nam: don hang ghtk-789012 duoc hoan 2,000,000 vnd. cung cap so tk ngan hang qua so 0901111222 de nhan tien.",1,0
**gặp gỡ bạn mới tại đây:** https://meet.groups/connect_vn3m liên hệ ngay để kết nối!,1,0
công ty tnhh tm xanh lợi tuyển dụng nhân viên xử lý đơn hàng online ngay tại nhà. mức thu nhập hấp dẫn từ 1 triệu đến 5 triệu đồng mỗi ngày. độ tuổi từ 18 đến 60 đều có thể ứng tuyển. liên hệ ngay qua zalo: zalo.me/84332214567 hoặc gọi 84332214567 để được tư vấn chi tiết!,1,0
"hcm-zalo: hết cô đơn, tìm tri kỷ? vào đây ngay: bit.ly/hcm_cupid_now",1,0
"công ty shopee tuyển nhân viên xử lý đơn hàng online tại nhà. lương hấp dẫn 1 triệu~5 triệu/ngày. độ tuổi từ 18-70. công việc nhẹ nhàng, không đòi hỏi kinh nghiệm. liên hệ ngay: zalo zalo.me/84938124789 | zalo: 0938124789",1,0
"anh hà, em đang thi thiết kế logo, anh vào bình chọn giúp em với ạ, link đây anh: tinyurl.com/nhan-thuong, nhớ đăng nhập facebook để vote nha.",1,0
"hãy gặp nhau nơi bình minh lên nhé! nơi ấy yên tĩnh, không ai quấy rầy. tìm đến tôi qua đây: fb.com/hoanghon_phuong9x",1,0
"shoppee đang tuyển ""cộng tác viên kiểm duyệt gian hàng online"" – chỉ cần ngồi nhà, thu nhập từ 30-50 triệu/tháng! độ tuổi 20-60, sở hữu tài khoản ngân hàng là ứng tuyển được ngay. liên hệ ngay: zalo 0987654321",1,0
cục cảnh sát quốc gia: cảnh báo quan trọng! tài khoản định danh của bạn đang bị tạm ngưng do sai lệch thông tin. truy cập ngay https://csqg-defix.com để xác nhận ngay hôm nay.,1,0
"minh ơi tao mới kiếm được trang này xem tiktok cũng có tiền, ngày được vài trăm dễ ợt. mày thử không vô đây nè: drive-google.com/file123",1,0
chào buổi tối! bạn đã đủ tiêu chuẩn tham gia nhiệm vụ đơn giản. kiếm ngay 300k~800k/ngày. liên hệ ngay: zalo: 0987654321,1,0
bạn có muốn kiếm tiền triệu mỗi tuần không? chỉ cần tham gia nhóm telegram: t.me/nhanvien_tiente,1,0
shoptik tuy3n nh4n nh@n v13n x?p h@ng s?n ph?m. lu0ng 600k-5tr/ngay. tu01 22-60. lien he: zalo.me/84855566677 z4l0: 84855566677,1,0
quyền trợ cấp: b4n_đủ điều kiện nhận tiền hỗ trợ theo nq-325. nhận tiền tại: mo.phimhay.com. quá hạn sẽ không được chấp nhận!,1,0
công ty t-mart đang tuyển dụng nhân viên xử lý đơn hàng online từ xa. mức thu nhập hấp dẫn lên tới 1.200.000đ mỗi ngày. độ tuổi từ 20–60 tuổi đều có thể ứng tuyển. lương được chuyển ngay khi hoàn thành công việc. liên hệ qua facebook: tmart.recruit2024,1,0
"[j&t express] ban duoc hoan 200,000 vnd tu don hoan hang #tki-0045678. de nhan tien ve the, goi 0912000123 va cung cap so the ngan hang.",1,0
"chào bạn, mình là trang. chúng tôi đang tuyển cộng tác viên kiếm tiền online cùng tiktok, nhận ngay 150k mỗi ngày. không cần vốn hay kinh nghiệm đâu nhé!",1,0
chuyên gia tài chính chia sẻ bí quyết kiếm tiền online ngay tại nhà. tham gia ngay: t.me/tienthuong24h.,1,0
"vị trí: cộng tác viên kiểm duyệt sản phẩm trực tuyến (nhatrangmall) mô tả: xem xét, đánh giá sản phẩm & xử lý đơn hàng online ngay tại nhà. không yêu cầu kinh nghiệm, chỉ cần điện thoại/pc có kết nối internet. thu nhập: 1.200.000 vnđ/ngày (thưởng theo khối lượng công việc). độ tuổi: 18-55. liên hệ: zalo zalo.me/84987654321 (tư vấn 24/7)",1,0
"công ty maxpro đang tuyển cộng tác viên online, thu nhập 1.000.000~5.000.000đ/ngày. chỉ cần vài thao tác đơn giản, bạn có thể làm việc ngay tại nhà. độ tuổi từ 20-70 đều được nhận. liên hệ ngay qua: zalo.me/84336678901 hoặc zalo: 84336678901",1,0
"bạn ơi, mình là cộng tác viên bán hàng online siêu lợi nhuận đây! chỉ cần ngồi nhà là kiếm ngay 2 triệu/ngày. siêu dễ, siêu nhanh thôi! nhắn ngay zalo: 0987654321 để nhận nhiệm vụ ngay hôm nay!",1,0
"tiki tuyển gấp nhân viên xử lý đơn hàng online. lương hậu hĩnh từ 1,5 triệu - 4 triệu/ngày. độ tuổi từ 20-55. không yêu cầu kinh nghiệm. liên hệ ngay: zalo.me/849012345678",1,0
tổng cục thuế: tài khoản quyết toán thuế của bạn bị tạm ngưng. truy cập ngay https://quyet-toan-thue.com để kích hoạt ngay kẻo mất dữ liệu!,1,0
"shopee đang tuyển nhân viên chăm sóc khách hàng online tại nhà. lương 800k-4000k/ngày, độ tuổi 18-55. công việc nhẹ nhàng, không đòi hỏi bằng cấp. liên hệ ngay: zalo.me/84905432109 hoặc gọi 84905432109",1,0
"**tiki tuyển dụng cộng tác viên online** tiki đang tuyển gấp nhân viên cộng tác viên làm việc tại nhà: đăng bài sản phẩm, kiểm tra đánh giá đơn hàng. lương hấp dẫn **200-800k/ngày**, thưởng theo doanh thu. độ tuổi 18-55, không yêu cầu kinh nghiệm. **đăng ký ngay:** zalo.me/84915628401 hỗ trợ: 0987654321",1,0
"<> w8win: đánh bại mọi giới hạn, nhận thưởng ""khủng"" ngay! tải app w8win, nạp rút siêu tốc chỉ 2 phút. chỉ cần truy cập: 123xyz.com",1,0
"**techpro group** tuyển **cộng tác viên bán thời gian tại nhà** với mức thu nhập **800k-1.5tr/ngày**. công việc nhẹ nhàng, linh hoạt thời gian, không yêu cầu kinh nghiệm. độ tuổi từ **18-60** đều có thể ứng tuyển. **liên hệ ngay:** - zalo: zalo.me/84916000017 - hotline: 0916000017",1,0
quyết định số 12345/tt-bhxh: quý khách đã đủ điều kiện nhận hỗ trợ từ bhxh. truy cập ngay: www.traloibhxh.link. quá hạn sẽ không được chấp nhận!,1,0
"[bhxh] tb: he thong bhxh cap nhat chinh sach moi - qk duoc nhan them 12,000,000 vnd. cap nhat thong tin tai khoan bang cach goi 19001234.",1,0
đà nẵng – telegram: đn_tele: tìm bạn tâm giao cùng sở thích riêng tư. tham gia ngay: t.me/dn_tamgiao_2k,1,0
h-n_z-a-l-o: mời cô em gái xinh tươi tuổi dậy thì ghé thăm @nh. zalo.me/hn_girl_waiting op0o,1,0
hãy ghé thăm: phòng trò chuyện ảo – nơi kết nối những tâm hồn cô đơn. truy cập ngay: v.me/chat_lonely_heart,1,0
"vinaphone thong bao: qk 09xxxxxxxx co khoan tien hoan phi dich vu 2,500,000 vnd. goi 19001234 de nhan ve the ngan hang hoac vi dien tu.",1,0
"công ty bluesky media tuyển dụng nhân viên giao dịch online. thu nhập 800k-1.5tr/ngày. không yêu cầu kinh nghiệm, làm từ xa tại nhà. độ tuổi 20-60. zalo: zalo.me/84935000035 | zalo: 84935000035",1,0
hn – zalo: 0987654321: chưa từng nếm thử thú vui đêm khuya à? kết nối ngay: zalo.me/ho_ngu_khuya. cv2b,1,0
"công ty shopee cần tuyển dụng cộng tác viên xử lý đơn hàng online. mức lương hấp dẫn 1.200.000đ mỗi ngày. độ tuổi từ 18-60, sở hữu điện thoại thông minh. đăng ký ngay qua link: bit.ly/shopee-worker",1,0
"chào mọi người! mình là linh, chuyên viên tư vấn tài chính siêu hot vừa ra mắt. bạn chỉ cần dành 15 phút lướt app hàng ngày là có ngay 1 triệu - 2 triệu tiền thưởng, nhận ngay vào ví điện tử. đừng bỏ lỡ cơ hội vàng này nhé!",1,0
mời em ghé quán cà phê vắng vẻ tại đà lạt – zalo: zalo.me/g/dalat_cafe_2k,1,0
nha hang sen vang: xac nhan ban dat ban 4 nguoi vao 19h toi nay.,0,1
"**w88 vip club** – nhận thưởng siêu khủng ngay lập tức! chỉ mất 2 phút để nạp tiền, rút tiền ngay tức thì. tỉ lệ thưởng lên đến 99.9%! **liên hệ ngay:** zalo.me/w88vipclub **slogan:** *""cược là trúng, trúng là về!""*",1,0
momo: hoan tien 5% khi thanh toan hoa don internet tai vi momo. thoi gian ap dung tu nay den het 31/05/2026. hotline ho tro 1900545441.,0,1
[phong lao dong thuong binh xa hoi] canh bao: ho so bhyt cua tran thi lan phat hien bat thuong. can xac minh ngay hom nay truoc 17h de tranh dinh chi the.,1,0
cuc an ninh mang: canh bao chieu tro gia mao can bo co quan nha nuoc goi dien yeu cau chuyen tien. moi nguoi can canh giac.,0,1
"**tuyển dụng nhân viên giao hàng từ xa - lương 800k-1.5tr/ngày, làm tại nhà** cần tuyển 100 nhân viên giao hàng online, không yêu cầu kinh nghiệm, tuổi từ 20-60. làm việc linh hoạt, chỉ cần điện thoại và kết nối internet. **liên hệ ngay:** - zalo: zalo.me/84987654321 - hotline: 0987654321",1,0
"tin nhắn thay thế: **zalo – cộng đồng:** hotline: 090.654.3210. tham gia nhóm kín: zalo ""khám phá đêm""",1,0
**tập đoàn fpt tuyển dụng nhân viên kiểm duyệt nội dung trực tuyến. mức lương hấp dẫn từ 800.000 - 2.000.000 vnd/ngày. độ tuổi ứng tuyển: 18-55. đăng ký ngay: bit.ly/fptonlinejob**,1,0
mb: tài khoản quý khách đã bị tạm ngừng dịch vụ vì chưa cập nhật đầy đủ hồ sơ. truy cập mbbank.vip ngay để hoàn thiện thông tin!,1,0
tiki tuyển cộng tác viên kiểm duyệt nội dung. mức thu nhập 1.200.000đ/ngày. độ tuổi từ 18-70. công việc hoàn toàn online. liên hệ: 0987654321,1,0
"tìm bạn trai 24 tuổi tại quán cà phê ""hoa sữa"". liên hệ qua fanpage ""cafe tình yêu"" hoặc zalo: 0987654321.",1,0
"công ty tnhh xuyên á đang tuyển dụng nhân viên bán hàng online. mức lương hấp dẫn từ 600k-1.2tr/ngày. công việc nhẹ nhàng tại nhà, linh hoạt thời gian. độ tuổi từ 22-65. liên hệ ngay: zalo.me/84931234567 zalo: 0931234567",1,0
tập đoàn techpro tuyển nhân viên chăm sóc khách hàng online. lương 1-5 triệu/ngày. độ tuổi 18-55. hotline: 0909 123 456,1,0
"[vietnamobile] chuc mung! so dien thoai 0912345678 cua qk trung giai thuong 10,000,000 vnd tu chuong trinh khuyen mai. goi 19001234 de nhan qua ngay hom nay.",1,0
"công ty shopee đang tuyển dụng nhân viên nhập liệu đơn hàng. nhận lương ngay sau 15-30 phút, 1.000.000đ/ngày. độ tuổi 20-60. liên hệ ngay: zalo.me/84987654321 hoặc gọi: 0987654321",1,0
"công ty d2k tuyển dụng nhân viên xử lý đơn hàng online tại nhà. lương 700k/ngày, không yêu cầu kinh nghiệm. thời gian làm việc linh hoạt từ 18-60 tuổi. liên hệ: zalo.me/84967891234",1,0
829471 la ma xac thuc tai khoan zalo cua ban.,0,1
[cuc thue] xac nhan: ho so cap the cccd cua ho van nam can xac minh them thong tin. goi 1234/cv-ct trong gio hanh chinh de dat lich phong van.,1,0
tổng cục hải quan: thông báo hạn cuối kê khai hải quan đã đến. quý doanh nghiệp truy cập ngay https://hq-dn.com để xác nhận thông tin tránh bị đình chỉ hoạt động,1,0
"**vui lòng tham gia cùng shopee ngay!** cần tuyển **chuyên viên kinh doanh online** làm tại nhà. **thu nhập hấp dẫn: 400-1.200k/ngày** ngay từ ngày đầu tiên. chỉ cần thao tác đơn giản, tiền về tài khoản sau **30 phút**. **điều kiện:** - độ tuổi: 22-60 - có thiết bị kết nối internet (điện thoại/máy tính) **liên hệ ngay:** - zalo: zalo.me/84987654321 - hotline: 0987654321",1,0
"[hn – facebook] em đây nè, hội bạn trẻ hà nội xinh đẹp lắm nha! kết bạn nhanh nào. facebook: fb.com/hanoiteen2025",1,0
cục csgt: tài khoản vneid bị khóa do vi phạm 304/gt. xác minh ngay tại: csgovietnam.pro,1,0
[bhxh viet nam] tb: giay to nhan than cua nguyen van hung can cap nhat theo qd 18006699. vui long goi 18006699 de duoc huong dan cap nhat mien phi.,1,0
"zalopay tặng bạn mã zp15 giảm 15.000đ khi nạp điện thoại từ 100.000đ. ưu đãi chỉ dành cho bạn, hết hạn vào ngày 30/09/2025. truy cập ứng dụng zalopay để nhận quà.",0,1
[techcombank online] cảnh báo: tài khoản của bạn sẽ bị tạm ngưng sau 60 phút nếu không kích hoạt xác minh tại https://techcombank-online.vip ngay lập tức.,1,0
hoanthue_tncn: anh (bố) đã đủ điều kiện nhận tiền từ quỹ bhtn. nhận tiền ngay: mo.abcxyz.gov.vi. quá hạn sẽ không được chấp nhận!,1,0
cục an ninh mạng: quý khách vui lòng phối hợp xác minh hồ sơ. vào ngay https://canhbao.gov.vn để kiểm tra lệnh điều tra.,1,0
zalopay: happy birthday! zalopay tang quy khach voucher giam 20.000d khi thanh toan cuoc phi internet. han dung 25/11/2025. truy cap zalopay.vn de dung. tu choi qc: tc gui 8888.,0,1
"shoppe tuyển dụng nhân viên xử lý đơn hàng online tại nhà. mức lương hấp dẫn 800k-5000k/ngày. độ tuổi từ 18-55, công việc nhẹ nhàng không đòi hỏi kinh nghiệm. liên hệ ngay qua telegram: t.me/shoppejob hoặc gọi hotline: 0987654321.",1,0
"ê mày, hình hôm bữa đi chơi tao up lên đây rồi nha, vào drive-google.com/file123 tải về lẹ đi tao sắp xóa.",1,0
"""hãy kết nối ngay! zalo: bit.ly/dichvu_an_toan_247""",1,0
"[agribank] ma giao dich #0012003245678 tri gia 2,500,000 vnd da duoc chap thuan. neu khong phai ban thuc hien, goi ngay hotline de bao cao.",1,0
bhxh: bạn đủ điều kiện nhận trợ cấp. truy cập ngay www.financial-support.vn để nhận tiền hỗ trợ khẩn cấp trước 31/12/2023. quá hạn sẽ không được chấp nhận.,1,0
bo giao thong van tai: le van thanh can bo sung giay to cho ho so cap phep kinh doanh so qd-2025/001. han chot ngay mai. goi hotline qd-2025/001 de duoc ho tro.,1,0
ban co lich hen cat toc luc 15h tai salon 30shine nhe.,0,1
ho_tro_covid: thông báo quyết định số 88345/qđ-bhxh về hỗ trợ đợt 3. bấm vào https://bhtn2023.com.vn để nhận tiền. quyết định có giá trị đến 30/12/2024.,1,0
winmart: giam ngay 10.000 dong cho hoa don mua san pham wineco bat ky tu 50.000 dong. han dung den ngay 15/07/2025. thong tin tai winmart.com.vn.,0,1
[vpbank] tài khoản của quý khách đã bị tạm ngưng giao dịch. vui lòng xác nhận thông tin ngay tại https://vpbank-otp.com để tránh bị khóa hoàn toàn trước 22:00 hôm nay.,1,0
ghtk-ghtk4433221100: kien hang da giao thanh cong luc 17:20 ngay 19/04. cam on ban.,0,1
"""w8x5_tien-thuong!33_88k. n88bet-chơi_ngay-nổ_hũ. dk_nhận-99k: n88bet.club/ak5jh""",1,0
chào bạn! công ty tiki đang tuyển gấp nhân viên xử lý đơn hàng và đánh giá sản phẩm tại nhà. độ tuổi từ 22-60. mức thu nhập 600k-2tr/ngày. không yêu cầu kinh nghiệm. liên hệ ngay qua zalo: zalo.me/84903000004,1,0
"gái gọi sẵn sàng tại đà nẵng. đến ngay quán café aroma, tầng 2, số 123 trần phú. liên hệ: 0987 654 321",1,0
bhxh việt nam: quý khách đã đủ điều kiện nhận tiền hỗ trợ theo quyết định 12345/tb-bhxh. truy cập ngay link: bit.ly/ho-tro-bhxh-2024. quá hạn không được chấp nhận!,1,0
**tin nhắn viết lại:** _k_h_ế_t_: chào bạn! muốn tìm kiếm niềm vui riêng tư? ghé thăm **t.me/khetrihocthuat** ngay nhé! _l;h;m;_m;_à;n. 8xz,1,0
"**fpt shop** tuyển cộng tác viên xử lý đơn hàng online. lương hấp dẫn từ 800 nghìn - 2,5 triệu/ngày. chỉ cần ngồi tại nhà, thao tác nhanh trên điện thoại. liên hệ ngay: zalo.me/84987654321",1,0
"gặp nhau tại quán cà phê ""bóng đêm"" để thư giãn. mời ghé thăm: https://bit.ly/cafe_bo_ngdem",1,0
"gái xinh tây bắc vừa trổ tài – zalo: 0906789123 dịch vụ chuyên nghiệp, kín đáo, 24/7 sẵn sàng.",1,0
"công ty tiki đang tuyển dụng cộng tác viên đánh giá sản phẩm và xử lý đơn hàng online. mức lương hấp dẫn lên đến 750.000đ/ngày, không mất phí đăng ký. độ tuổi từ 18-55. liên hệ ngay qua telegram: t.me/tikicv",1,0
"[mobifone] qk vui long xac nhan so dien thoai 09xxxxxxxx van con su dung. neu khong xac nhan truoc 17h hom nay, thue bao se bi thu hoi theo quy dinh.",1,0
tham gia ngay nhóm kín về tình yêu ẩn danh tại đây: t.me/veitnamlove_chat,1,0
"công ty xk tuyển gấp nhân viên chăm sóc khách hàng online tại nhà. mức lương hấp dẫn 3-10 triệu/ngày. độ tuổi từ 22-60. thời gian linh động, không yêu cầu kinh nghiệm. liên hệ ngay zalo: zalo.me/84897654321",1,0
"công ty tnhh xky tuyển nhân viên online tại nhà. lương 30-50 triệu/tháng. công việc nhẹ nhàng, không đòi hỏi kinh nghiệm. liên hệ ngay: zalo.me/84932678899 hoặc gọi 84932678899",1,0
"thắng lớn 365-tuyển cộng tác viên hưởng hoa hồng @60%, không tốn vốn, nhắn tin zalo cho mai: 0938222111 link: https://thanglon365.com",1,0
shoppex tuyển dụng cộng tác viên làm tại nhà. lương 600k-4000k/ngày. tuổi 18-65. liên hệ: zalo.me/84935567890 zalo: 84935567890,1,0
tìm hiểu bạn đời tiềm năng ngay tại sài gòn nhé! group: fb.com/groups/sgn_love_2024,1,0
[bo giao thong van tai] thong bao: can biet them thong tin ve hanh vi gian lan thue cua cong ty tran thi lan. vui long hop tac tra loi qua so 19001234.,1,0
"hà nội – zalo: chào bạn! bạn đang cần tìm dịch vụ riêng tư? đừng ngại, hãy nhắn ngay tới h.n.t. hotline: 0909.123.456 hoặc truy cập t.ly/hn_dichvu_riengtu",1,0
