dataset,slice,n,exact_masked_duplicate_rate,total,unique_ratio,repeated_mass,top_repeated_ngrams
phase1,label_0_real,5,0.4002585092632486,104830,0.36163312028999334,0.7588190403510445,"[[""num num num num num"", 400], [""nhắn tin trong num ngày"", 299], [""sử dụng gọi nhắn tin"", 288], [""gọi nhắn tin trong num"", 283], [""dụng gọi nhắn tin trong"", 280], [""url cskh num num đ"", 240], [""được sử dụng gọi nhắn"", 233], [""khuyến mại được sử dụng"", 230], [""mại được sử dụng gọi"", 229], [""tại url cskh num num"", 226], [""num giá trị thẻ nạp"", 204], [""num num đ trân trọng"", 186], [""num num num khuyến mại"", 185], [""khi nạp thẻ tại url"", 155], [""num khuyến mại được sử"", 153], [""num num khuyến mại được"", 151], [""num num d tran trong"", 148], [""hôm nay num num num"", 148], [""chi tiết lh num num"", 142], [""ngày mai num num num"", 140]]"
phase1,label_0_real,6,0.4002585092632486,102524,0.39191798993406424,0.7321115055986891,"[[""gọi nhắn tin trong num ngày"", 283], [""sử dụng gọi nhắn tin trong"", 280], [""dụng gọi nhắn tin trong num"", 280], [""được sử dụng gọi nhắn tin"", 233], [""khuyến mại được sử dụng gọi"", 229], [""mại được sử dụng gọi nhắn"", 229], [""tại url cskh num num đ"", 221], [""num num num num num num"", 160], [""num khuyến mại được sử dụng"", 153], [""num num num khuyến mại được"", 151], [""num num khuyến mại được sử"", 151], [""chi tiết lh num num đ"", 133], [""khi nạp thẻ tại url cskh"", 126], [""nạp thẻ tại url cskh num"", 126], [""thẻ tại url cskh num num"", 126], [""vào ngày mai num num num"", 118], [""nhắn tin trong num ngày thêm"", 112], [""tin trong num ngày thêm ưu"", 111], [""trong num ngày thêm ưu đãi"", 111], [""quý khách num giá trị thẻ"", 107]]"
current,all,5,0.10670327589471691,311891,0.5406792757726256,0.5649826381652564,"[[""num num num num num"", 484], [""truy cập ngay url để"", 430], [""nhắn tin trong num ngày"", 299], [""sử dụng gọi nhắn tin"", 288], [""gọi nhắn tin trong num"", 283], [""dụng gọi nhắn tin trong"", 280], [""quá hạn sẽ không được"", 252], [""url cskh num num đ"", 240], [""được sử dụng gọi nhắn"", 233], [""khuyến mại được sử dụng"", 230], [""mại được sử dụng gọi"", 229], [""tại url cskh num num"", 226], [""num giá trị thẻ nạp"", 207], [""đã đủ điều kiện nhận"", 198], [""độ tuổi từ num num"", 197], [""num num đ trân trọng"", 186], [""num num num khuyến mại"", 185], [""hạn sẽ không được chấp"", 184], [""num vnd luc num num"", 180], [""num num vnd luc num"", 175]]"
current,all,6,0.10670327589471691,301350,0.6004413472706156,0.5007930977268956,"[[""gọi nhắn tin trong num ngày"", 283], [""sử dụng gọi nhắn tin trong"", 280], [""dụng gọi nhắn tin trong num"", 280], [""được sử dụng gọi nhắn tin"", 233], [""khuyến mại được sử dụng gọi"", 229], [""mại được sử dụng gọi nhắn"", 229], [""tại url cskh num num đ"", 221], [""quá hạn sẽ không được chấp"", 176], [""num num vnd luc num num"", 175], [""num num num num num num"", 171], [""truy cập ngay url để xác"", 170], [""hạn sẽ không được chấp nhận"", 163], [""num khuyến mại được sử dụng"", 153], [""num num num khuyến mại được"", 151], [""num num khuyến mại được sử"", 151], [""co hieu luc trong num phut"", 146], [""num num so du num num"", 139], [""chi tiết lh num num đ"", 135], [""khi nạp thẻ tại url cskh"", 126], [""nạp thẻ tại url cskh num"", 126]]"
current,label_1_all,5,0.02918733307897749,156597,0.6189390601352517,0.4847730160858765,"[[""truy cập ngay url để"", 430], [""quá hạn sẽ không được"", 252], [""đã đủ điều kiện nhận"", 198], [""độ tuổi từ num num"", 197], [""hạn sẽ không được chấp"", 184], [""cập ngay url để xác"", 170], [""sẽ không được chấp nhận"", 169], [""đủ điều kiện nhận tiền"", 152], [""viên xử lý đơn hàng"", 148], [""num num liên hệ ngay"", 130], [""nhân viên xử lý đơn"", 117], [""ngày độ tuổi từ num"", 117], [""num num num đ ngày"", 116], [""điều kiện nhận tiền hỗ"", 115], [""kiện nhận tiền hỗ trợ"", 115], [""trước num h hôm nay"", 114], [""không yêu cầu kinh nghiệm"", 113], [""từ num num liên hệ"", 113], [""xử lý đơn hàng online"", 110], [""ngày độ tuổi num num"", 105]]"
current,label_1_all,6,0.02918733307897749,151357,0.6980978745614672,0.3961032525750378,"[[""quá hạn sẽ không được chấp"", 176], [""truy cập ngay url để xác"", 170], [""hạn sẽ không được chấp nhận"", 163], [""điều kiện nhận tiền hỗ trợ"", 115], [""đủ điều kiện nhận tiền hỗ"", 114], [""nhân viên xử lý đơn hàng"", 113], [""ngày độ tuổi từ num num"", 109], [""tuổi từ num num liên hệ"", 105], [""url quá hạn sẽ không được"", 102], [""đã đủ điều kiện nhận tiền"", 95], [""viên xử lý đơn hàng online"", 94], [""độ tuổi từ num num liên"", 93], [""cập ngay url để xác nhận"", 85], [""độ tuổi num num liên hệ"", 82], [""đủ điều kiện nhận hỗ trợ"", 80], [""từ num num liên hệ ngay"", 77], [""liên hệ ngay qua zalo zalo"", 75], [""hệ ngay qua zalo zalo me"", 75], [""ngay qua zalo zalo me phone"", 74], [""nghi ngờ giao dịch bất thường"", 68]]"
current,label_1_synthetic_like,5,0.02542033626901521,147137,0.6142098860245894,0.487300950814547,"[[""truy cập ngay url để"", 430], [""quá hạn sẽ không được"", 252], [""đã đủ điều kiện nhận"", 198], [""độ tuổi từ num num"", 196], [""hạn sẽ không được chấp"", 184], [""cập ngay url để xác"", 170], [""sẽ không được chấp nhận"", 168], [""đủ điều kiện nhận tiền"", 152], [""viên xử lý đơn hàng"", 148], [""num num liên hệ ngay"", 130], [""nhân viên xử lý đơn"", 117], [""ngày độ tuổi từ num"", 117], [""num num num đ ngày"", 116], [""điều kiện nhận tiền hỗ"", 115], [""kiện nhận tiền hỗ trợ"", 115], [""trước num h hôm nay"", 114], [""không yêu cầu kinh nghiệm"", 113], [""từ num num liên hệ"", 113], [""xử lý đơn hàng online"", 110], [""ngày độ tuổi num num"", 105]]"
current,label_1_synthetic_like,6,0.02542033626901521,142143,0.6964676417410636,0.3950739748000253,"[[""quá hạn sẽ không được chấp"", 176], [""truy cập ngay url để xác"", 170], [""hạn sẽ không được chấp nhận"", 163], [""điều kiện nhận tiền hỗ trợ"", 115], [""đủ điều kiện nhận tiền hỗ"", 114], [""nhân viên xử lý đơn hàng"", 113], [""ngày độ tuổi từ num num"", 109], [""tuổi từ num num liên hệ"", 105], [""url quá hạn sẽ không được"", 102], [""đã đủ điều kiện nhận tiền"", 95], [""viên xử lý đơn hàng online"", 94], [""độ tuổi từ num num liên"", 93], [""cập ngay url để xác nhận"", 85], [""độ tuổi num num liên hệ"", 81], [""đủ điều kiện nhận hỗ trợ"", 80], [""từ num num liên hệ ngay"", 77], [""liên hệ ngay qua zalo zalo"", 75], [""hệ ngay qua zalo zalo me"", 75], [""ngay qua zalo zalo me phone"", 74], [""nghi ngờ giao dịch bất thường"", 68]]"
current,label_1_real,5,0.10569105691056911,9460,0.7217758985200846,0.41553911205073996,"[[""tai khoan cua ban dang"", 13], [""neu khong phai ban dang"", 12], [""dang nhap url de xac"", 11], [""phat hien tai khoan cua"", 11], [""hien tai khoan cua ban"", 11], [""num num num num num"", 10], [""tai khoan cua ban da"", 10], [""vui long vao url de"", 9], [""tran trong thong bao tai"", 8], [""thong bao tai khoan cua"", 8], [""bao tai khoan cua quy"", 8], [""tai khoan cua quy khach"", 8], [""cua quy khach hien tai"", 8], [""quy khach hien tai da"", 8], [""nhap url de xac thuc"", 8], [""url de xac thuc ngay"", 8], [""de xac thuc ngay hom"", 8], [""chung toi phat hien tai"", 8], [""toi phat hien tai khoan"", 8], [""khoan cua ban dang tieu"", 8]]"
current,label_1_real,6,0.10569105691056911,9214,0.73822444106794,0.3957021923160408,"[[""phat hien tai khoan cua ban"", 11], [""hien tai khoan cua ban dang"", 11], [""thong bao tai khoan cua quy"", 8], [""bao tai khoan cua quy khach"", 8], [""cua quy khach hien tai da"", 8], [""dang nhap url de xac thuc"", 8], [""url de xac thuc ngay hom"", 8], [""chung toi phat hien tai khoan"", 8], [""toi phat hien tai khoan cua"", 8], [""tai khoan cua ban dang tieu"", 8], [""khoan cua ban dang tieu dung"", 8], [""cua ban dang tieu dung o"", 8], [""ban dang tieu dung o nuoc"", 8], [""dang tieu dung o nuoc ngoai"", 8], [""tieu dung o nuoc ngoai neu"", 8], [""dung o nuoc ngoai neu khong"", 8], [""o nuoc ngoai neu khong phai"", 8], [""nuoc ngoai neu khong phai ban"", 8], [""ngoai neu khong phai ban dang"", 8], [""neu khong phai ban dang tieu"", 8]]"
current,label_0_synthetic_like,5,0.021521521521521522,40544,0.6335586029992107,0.47124112075769536,"[[""hieu luc trong num phut"", 118], [""co hieu luc trong num"", 100], [""num num num vnd luc"", 99], [""num num vnd luc num"", 99], [""num vnd luc num num"", 99], [""so du num num num"", 88], [""du num num num vnd"", 87], [""num num num num vnd"", 85], [""khong chia se ma nay"", 84], [""tk num num num num"", 84], [""ma co hieu luc trong"", 80], [""num num ngay num num"", 79], [""num so du num num"", 79], [""num num num vnd nd"", 78], [""num num so du num"", 76], [""vnd luc num num so"", 73], [""luc num num so du"", 73], [""thanh cong luc num num"", 72], [""giao thanh cong luc num"", 71], [""luc num num ngay num"", 70]]"
current,label_0_synthetic_like,6,0.021521521521521522,38547,0.7060731055594469,0.38674864451189456,"[[""co hieu luc trong num phut"", 100], [""num num num vnd luc num"", 99], [""num num vnd luc num num"", 99], [""so du num num num vnd"", 87], [""num so du num num num"", 77], [""num num so du num num"", 76], [""ma co hieu luc trong num"", 74], [""num num num num vnd luc"", 73], [""num vnd luc num num so"", 73], [""vnd luc num num so du"", 73], [""luc num num so du num"", 73], [""giao thanh cong luc num num"", 71], [""luc num num ngay num num"", 70], [""num ma co hieu luc trong"", 69], [""da giao thanh cong luc num"", 68], [""num num tu num h num"", 66], [""tk num num num num vnd"", 66], [""num tu num h num h"", 65], [""la num ma co hieu luc"", 63], [""giao khong thanh cong lan num"", 62]]"
current,label_0_real,5,0.2802528597230584,114750,0.4166884531590414,0.6934466230936819,"[[""num num num num num"", 400], [""nhắn tin trong num ngày"", 299], [""sử dụng gọi nhắn tin"", 288], [""gọi nhắn tin trong num"", 283], [""dụng gọi nhắn tin trong"", 280], [""url cskh num num đ"", 240], [""được sử dụng gọi nhắn"", 233], [""khuyến mại được sử dụng"", 230], [""mại được sử dụng gọi"", 229], [""tại url cskh num num"", 226], [""num giá trị thẻ nạp"", 204], [""num num đ trân trọng"", 186], [""num num num khuyến mại"", 185], [""khi nạp thẻ tại url"", 155], [""num khuyến mại được sử"", 153], [""num num khuyến mại được"", 151], [""hôm nay num num num"", 148], [""num num d tran trong"", 148], [""chi tiết lh num num"", 142], [""ngày mai num num num"", 140]]"
current,label_0_real,6,0.2802528597230584,111446,0.44056314268793856,0.6735638784702905,"[[""gọi nhắn tin trong num ngày"", 283], [""sử dụng gọi nhắn tin trong"", 280], [""dụng gọi nhắn tin trong num"", 280], [""được sử dụng gọi nhắn tin"", 233], [""khuyến mại được sử dụng gọi"", 229], [""mại được sử dụng gọi nhắn"", 229], [""tại url cskh num num đ"", 221], [""num num num num num num"", 160], [""num khuyến mại được sử dụng"", 153], [""num num num khuyến mại được"", 151], [""num num khuyến mại được sử"", 151], [""chi tiết lh num num đ"", 133], [""khi nạp thẻ tại url cskh"", 126], [""nạp thẻ tại url cskh num"", 126], [""thẻ tại url cskh num num"", 126], [""vào ngày mai num num num"", 118], [""nhắn tin trong num ngày thêm"", 112], [""tin trong num ngày thêm ưu"", 111], [""trong num ngày thêm ưu đãi"", 111], [""quý khách num giá trị thẻ"", 107]]"
