"sample_id","content","content_after","label","has_url","has_phone_number","sender_type","category","obfuscation_level","data_origin","source_dataset","source_file","source_row_id"
"phase1_05768","B4cc4r4t_Truc-T!ep*G!ai-Tr!^2Q. Ch0i-g4, X0-s0. Rut-t1en_nhanh! CSKH-24/7. DK: q2qbet.com","Baccarat Trực Tiếp Giải Trí 2Q. Chọi gà, Xổ số. Rút tiền nhanh! Chăm sóc khách hàng 24/7. Đăng ký: q2qbet.com","1","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","201"
"phase1_05770","G!ai-tr!_2Q-B4cc4r4t~Truc-T!ep. Ch0i-g4, X0-s0. CSKH-24/24-G@me-uy-t!n. DK: q2qpro.com","Giải trí 2Q Baccarat Trực Tiếp. Chọi gà, Xổ số. Chăm sóc khách hàng 24/24 Game uy tín. Đăng ký: q2qpro.com","1","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","203"
"phase1_05772","G!ai-tr!^2Q*B4cc4r4t_Truc-T!ep. Ch0i-g4, Th3-th40. Rut-t1en-3-phut! DK: q2q789.com","Giải trí 2Q Baccarat Trực Tiếp. Chọi gà, Thể thao. Rút tiền 3 phút! Đăng ký: q2q789.com","1","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","205"
"phase1_05773","Giai tri 2Q: Ch0i g4, B4cc4r4t, x0 s0. Khuyen m4i n4p d4u h4p d4n. CSKH 24/24. DK: 2qapp.com","Giải trí 2Q: Chọi gà, Baccarat, xổ số. Khuyến mãi nạp đầu hấp dẫn. Chăm sóc khách hàng 24/24. Đăng ký: 2qapp.com","1","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","206"
"phase1_05774","B4cc4r4t_Truc-T!ep-G!ai-tr!_2Q. Ch0i-g4, X0-s0. Rut-t1en_nhanh-ch0ng! DK: q2qsky.com","Baccarat Trực Tiếp Giải trí 2Q. Chọi gà, Xổ số. Rút tiền nhanh chóng! Đăng ký: q2qsky.com","1","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","207"
"phase1_05776","G!ai-tr!_2Q*B4cc4r4t~Truc-T!ep. Ch0i-g4, d1en-tu. CSKH-24/24-uy-t!n. DK: q2qmax.com","Giải trí 2Q Baccarat Trực Tiếp. Chọi gà, điện tử. Chăm sóc khách hàng 24/24 uy tín. Đăng ký: q2qmax.com","1","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","209"
"phase1_05778","Tuyen_D4i-Ly_G!ai-Tr!^2Q! H04_h0ng-60%. Z@lo: 0912333444. L1nk: g2qpro.bet","Tuyển Đại Lý Giải Trí 2Q! Hoa hồng 60%. Zalo: 0912333444. Link: g2qpro.bet","1","1","1","shortcode","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","211"
"phase1_05780","D4i-Ly_G!ai-tr!_2Q_H04-h0ng~50%. Tr4_h04-h0ng-hang-tuan. Z@lo: 0933888999. L1nk: g2qfun.bet","Đại Lý Giải trí 2Q Hoa hồng 50%. Trả hoa hồng hàng tuần. Zalo: 0933888999. Link: g2qfun.bet","1","1","1","shortcode","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","213"
"phase1_05784","D4i-Ly_G!ai-tr!_2Q*H04-h0ng~55%. Tr4_t1en-nhanh-ch0ng. Z@lo: 0966444555. L1nk: g2qtop.bet","Đại Lý Giải trí 2Q Hoa hồng 55%. Trả tiền nhanh chóng. Zalo: 0966444555. Link: g2qtop.bet","1","1","1","shortcode","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","217"
"phase1_05786","Tuyen_D4i-Ly_G!ai-Tr!^2Q_H04-h0ng~50%! Z@lo: 0955777888. L1nk: g2qwin.bet","Tuyển Đại Lý Giải Trí 2Q Hoa hồng 50%! Zalo: 0955777888. Link: g2qwin.bet","1","1","1","shortcode","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","219"
"phase1_05906","Ch40_b4n^m1nh-l4_An. B4n mu0n*k13m_t13n#nh4n-d0n_h4ng_Shopee kh0ng? Kh0ng-c4n-v0n~l4m_t41-nh4_100k-500k/ng4y.","Chào bạn, mình là An. Bạn muốn kiếm tiền nhận đơn hàng Shopee không? Không cần vốn làm tại nhà 100k-500k/ngày.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","342"
"phase1_05909","Anh/ch1_v u1^l0ng-n4p*t13n_v40_STK: 19033485729011. Ng4n-h4ng_Techcombank. CT_TNHH-DAU_TU_AN_PHAT. D3_nh4n-l3nh_tr4d3.","Anh/chị vui lòng nạp tiền vào số tài khoản: 19033485729011. Ngân hàng Techcombank. Công ty Trách nhiệm hữu hạn Đầu tư An Phát. Để nhận lệnh trade.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","345"
"phase1_05910","B4n 01, m1nh l4 H4nh. B3n m1nh c0 v13c th4 t1m v1d30 TikTok k13m 150k/ng4y. Kh0ng c4n k1nh ngh13m, l4m l0n t41 nh4.","Bạn ơi, mình là Hạnh. Bên mình có việc thả tim video TikTok kiếm 150k/ngày. Không cần kinh nghiệm, làm luôn tại nhà.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","346"
"phase1_05911","Ch40 b4n, m1nh l4 Tu4n. G140 v13n b3n m1nh z4y k13m t13n 0nl1n3 free. Thu nh4p 1tr/ng4y. Bam v40 t.me/hoc_kiem_tien_nhanh","Chào bạn, mình là Tuấn. Giáo viên bên mình dạy kiếm tiền online miễn phí. Thu nhập 1 triệu/ngày. Bấm vào t.me/hoc_kiem_tien_nhanh","1","1","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","347"
"phase1_05912","Ch40_b4n! M1nh_l4-M1nh. C0ng_v13c-d4t_d0n#h4ng-Lazada k13m-ch3nh_l3nh 200k-800k*m01_ng4y. Kh0ng_c4n_v0n~dau-nhe.","Chào bạn! Mình là Minh. Công việc đặt đơn hàng Lazada kiếm chênh lệch 200k-800k mỗi ngày. Không cần vốn đâu nhé.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","348"
"phase1_05915","Ch40_b4n^m1nh-l4_Huy. Chuy3n-v13n*hu0ng_d4n-c0py_tr4d3#th4ng_100%. K13m_500k-1tr~m01_ng4y. Th3m-T3l3gr4m: t.me/huy_fx_copy","Chào bạn, mình là Huy. Chuyên viên hướng dẫn copy trade thắng 100%. Kiếm 500k-1 triệu mỗi ngày. Thêm Telegram: t.me/huy_fx_copy","1","1","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","351"
"phase1_05918","Ch40_b4n! M1nh_l4-L1nh. B3n_m1nh-tuy3n*nhan_v13n#th4_t1m-v1d30 TikTok. K13m 100k~200k^m01-ng4y. Ch1_c4n-10_phut.","Chào bạn! Mình là Linh. Bên mình tuyển nhân viên thả tim video TikTok. Kiếm 100k-200k mỗi ngày. Chỉ cần 10 phút.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","354"
"phase1_05921","Ch40_b4n^m1nh-l4_L0ng. S4n-d4u_tu*XYZ#cam-k3t_l01_nhu4n 20%-50%*m01_th4ng. Ch1_c4n-15_phut~m01_ng4y-th30_l3nh.","Chào bạn, mình là Long. Sàn đầu tư XYZ cam kết lợi nhuận 20%-50% mỗi tháng. Chỉ cần 15 phút mỗi ngày theo lệnh.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","357"
"phase1_05924","Ch40_b4n! M1nh_l4-Qu4n. Nh0m_T3l3gr4m*hu0ng_d4n-k13m#500k-1tr_m01^ng4y. Link_nh0m: t.me/quan_kiem_tien_online","Chào bạn! Mình là Quân. Nhóm Telegram hướng dẫn kiếm 500k-1 triệu mỗi ngày. Link nhóm: t.me/quan_kiem_tien_online","1","1","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","360"
"phase1_05927","Ch40_b4n^m1nh-l4_Tu. Chuy3n-v13n*hu0ng_d4n-tr4d3#Forex-l01_nhu4n_c40. K13m_1tr-3tr~m01_ng4y. Th3m-T3l3gr4m: t.me/tu_forex_vip","Chào bạn, mình là Tú. Chuyên viên hướng dẫn trade Forex lợi nhuận cao. Kiếm 1 triệu-3 triệu mỗi ngày. Thêm Telegram: t.me/tu_forex_vip","1","1","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","363"
"phase1_05930","Ch40_b4n! M1nh_l4-V1nh. D4u_tu-s4n*XYZ#nh4n-l01_nhu4n_khung 1tr-5tr*m01_ng4y. Kh0ng-c4n_k1nh-ngh13m~d4u-nhe.","Chào bạn! Mình là Vĩnh. Đầu tư sàn XYZ nhận lợi nhuận khủng 1 triệu-5 triệu mỗi ngày. Không cần kinh nghiệm đâu nhé.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","366"
"phase1_05933","Ch40_b4n^m1nh-l4_D13p. B3n_m1nh-tuy3n*th4_t1m#v1d30-TikTok. K13m_100k-300k~m01_ng4y. Ch1-c4n_15#phut-th01.","Chào bạn, mình là Diệp. Bên mình tuyển thả tim video TikTok. Kiếm 100k-300k mỗi ngày. Chỉ cần 15 phút thôi.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","369"
"phase1_05936","Ch40_b4n! M1nh_l4-Y3n. C0ng_v13c-d4t_d0n#h4ng-Shopee k13m-200k*m01_ng4y. Kh0ng_c4n_v0n~l4m_t41-nh4_r4t-nh4n.","Chào bạn! Mình là Yến. Công việc đặt đơn hàng Shopee kiếm 200k mỗi ngày. Không cần vốn làm tại nhà rất nhàn.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","372"
"phase1_05939","Ch40_b4n^m1nh-l4_Phuc. G140_v13n*hu0ng_d4n-k13m#300k-1tr_m01^ng4y. Link_T3l3gr4m: t.me/phuc_kiem_tien_online","Chào bạn, mình là Phúc. Giáo viên hướng dẫn kiếm 300k-1 triệu mỗi ngày. Link Telegram: t.me/phuc_kiem_tien_online","1","1","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","375"
"phase1_05942","Ch40_b4n! M1nh_l4-K13u. Chuy3n-v13n*hu0ng_d4n-tr4d3#Forex-th4ng_lon. K13m_2tr~m01_ng4y. Th3m-T3l3gr4m: t.me/kieu_fx_vip","Chào bạn! Mình là Kiều. Chuyên viên hướng dẫn trade Forex thắng lớn. Kiếm 2 triệu mỗi ngày. Thêm Telegram: t.me/kieu_fx_vip","1","1","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","378"
"phase1_05949","D4t_d0n-h4ng^onl1n3! Thu-nh4p 3OOk-7OOk/ng4y. Ch1-c4n_sm4rtph0n3 r4nh r01. L13n-h3_nh4n-v13c_ng4y.","Đặt đơn hàng online! Thu nhập 300k-700k/ngày. Chỉ cần smartphone rảnh rỗi. Liên hệ nhận việc ngay.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","385"
"phase1_05952","Chuv3n_khoan-d4u*tu s4n_F0r3x. NH VCB, Stk: 0071001234567. CT TNHH DAU TU TAI CHINH THINH VUONG. Chup b13n l41 nhe.","Chuyển khoản đầu tư sàn Forex. Ngân hàng Vietcombank, Số tài khoản: 0071001234567. Công ty Trách nhiệm hữu hạn Đầu tư Tài chính Thịnh Vượng. Chụp biên lai nhé.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","388"
"phase1_05955","D4u-tu_thong-m1nh^thu-nh4p_thu-d0ng. Chuv3n-khoan stk 1028374655, NH BIDV. CT CP DAU TU CK ALPHA. Luy3n t4p 5 phut.","Đầu tư thông minh thu nhập thụ động. Chuyển khoản số tài khoản 1028374655, Ngân hàng BIDV. Công ty Cổ phần Đầu tư Chứng khoán Alpha. Luyện tập 5 phút.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","391"
"phase1_05958","N4p-v0n_tr4z3-c0py. L41^su4t 3O% m01-th4ng. Chuv3n_v4o stk 19033445566, Techcombank. CT TNHH TM DV TAI CHINH.","Nạp vốn trade copy. Lãi suất 30% mỗi tháng. Chuyển vào số tài khoản 19033445566, Techcombank. Công ty Trách nhiệm hữu hạn Thương mại Dịch vụ Tài chính.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","394"
"phase1_05970","CHUV3N_KHOAN-DAU^TU_CO_PHIEU. STK: 0011004321654, VCB. CT TNHH DAU TU CK AN BINH. Chuv3n v13n s3 h0 tro.","CHUYỂN KHOẢN ĐẦU TƯ CỔ PHIẾU. Số tài khoản: 0011004321654, Vietcombank. Công ty Trách nhiệm hữu hạn Đầu tư Chứng khoán An Bình. Chuyên viên sẽ hỗ trợ.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","406"
"phase1_05973","N4P_V0N-DAU^TU^CK. STK: 1122334455, NH BIDV. CT TNHH DAU TU TAI CHINH THUAN PHAT. Kh0ng r01 ro.","NẠP VỐN ĐẦU TƯ CHỨNG KHOÁN. Số tài khoản: 1122334455, Ngân hàng BIDV. Công ty Trách nhiệm hữu hạn Đầu tư Tài chính Thuận Phát. Không rủi ro.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","409"
"phase1_05979","N4P_T13N-DAU^TU_S4N_XYZ. STK: 040012345678, MSB. CT TNHH DAU TU BDS THINH PHAT. L3n l3nh ngay.","NẠP TIỀN ĐẦU TƯ SÀN XYZ. Số tài khoản: 040012345678, MSB. Công ty Trách nhiệm hữu hạn Đầu tư Bất động sản Thịnh Phát. Lên lệnh ngay.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","415"
"phase1_05982","CHUV3N_KHOAN-DAU^TU_CO_PHIEU_V1P. STK: 0071009876543, VCB. CT CP DAU TU TAI CHINH HOA BINH.","CHUYỂN KHOẢN ĐẦU TƯ CỔ PHIẾU VIP. Số tài khoản: 0071009876543, Vietcombank. Công ty Cổ phần Đầu tư Tài chính Hòa Bình.","1","0","0","personal_number","Crypto / Đầu tư giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","418"
"phase1_06025","T1kT0k t-u-y-e-n n-h-a-n v13n xu ly d0n h4ng. Thu nh4p 800.000d/ngay. Nh4n t13n s4u 13–25 phut. Tu01 23-65. L13n h3: zalo.me/84912345678 Zalo: 84912345678","TikTok tuyển nhân viên xử lý đơn hàng. Thu nhập 800.000 đồng/ngày. Nhận tiền sau 13-25 phút. Tuổi 23-65. Liên hệ: zalo.me/84912345678 Zalo: 84912345678","1","1","1","personal_number","Tuyển dụng giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","461"
"phase1_06124","T1k1 d4ng tuy3n nh4n v13n d-a-t h-a-n-g n4ng thu h4ng cu4 h4ng. Thu nh4p 800k/ng4y. Z4l0: 84712345678","Tiki đang tuyển nhân viên đặt hàng nâng thương hạng cửa hàng. Thu nhập 800k/ngày. Zalo: 84712345678","1","0","1","personal_number","Tuyển dụng giả","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","560"
"phase1_06144","E~m*S_V^n_g-0-n_t-u_t-r-3_H-C-M-Telegram_t.me/sg_be_ngon_vI8","Em sinh viên ngon từ trẻ Hồ Chí Minh. Telegram: t.me/sg_be_ngon_vI8","1","0","0","personal_number","Nội dung nhạy cảm","LEVEL 4 – Mixed special chars","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","580"
"phase1_06145","H.N.-.Z.a.l.o.H.e.n.h.o.k.i.n.d.a.o.n.h.a.n.h.i.n.h.z.a.l.o.m.e/g/hanoi_dem_P2r","Hà Nội. Zalo hẹn hò kín đáo, nhận hình: zalo.me/g/hanoi_dem_P2r","1","0","0","personal_number","Nội dung nhạy cảm","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","581"
"phase1_06146","D;N-T,e;l;e;g,r;a,m:S;V:N,g;0,n-ä;h:t,r;a;i_n;g;h;i;e;m-t.me/dn_sv_99_M1k","Đà Nẵng. Telegram: Sinh viên ngon, hãy trải nghiệm: t.me/dn_sv_99_M1k","1","1","0","personal_number","Nội dung nhạy cảm","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","582"
"phase1_06147","HN_Telegram_C^l^b_G*A*I_X^j^n^h_d-a-n-g_c-h-0_a-n-h_t.me/hanoi_club_Z7t","Hà Nội. Telegram Câu lạc bộ gái xinh đang chờ anh: t.me/hanoi_club_Z7t","1","0","0","personal_number","Nội dung nhạy cảm","LEVEL 4 – Mixed special chars","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","583"
"phase1_06148","H.C.M.-.Z.a.l.o.E.m.m.o.i.d.e.n.S.G.l.a.m.t.h.e.m.z.a.l.o.m.e/g/sg_emmoi_L9q","Hồ Chí Minh. Zalo: Em mới đến Sài Gòn làm thêm: zalo.me/g/sg_emmoi_L9q","1","0","0","personal_number","Nội dung nhạy cảm","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","584"
"phase1_06149","H,C,M:T;e;l,e;g,r;a,m-ä;n;h:m;u;0,n:v;u;i:v,e:k;j,n:d;a;0-t.me/hcm_vui_B4x","Hồ Chí Minh. Telegram: Anh muốn vui vẻ kín đáo: t.me/hcm_vui_B4x","1","1","0","personal_number","Nội dung nhạy cảm","LEVEL 5 – Extreme noise","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","585"
"phase1_06150","HN-Zalo_B4N_da-du_D!EU_K!EN_nh4n_T1EN_h0~tro_zalo.me/g/hn_support_F3s","Hà Nội. Zalo: Bạn đã đủ điều kiện nhận tiền hỗ trợ: zalo.me/g/hn_support_F3s","1","0","0","personal_number","BHXH / Trợ cấp","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","586"
"phase1_06151","D.N.-.T.e.l.e.g.r.a.m.e.m.2.k.4.c.a.n.t.i.m.n.h.u.o.n.g.t.m.e/dn_2k4_R5n","Đà Nẵng. Telegram: Em 2k4 cần tìm người nuôi: t.me/dn_2k4_R5n","1","0","0","personal_number","Nội dung nhạy cảm","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","587"
"phase1_06152","H;N:T,e;l,e;g,r;a,m-C;L;B:h;e,n:h;0:v;i,p:d;a,n;h:c;h,0:ä;n;h-bit.ly/hn_vip_K2m","Hà Nội. Telegram: Câu lạc bộ hẹn hò vip dành cho anh: bit.ly/hn_vip_K2m","1","1","0","personal_number","Nội dung nhạy cảm","LEVEL 4 – Mixed special chars","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","588"
"phase1_06153","HCM-Zalo_G@i_G0i_D-e-m_G-i-a_R-e_zalo.me/g/hcm_dem_T8v","Hồ Chí Minh. Zalo: Gái gọi đêm giá rẻ: zalo.me/g/hcm_dem_T8v","1","0","0","personal_number","Nội dung nhạy cảm","LEVEL 4 – Mixed special chars","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","589"
"phase1_06154","H.N.-.T.e.l.e.g.r.a.m.t.i.m.b.a.n.t.i.n.h.m.o.t.d.e.m.t.m.e/hanoi_tinh_A1z","Hà Nội. Telegram: Tìm bạn tình một đêm: t.me/hanoi_tinh_A1z","1","0","0","personal_number","Nội dung nhạy cảm","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","590"
"phase1_06155","D,N:T,e;l,e;g,r;a,m-L;a;m:q;u;a;n:h;e:k;j,n:d;a;o:ä;n;h:0;j-t.ly/dn_top_N6p","Đà Nẵng. Telegram: Làm quan hệ kín đáo anh ơi: t.ly/dn_top_N6p","1","1","0","personal_number","Nội dung nhạy cảm","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","591"
