content,label,has_url,has_phone_number,sender_type,category,level
Quyet-zinh_BHXH: B4n_da-du D!EU^K!EN nh4n~T1EN BHTN. B4m v4o www.ytrew.icu. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! hJ1k,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
BHXH VN: Ong(Ba)_da-du d!eu*k!en nh4n^T1EN ho_tro. B4m v4o www.mnbvc.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! xS7z,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Quy-BHTN: B4n_da-du D!EU^K!EN nh4n~T1EN ho_tro nq-116. B4m v4o www.plmko.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! kL2m,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
[BHXH] Quyet-zinh: Ong(Ba)_da-du D!EU*K!EN nh4n^T1EN. B4m v4o www.ijnuh.icu. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! oP9i,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Theo_NQ_116: B4n_da-du d!eu^k!en nh4n~T1EN tu quy#BHTN. B4m v4o www.uhbvg.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! bV5c,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
BHXH_VN: B4n_da-du D!EU*K!EN nh4n^T1EN h0~tro BHTN. B4m v4o www.ygvfc.icu. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! xZ3q,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
[T.B] Quy-BHTN: Ong(Ba)_da-du d!eu^k!en nh4n-T1EN ho_tro. B4m v4o www.rdxct.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! mN8b,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
BHXH: B4n_da-du D!EU*K!EN nh4n^T1EN tu quy#BHTN. B4m v4o www.tfvgy.icu. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! vC2x,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Quyet-zinh_BHXH: B4n_da-du d!eu^k!en nh4n~T1EN ho_tro. B4m v4o www.hbijn.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! qW1e,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Theo_NQ-116: Ong(Ba)_da-du D!EU*K!EN nh4n^T1EN BHTN. B4m v4o www.okmji.icu. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! aS4d,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
[BHXH] Quy-BHTN: B4n_da-du d!eu^k!en nh4n-T1EN ho_tro. Nhan t41: mo.ujmnh.com. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! fG6h,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
BHXH VN: Ong(Ba)_da-du D!EU*K!EN nh4n^T1EN tu quy#BHTN. Nhan t41: mo.ytrfd.com. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! jK9l,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
"Theo NQ-116, 0ng (B4) da du d!eu k1en nh4n t1en h0 tro tu quy BHTN. Bam v4o www.vbxzq.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! rT5y",1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
[B0 LD-TB-XH] B4n da du d!eu k1en nh4n t1en h0 tro tu quy BHXH. Nh4n t41 mo.qwert.com. QUA HAN SE KH0NG DUOC CHAP NHAN! aB9k,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
"Theo_NQ-116, B4n-da*du_d!eu_k!en!nh4n*T1EN_tu^quy~BHTN. Bam_vao_www.plmok.icu. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! xA2q",1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Quyet_dinh_BHXH: Ong^Ba_da_du_d!eu_k!en_NHAN_T1EN. Nhan_t41_mo.lkjhg.com. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! mN8v,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Quyet z1nh BHXH: 0ng (B4) da du d!eu k1en nh4n t1en tu quy BHTN. Bam v4o www.mnpqr.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! pL0s,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
B0_LD-TB-XH: B4n_da~du_d!eu_k!en!nh4n_T1EN_tu_quy-BHTN. Nhan_t41_mo.poiuy.com. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! kI9z,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
"Theo NQ-116, B4n da du d!eu k1en nh4n t1en tu quy BHXH. Bam v4o www.asdfg.icu de nh4n. QUA HAN SE KH0NG DUOC CHAP NHAN! jH7u",1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
NQ-116_BHXH: Ong/Ba*da-du_d!eu_k!en_nhan-t1en~ho^tro. Bam_vao_www.zxcvb.icu. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! gF4e,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
0ng (B4) da du d!eu k1en nh4n t1en h0 tro tu quy BHTN. Nhan t41 mo.ytrew.com l4m thu tuc. QUA HAN SE KH0NG DUOC CHAP NHAN! dS1w,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
"[T.B] Theo NQ-116, b4n da du d!eu k1en nh4n t1en h0 tro. Bam v4o www.hjklm.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! sA6q",1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
BHXH_VN: B4n_da-du_d!eu_k!en_nh4n_t1en*tu^quy~BHTN. Nhan_t41_mo.nbvcx.com. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! qW3e,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Quyet z1nh BHXH: Ong (B4) da du d!eu k1en nh4n t1en h0 tro. Bam v4o www.poiuz.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! eR8t,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
B0-LD-TB-XH_TB: Ong^Ba_da_du_d!eu_k!en-nhan_t1en*BHTN. Bam_vao_www.mnbvc.icu. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! tY2u,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
"Theo NQ-116, 0ng (B4) da du d!eu k1en nh4n t1en h0 tro. Nhan t41 mo.xcvbn.com. QUA HAN SE KH0NG DUOC CHAP NHAN! uI5o",1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
B4n da du d!eu k1en nh4n t1en tu quy BHTN theo NQ-116. Bam v4o www.lkjhg.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! oP9p,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Quyet_dinh_BHXH: B4n_da-du_d!eu_k!en_NHAN_T1EN!tu_quy~BHTN. Nhan_t41_mo.dfghj.com. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! pO0l,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
NQ-116: 0ng (B4) da du d!eu k1en nh4n t1en h0 tro BHXH. Bam v4o www.rewqa.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! lK4j,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
[BHXH] B4n_da~du_d!eu_k!en!nh4n_t1en_h0_tro-NQ116. Bam_vao_www.uytrv.icu. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! kJ7h,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
"Theo quyet z1nh BHXH, b4n da du d!eu k1en nh4n t1en. Nhan t41 mo.zaxsc.com. QUA HAN SE KH0NG DUOC CHAP NHAN! hG2f",1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
0ng (B4) da du d!eu k1en nh4n t1en h0 tro tu quy BHTN. Bam v4o www.plmko.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! fD9d,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
B0_LD-TB-XH: Ong^Ba-da_du_d!eu_k!en_nhan_t1en!BHTN. Bam_vao_www.vfrtg.icu. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! dS3s,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
"Theo NQ-116, b4n da du d!eu k1en nh4n t1en h0 tro tu quy BHXH. Nhan t41 mo.bgtnh.com. QUA HAN SE KH0NG DUOC CHAP NHAN! sA1a",1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Quyet_dinh_BHXH: B4n_da~du_d!eu_k!en!nh4n_t1en-h0-tro. Bam_vao_www.nhyuj.icu. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! aZ5x,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
0ng (B4) da du d!eu k1en nh4n t1en h0 tro tu quy BHTN. Bam v4o www.mjuik.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! zX8c,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
B4n_da-du_d!eu_k!en_NHAN_T1EN-tu^quy~BHTN_theo_NQ-116. Nhan_t41_mo.kiolp.com. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! xC2v,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
"Theo quyet z1nh BHXH, 0ng (B4) da du d!eu k1en nh4n t1en. Bam v4o www.loiuy.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! vB6b",1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
NQ-116_TB: B4n_da*du_d!eu_k!en_nhan_t1en!tu-quy-BHXH. Bam_vao_www.swedc.icu. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! bN4n,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
B4n da du d!eu k1en nh4n t1en h0 tro tu quy BHTN. Nhan t41 mo.aqzws.com. QUA HAN SE KH0NG DUOC CHAP NHAN! nM0m,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
[B0 LD-TB-XH] Ong (B4) da du d!eu k1en nh4n t1en tu quy BHXH. Bam v4o www.rfvbg.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! mJ1k,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
"Theo_NQ-116, Ong^Ba_da_du_d!eu_k!en_nhan_t1en~BHTN. Bam_vao_www.tgbnh.icu. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! kL7o",1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Quyet z1nh BHXH: B4n da du d!eu k1en nh4n t1en h0 tro. Nhan t41 mo.edcrf.com. QUA HAN SE KH0NG DUOC CHAP NHAN! lI3u,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
B4n_da-du_d!eu_k!en_nh4n_t1en*h0~tro_tu^quy-BHTN. Bam_vao_www.yhnjk.icu. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! uY9t,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
"Theo NQ-116, 0ng (B4) da du d!eu k1en nh4n t1en tu quy BHXH. Bam v4o www.ujmko.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! yR5e",1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
[TB] B4n_da~du_d!eu_k!en!nh4n_t1en_tu-quy-BHXH. Nhan_t41_mo.tgvfc.com. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! rE2w,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Quyet z1nh BHXH: Ong (B4) da du d!eu k1en nh4n t1en. Bam v4o www.ikmju.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! eW6q,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
"Theo_NQ-116, B4n_da-du_d!eu_k!en_nhan_t1en-h0^tro! Nhan_t41_mo.yhbgt.com. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! qA4s",1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
0ng (B4) da du d!eu k1en nh4n t1en h0 tro tu quy BHTN. Bam v4o www.wsxza.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! wS8d,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
NQ-116_BHXH: B4n_da*du_d!eu_k!en!nhan_t1en~BHTN. Bam_vao_www.qazws.icu. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! sD0f,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
B0 LD-TB-XH: B4n da du d!eu k1en nh4n t1en h0 tro. Nhan t41 mo.rdcvf.com. QUA HAN SE KH0NG DUOC CHAP NHAN! dF1g,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Quyet_dinh_BHXH: Ong^Ba_da_du_d!eu_k!en_nhan_t1en_BHTN. Bam_vao_www.olpkh.icu. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! fG5h,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
"Cty HVS cần tuyển nhân viên xử lý đơn đặt hàng TMĐT Amazon tại nhà. Thu nhập 500k~3000k/ngày, không cần kinh nghiệm. Yêu cầu 23-60 tuổi. Liên hệ Zalo: zalo.me/84901234567 Zalo: 84901234567",1,1,1,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal)
"Tôi là trưởng phòng Cty HVS tuyển gấp cộng tác viên TikTok. Nhận tiền sau 13–25 phút, lương 800.000đ/ngày. Độ tuổi 22–60. Zalo: zalo.me/84912345678 SĐT: 84912345678",1,1,1,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal)
"Cty HVS thông báo tuyển dụng nhân viên Shopee xử lý đơn và đánh giá sản phẩm. Làm tại nhà, thu nhập 350–999k/ngay. Yêu cầu từ 23-65 tuổi. Đăng ký tại: zalo.me/84922334455",1,1,0,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal)
"Cty HVS cần tuyển người đặt hàng Tiki để nâng thứ hạng cửa hàng. Thu nhập 1.000.000đ/ngày, trả lương ngay. Thao tác đơn giản trên điện thoại. Tuổi 22-60. Zalo: 84933445566",1,0,1,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal)
"Tôi là trưởng phòng Cty HVS tuyển nhân viên bán thời gian tại nhà. Thu nhập 500k-1tr/ngày. Yêu cầu 22-65 tuổi, có smartphone. Liên hệ Zalo: zalo.me/84944556677 Zalo: 84944556677",1,1,1,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal)
"Cty HVS cần tuyển gấp 50 nhân viên xử lý đơn hàng eBay. Lương 800k/ngày, làm việc tại nhà, không cần kinh nghiệm. Tuổi 23-60. Zalo: zalo.me/84955667788 Zalo: 84955667788",1,1,1,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal)
"Cty HVS tuyển cộng tác viên TikTok xem video và xử lý đơn. Thu nhập 350–999k/ngay, nhận tiền trong ngày. Tuổi 22-65. Liên hệ: zalo.me/84966778899 Zalo: 84966778899",1,1,1,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal)
"Cty HVS tuyển dụng vị trí xử lý đơn hàng Lazada. Làm tại nhà, thu nhập 500.000đ-2.000.000đ/ngày. Yêu cầu 23-60 tuổi. Link đăng ký: zalo.me/84977889900",1,1,0,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal)
Cty HVS tuyển nhân viên đặt đơn Tiki nâng cao uy tín shop. Kiếm 800k mỗi ngày dễ dàng qua điện thoại. Tuổi 22-60. Liên hệ trực tiếp Zalo: 84988990011,1,0,1,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal)
"Cty HVS cần tuyển cộng tác viên bán thời gian, lương 500k~3000k/ngày. Thao tác đơn giản, làm tại nhà hoàn toàn. Tuổi 23-65. Zalo: zalo.me/84999001122 Zalo: 84999001122",1,1,1,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal)
Tôi là trưởng phòng Cty HVS tuyển nhân viên xử lý đơn hàng Amazon. Thu nhập hấp dẫn 1tr/ngày. Yêu cầu 22-60 tuổi. Liên hệ ngay Zalo: zalo.me/84900112233 Zalo: 84900112233,1,1,1,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal)
"Cty HVS tuyển gấp nhân viên đánh giá sản phẩm Shopee. Thu nhập 350–999k/ngay, không cần cọc. Tuổi 23-65. Đăng ký qua Zalo: zalo.me/84911223344",1,1,0,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal)
Cty HVS tuyển người hỗ trợ đặt hàng Tiki tại nhà. Lương 800.000đ/ngày thanh toán theo ngày. Yêu cầu 22-60 tuổi. Liên hệ Zalo: 84922334455,1,0,1,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal)
"Cty HVS c4n tuy3n nh4n v13n xuly d0n h4ng Am4z0n t41 nh4. Thu nh4p 500k-3000k/ng4y. Kh0ng c4n k1nh ngh13m, tu01 22-65. L13n h3 Z4l0: zalo.me/84811112222 Z4l0: 84811112222",1,1,1,personal_number,Tuyển dụng giả,LEVEL 2 – Leet nặng + tên riêng
"T01 l4 tru0ng ph0ng Cty HVS tuy3n c0ng t4c v13n T1kT0k g4p. Nh4n t13n s4u 15 phut, lu0ng 800.000d/ng4y. Tu01 23-60. L13n h3: zalo.me/84822223333 84822223333",1,1,1,personal_number,Tuyển dụng giả,LEVEL 2 – Leet nặng + tên riêng
"Cty HVS th0ng b40 tuy3n dung nh4n v13n Sh0p33. L4m t41 nh4, thu nh4p 350-999k/ng4y. Y3u c4u 22-65 tu01. D4ng ky t41: zalo.me/84833334444",1,1,0,personal_number,Tuyển dụng giả,LEVEL 2 – Leet nặng + tên riêng
Cty HVS c4n tuy3n ngu01 d4t h4ng T1k1 n4ng th3 h4ng. Thu nh4p 1tr/ng4y. Th40 t4c d0n g14n tr3n d13n th041. Tu01 23-60. Z4l0: 84844445555,1,0,1,personal_number,Tuyển dụng giả,LEVEL 2 – Leet nặng + tên riêng
Cty HVS tuy3n nh4n v13n b4n th01 g14n t41 nh4. Thu nh4p 500k~3000k/ng4y. Tu01 22-65. L13n h3 Z4l0: zalo.me/84855556666 Z4l0: 84855556666,1,1,1,personal_number,Tuyển dụng giả,LEVEL 2 – Leet nặng + tên riêng
