sample_id,label,data_origin,has_url,content_length,legacy_category,legacy_obfuscation_level,pilot_buckets
ViSmish_07831,1,real,0,437,Tuyển dụng giả,Level 0 - Formal,no_url|long|nonstandard
ViSmish_10033,1,real,1,74,Khác,Level 2 - Leet nặng,has_url|short|nonstandard
ViSmish_09711,1,real,1,64,Cờ bạc / Betting,Level 0 - Formal,has_url|short|nonstandard
ViSmish_09112,1,real,1,76,Cờ bạc / Betting,Level 3 - Dot/Dash,has_url|short|nonstandard
ViSmish_04979,1,real,0,78,Nội dung nhạy cảm,Level 0 - Formal,no_url|short|nonstandard
ViSmish_04483,1,real,1,71,Dịch vụ công giả,Level 2 - Leet nặng,has_url|short|nonstandard
ViSmish_02482,1,real,1,378,Tuyển dụng giả,Level 3 - Dot/Dash,has_url|long|nonstandard
ViSmish_03616,1,real,0,483,Đòi nợ / Đe dọa,Level 2 - Leet nặng,no_url|long|nonstandard
ViSmish_01285,1,real,1,382,Khác,Level 0 - Formal,has_url|long|nonstandard
ViSmish_08298,1,real,1,296,Dịch vụ công giả,Level 0 - Formal,has_url|long|nonstandard
ViSmish_04994,1,real,0,327,Tuyển dụng giả,Level 0 - Formal,no_url|long|nonstandard
ViSmish_08294,1,real,1,333,Giả mạo ngân hàng,Level 2 - Leet nặng,has_url|long|nonstandard
ViSmish_08423,1,real,1,189,Giả mạo ngân hàng,Level 1 - Leet nhẹ,has_url|nonstandard
ViSmish_00404,1,real,1,70,Cờ bạc / Betting,Level 0 - Formal,has_url|short|nonstandard
ViSmish_08758,1,real,0,208,Khác,Level 2 - Leet nặng,no_url|nonstandard
ViSmish_03253,1,real,1,83,Cờ bạc / Betting,Level 1 - Leet nhẹ,has_url|nonstandard
ViSmish_08148,1,synthetic,1,52,Nội dung nhạy cảm,Level 0 - Formal,has_url|short|nonstandard
ViSmish_04067,1,synthetic,1,137,Giả mạo ngân hàng,Level 0 - Formal,has_url|nonstandard
ViSmish_04370,1,synthetic,1,177,Cờ bạc / Betting,Level 4 - Mixed special characters,has_url|nonstandard
ViSmish_09195,1,synthetic,1,131,Tuyển dụng giả,Level 0 - Formal,has_url|nonstandard
ViSmish_04215,1,synthetic,1,165,Tuyển dụng giả,Level 0 - Formal,has_url|nonstandard
ViSmish_05877,1,synthetic,0,183,Crypto / Đầu tư giả,Level 0 - Formal,no_url|nonstandard
ViSmish_08372,1,synthetic,0,132,Khác,Level 0 - Formal,no_url|nonstandard
ViSmish_10264,1,synthetic,0,146,BHXH / Trợ cấp giả,Level 2 - Leet nặng,no_url|nonstandard
ViSmish_09615,1,synthetic,0,111,Dịch vụ công giả,Level 0 - Formal,no_url|nonstandard
ViSmish_07097,1,synthetic,0,155,Đòi nợ / Đe dọa,Level 0 - Formal,no_url|nonstandard
ViSmish_09585,1,synthetic,1,54,Nội dung nhạy cảm,Level 0 - Formal,has_url|short|nonstandard
ViSmish_09408,1,synthetic,1,70,Nội dung nhạy cảm,Level 0 - Formal,has_url|short|nonstandard
ViSmish_08946,1,synthetic,1,80,Dịch vụ công giả,Level 2 - Leet nặng,has_url|short|nonstandard
ViSmish_04384,1,synthetic,1,63,Cờ bạc / Betting,Level 1 - Leet nhẹ,has_url|short|nonstandard
ViSmish_05863,1,synthetic,1,76,Dịch vụ công giả,Level 0 - Formal,has_url|short|nonstandard
ViSmish_02964,1,synthetic,1,271,Tuyển dụng giả,Level 0 - Formal,has_url|long|nonstandard
ViSmish_05041,1,synthetic,1,269,Tuyển dụng giả,Level 4 - Mixed special characters,has_url|long|nonstandard
ViSmish_03981,1,synthetic,0,332,Đòi nợ / Đe dọa,Level 0 - Formal,no_url|long|nonstandard
ViSmish_09607,1,synthetic,1,303,Tuyển dụng giả,Level 4 - Mixed special characters,has_url|long|nonstandard
ViSmish_01040,1,synthetic,0,284,Đòi nợ / Đe dọa,Level 0 - Formal,no_url|long|nonstandard
ViSmish_07350,1,synthetic,1,80,Dịch vụ công giả,Level 0 - Formal,has_url|short|nonstandard
ViSmish_05890,1,synthetic,1,157,BHXH / Trợ cấp giả,Level 0 - Formal,has_url|nonstandard
ViSmish_05167,1,synthetic,0,153,Crypto / Đầu tư giả,Level 0 - Formal,no_url|nonstandard
ViSmish_01321,1,synthetic,1,79,Cờ bạc / Betting,Level 0 - Formal,has_url|short|nonstandard
ViSmish_02119,1,synthetic,1,111,Dịch vụ công giả,Level 0 - Formal,has_url|nonstandard
