row_index,category,level,leet_token_ratio_before,leet_token_ratio_after,content_before,content_after
755,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.25,0.1667,Hỗ Trợ COVID: Ong (Ba) da du d!eu k!en nhan t1en ho tro. Nhan t41: mo.nbvcx.com. QUA HAN SE KH0NG_DUOC CHAP NHAN! zS2x,Hỗ Trợ COVID: Ong (Ba) da du dieu kien nhan t1en ho tro. Nhan t41: mo.nbvcx.com. QUA HAN SE KH0NG_DUOC CHAP NHAN! zS2x
756,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.3478,0.2609,Hoan-Thue-TNCN: B4N_da-du D!EU K!EN nh4n T1EN tu quy BH#TN. Bam vao www.cxzaq.icu. QUA-HAN SE KH0NG_DUOC CHAP NHAN! kI7o,Hoan-Thue-TNCN: B4N_da-du DIEU KIEN nh4n T1EN tu quy BH#TN. Bam vao www.cxzaq.icu. QUA-HAN SE KH0NG_DUOC CHAP NHAN! kI7o
758,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.3182,0.2273,BHXH_VIETNAM: BAN^da~du D!EU*K!EN nh4n T1EN tu quy BH#TN. Bam vao www.mjnhy.icu. QUA HAN SE KH0NG_DUOC CHAP NHAN! uT1y,BHXH_VIETNAM: BAN^da~du DIEU*KIEN nh4n T1EN tu quy BH#TN. Bam vao www.mjnhy.icu. QUA HAN SE KH0NG_DUOC CHAP NHAN! uT1y
759,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.3043,0.1739,[Quy-BHTN] Ong (Ba) da du d!eu k!en nhan t1en h0~tro. Nhan t41: mo.lkjnh.com. QUA HAN SE KH0NG_DUOC CHAP NHAN! yR6e,[Quy-BHTN] Ong (Ba) da du dieu kien nhan t1en ho~tro. Nhan t41: mo.lkjnh.com. QUA HAN SE KH0NG_DUOC CHAP NHAN! yR6e
764,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.2609,0.1739,BHXH VN: Ong (Ba) da du d!eu k!en nhan t1en tu quy BHTN. Bam vao www.zxcmn.icu. QUA-HAN SE KH0NG_DUOC CHAP NHAN! vC8x,BHXH VN: Ong (Ba) da du dieu kien nhan t1en tu quy BHTN. Bam vao www.zxcmn.icu. QUA-HAN SE KH0NG_DUOC CHAP NHAN! vC8x
774,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.2609,0.1739,HoanThue_TNCN: Ong (Ba) da du d!eu k!en nhan t1en tu quy BHTN. Nhan t41: mo.uhbgv.com. QUA HAN SE KH0NG_DUOC CHAP NHAN! eW2q,HoanThue_TNCN: Ong (Ba) da du dieu kien nhan t1en tu quy BHTN. Nhan t41: mo.uhbgv.com. QUA HAN SE KH0NG_DUOC CHAP NHAN! eW2q
775,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.3913,0.2609,NQ-116: B4N_da-du D!EU K!EN nh4n T1EN h0~tro tu quy BH#TN. Bam vao www.ygvfc.icu. QUA-HAN SE KH0NG_DUOC CHAP NHAN! dF8g,NQ-116: B4N_da-du DIEU KIEN nh4n T1EN ho~tro tu quy BH#TN. Bam vao www.ygvfc.icu. QUA-HAN SE KH0NG_DUOC CHAP NHAN! dF8g
777,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.3043,0.2174,[Quy BHTN] BAN^da~du D!EU*K!EN nh4n T1EN tu quy BH#TN. Bam vao www.teswa.icu. QUA-HAN SE KH0NG_DUOC CHAP NHAN! kL4m,[Quy BHTN] BAN^da~du DIEU*KIEN nh4n T1EN tu quy BH#TN. Bam vao www.teswa.icu. QUA-HAN SE KH0NG_DUOC CHAP NHAN! kL4m
778,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.2917,0.2083,Bo LDTBXH: Ong (Ba) da du d!eu k!en nhan t1en th30 NQ-116. Nhan t41: mo.wsxza.com. QUA HAN SE KHONG DUOC CHAP NHAN! nB7v,Bo LDTBXH: Ong (Ba) da du dieu kien nhan t1en th30 NQ-116. Nhan t41: mo.wsxza.com. QUA HAN SE KHONG DUOC CHAP NHAN! nB7v
821,Đòi nợ / Đe dọa,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.425,0.4,"[CANH CAO LAN CUOI]: Ong Ph4m V4n H4i CMND: 271839405 phai th4nh t04n 12,453,000VND cho Công ty Tài chính FE truoc 17g hom nay. B4t h0p t4c se bi gh1 n0 x4u CIC v4 thong b40 n01 lam v13c. LH ZALO: 0384729103","[CANH CAO LAN CUOI]: Ong Ph4m V4n H4i CMND: 271839405 phai th4nh t04n 12,453,000VND cho Công ty Tài chính FE truoc 17g hom nay. B4t h0p t4c se bi gh1 no x4u CIC v4 thong b40 n01 lam v13c. LH ZALO: 0384729103"
829,Đòi nợ / Đe dọa,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.4848,0.4242,"CANH BAO LAN CUOI!!! Ong Bυ1 Th4nh Tυng CMND: 025091827364 n0 Mcredit 5,283,000VND. Trυoc 16H Ngay 18/05 khong dong t13n se C0ng Kh41 H1NH ANH v4 THONG T1N len d14 phυ0ng v4 ngυ01 th4n. LH: 0329485716","CANH BAO LAN CUOI!!! Ong Bυ1 Th4nh Tυng CMND: 025091827364 n0 Mcredit 5,283,000VND. Trυoc 16H Ngay 18/05 khong dong tien se Cong Kh41 H1NH ANH v4 THONG T1N len d14 phυ0ng v4 ngυ01 th4n. LH: 0329485716"
845,Đòi nợ / Đe dọa,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.4,0.3714,"[CANH CAO LAN CUOI]: BA Ngυy3n Th1 Thυ CMND: 191083746 n0 Home Credit 8,564,300VND. Trυoc 17g hom nay khong n0p t13n se lam don gυ1 t04 4n v4 n13m ph0ng tai san tai n01 0. LH ZALO: 0374859201","[CANH CAO LAN CUOI]: BA Ngυy3n Th1 Thυ CMND: 191083746 n0 Home Credit 8,564,300VND. Trυoc 17g hom nay khong n0p tien se lam don gυ1 t04 4n v4 n13m ph0ng tai san tai n01 0. LH ZALO: 0374859201"
854,Đòi nợ / Đe dọa,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.4865,0.4595,"[CANH CAO LAN CUOI]: Ong Tr4n Th3 V1nh CMND: 221084736 n0 HD Saison 6,124,500VND. Trυoc 17g hom nay khong n0p se bi gh1 n0 x4υ CIC v1nh vien v4 khong th3 v4y v0n tai b4t k3 d4υ. LH: 0385729104","[CANH CAO LAN CUOI]: Ong Tr4n Th3 V1nh CMND: 221084736 n0 HD Saison 6,124,500VND. Trυoc 17g hom nay khong n0p se bi gh1 no x4υ CIC v1nh vien v4 khong th3 v4y v0n tai b4t k3 d4υ. LH: 0385729104"
884,Crypto / Đầu tư giả,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.3684,0.2105,Ban da du d13u k13n nh4n 200k t-u he thong tha tim. Lien he g140 vien de nhan t13n: t.me/troly_tiktok,Ban da du d13u kien nh4n 200k t-u he thong tha tim. Lien he giao vien de nhan tien: t.me/troly_tiktok
900,Cờ bạc / Betting,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.5,0.3333,"789Bet N4p 50k nhan 128k, 1 v0ng cu0c rut MAXX 7.888k. No Hu, Ban C4, BCR. DK: t.ly/g7Z8k vW2s","789Bet N4p 50k nhan 128k, 1 vong cuoc rut MAXX 7.888k. No Hu, Ban CA, BCR. DK: t.ly/g7Z8k vW2s"
908,Cờ bạc / Betting,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.3333,0.1667,"789Bet tuyen dai ly hoa hong 50%, h0 tr0 Zalo: 0933112233. Link: 789vv.bet","789Bet tuyen dai ly hoa hong 50%, ho tro Zalo: 0933112233. Link: 789vv.bet"
909,Cờ bạc / Betting,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.6111,0.4444,"Kwin668 N4p 200k nh4n 500k, 1 v0ng cu0c rut MAXX 30.000k. No Hu, Ban C4, BCR. DK: t.ly/p8M3z qA7s","Kwin668 N4p 200k nh4n 500k, 1 vong cuoc rut MAXX 30.000k. No Hu, Ban CA, BCR. DK: t.ly/p8M3z qA7s"
924,Cờ bạc / Betting,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.5625,0.4375,"789Bet N4p 100k nhan 288k, 1 v0ng cu0c rut MAXX 9.999k. No Hu, BCR. DK: t.ly/x9W1v fR5e","789Bet N4p 100k nhan 288k, 1 vong cuoc rut MAXX 9.999k. No Hu, BCR. DK: t.ly/x9W1v fR5e"
926,Cờ bạc / Betting,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.5385,0.4615,"V7Bet B4cc4r4t truc t1ep, cho1 g4, xo s0, CSKH 24/24, rut 3 fhut. Link: v7bet.com","V7Bet B4cc4r4t truc t1ep, cho1 g4, xo so, CSKH 24/24, rut 3 fhut. Link: v7bet.com"
980,Giả mạo ngân hàng,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.3889,0.2778,[VIETCOMBANK] Tai kh04n cua ban da bi kh04. Vui l0ng dang nh4p vcb.vn-az.top de x4c thuc truoc 24h.,[VIETCOMBANK] Tai kh04n cua ban da bi kh04. Vui l0ng dang nhap vcb.vn-az.top de xac thuc truoc 24h.
984,Giả mạo ngân hàng,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.2667,0.2,SACOMBANK: tai kh04n ban da bi t4m kh04. Bam vao sacombank-online.vip de kiem tra ngay.,SACOMBANK: tai kh04n ban da bi t4m khoa. Bam vao sacombank-online.vip de kiem tra ngay.
988,Giả mạo ngân hàng,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.5,0.4444,MSB: c4nh b4o b4o mat. Vui l0ng dang nh4p msb.cc de b4o v3 tai kh04n ngay hom nay.,MSB: canh b4o b4o mat. Vui l0ng dang nh4p msb.cc de b4o v3 tai kh04n ngay hom nay.
1057,Cờ bạc / Betting,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.6,0.4667,"8D4Y N4p 300k nh4n 600k, rut MAXX 50tr. N0 Hu, Ban C4. DK: t.ly/aZ731 mKjNh","8D4Y N4p 300k nh4n 600k, rut MAXX 50tr. NO Hu, Ban CA. DK: t.ly/aZ731 mKjNh"
1065,Cờ bạc / Betting,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.5714,0.5,"8D4Y N4p 500k nh4n 1tr, rut MAXX 100tr. N0 Hu, BCR. DK: t.ly/tU123 pOiUy","8D4Y N4p 500k nh4n 1tr, rut MAXX 100tr. NO Hu, BCR. DK: t.ly/tU123 pOiUy"
1117,Cờ bạc / Betting,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.5294,0.4706,"789B3t chao xuan n4p 200k nh4n 600k. Rut MAXX 50tr. No Hu, Ban C4. DK: t.ly/pL22z qA91s","789B3t chao xuan n4p 200k nh4n 600k. Rut MAXX 50tr. No Hu, Ban CA. DK: t.ly/pL22z qA91s"
1147,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.2083,0.1667,Quy BHTN thong b4o: ong (BA) da du dieu kien nh4n h0 tro. Bam vao www.qwert.icu. QUA HAN SE KHONG DUOC CHAP NHAN! jK1l,Quy BHTN thong b4o: ong (BA) da du dieu kien nh4n ho tro. Bam vao www.qwert.icu. QUA HAN SE KHONG DUOC CHAP NHAN! jK1l
1153,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.1923,0.1538,Bo LD-TB-XH: ong (BA) da du dieu kien nh4n t13n h0 tro COVID. Nhan tai www.mnlpq.icu. QUA HAN SE KHONG DUOC CHAP NHAN! gH8j,Bo LD-TB-XH: ong (BA) da du dieu kien nh4n t13n ho tro COVID. Nhan tai www.mnlpq.icu. QUA HAN SE KHONG DUOC CHAP NHAN! gH8j
1156,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.2,0.16,Hoan thue TNCN: Ban da du dieu kien nh4n t13n h0 tro dot 3. Nhan tai mo.bhuij.com. QUA HAN SE KHONG DUOC CHAP NHAN! cV9b,Hoan thue TNCN: Ban da du dieu kien nh4n t13n ho tro dot 3. Nhan tai mo.bhuij.com. QUA HAN SE KHONG DUOC CHAP NHAN! cV9b
1159,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.2,0.16,Ho tro COVID-19: ong (BA) da du dieu kien nh4n t13n h0 tro. Nhan tai mo.dwsqa.com. QUA HAN SE KHONG DUOC CHAP NHAN! qA1z,Ho tro COVID-19: ong (BA) da du dieu kien nh4n t13n ho tro. Nhan tai mo.dwsqa.com. QUA HAN SE KHONG DUOC CHAP NHAN! qA1z
1162,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.2381,0.1429,[T.B] BHXH: Ong~Ba da_du d!eu*k!en nhan-tien h0_tro_COVID. Bam vao mo.zxcvb.com. QUA^HAN SE KHONG DUOC CHAP NHAN! vC4x,[T.B] BHXH: Ong~Ba da_du dieu*kien nhan-tien h0_tro_COVID. Bam vao mo.zxcvb.com. QUA^HAN SE KHONG DUOC CHAP NHAN! vC4x
1283,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.4091,0.2727,Quy BHTN: B4N_da-du D!EU K!EN nh4n T1EN h0~tro theo NQ-116. Nhan t4!: mo.plmko.com. QUA_HAN-SE-KH0NG_DUOC-CHAP-NHAN! zXcV,Quy BHTN: B4N_da-du DIEU KIEN nh4n T1EN ho~tro theo NQ-116. Nhan t4!: mo.plmko.com. QUA_HAN-SE-KH0NG_DUOC-CHAP-NHAN! zXcV
1362,Dịch vụ công giả,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.2727,0.1818,[CANH SAT GIAO THONG] Ho so v1 ph4m g1ao thong cua ban dang duoc xu ly. Truy cap phatnguoi.xyz de n0p f4t.,[CANH SAT GIAO THONG] Ho so vi ph4m g1ao thong cua ban dang duoc xu ly. Truy cap phatnguoi.xyz de n0p phat.
1364,Dịch vụ công giả,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.5625,0.3125,C4nh s4t G140 thong: Thong b4o cuo1 cung ve v1 ph4m g1ao thong. Xem tai: dichvucong.xyz,Canh sat GIAO thong: Thong b4o cuo1 cung ve vi ph4m g1ao thong. Xem tai: dichvucong.xyz
1401,Dịch vụ công giả,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.4286,0.3571,VNeID: He thong ph4t h13n t41 kh04n chua dong Bo CCCD. Cap nh4t: vneid-app.cc,VNeID: He thong phat h13n t41 kh04n chua dong Bo CCCD. Cap nh4t: vneid-app.cc
1428,Giả mạo ngân hàng,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.5625,0.5,[TPBANK] Q.u.y khach h4y x4c thuc d1nh danh t41 tpbank.cc truoc 24h de kwh0ng bi kwh04 th3.,[TPBANK] Q.u.y khach h4y x4c thuc dinh danh t41 tpbank.cc truoc 24h de kwh0ng bi kwh04 th3.
1486,Giả mạo ngân hàng,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.4348,0.3913,(ACB) Tai kh04n ban dang ky d1ch vu t1n dung n0c th3 n0 neu khong huY truoc 21h bam acb-online.vip de h0an t4t,(ACB) Tai kh04n ban dang ky d1ch vu t1n dung n0c th3 no neu khong huY truoc 21h bam acb-online.vip de h0an t4t
1489,Giả mạo ngân hàng,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.5,0.4167,[SHB DIGIBANK] Canh bao r0 r1 thong t1n c4 nh4n. Vui l0ng dang nh4p shbdigibank-online.vip de d0i m4 p1n neu khong se mat t13n,[SHB DIGIBANK] Canh bao r0 r1 thong t1n ca nh4n. Vui l0ng dang nh4p shbdigibank-online.vip de d0i m4 p1n neu khong se mat tien
1491,Giả mạo ngân hàng,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.3636,0.2727,VCB DIGIBANK: Ta1 kho4n ban dang bi t4m kh0a do nghj ngo r7a t1en. Bam vao vcbdigibank.cc de x4c thuc tai san,VCB DIGIBANK: Ta1 kho4n ban dang bi t4m kh0a do nghj ngo r7a tien. Bam vao vcbdigibank.cc de xac thuc tai san
1495,Giả mạo ngân hàng,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.375,0.2917,MB BANK: Tai kh04n cua quy khach bi t4m d7ng g1ao d1ch do thieu h0 s0. Bam mbbank.cc de Bo sung thong t1n ngay,MB BANK: Tai kh04n cua quy khach bi t4m d7ng g1ao d1ch do thieu ho so. Bam mbbank.cc de Bo sung thong t1n ngay
1521,Giả mạo ngân hàng,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.35,0.3,VCB DIGIBANK: Ta1 kh0an se bi kh04 v1nh vien neu khong x4c thuc. Vao vcbdigibank.cc truoc 24h ngay hom nay,VCB DIGIBANK: Ta1 kh0an se bi kh04 v1nh vien neu khong xac thuc. Vao vcbdigibank.cc truoc 24h ngay hom nay
1682,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.2069,0.1034,BHXH Viet Nam: Ong (Ba) da du d!eu k!en NHAN T1EN h0 tro tu quy BHTN. Bam vao www.vpxnq.icu de nhan. QUA HAN SE KHONG DUOC CHAP NHAN! kL8m,BHXH Viet Nam: Ong (Ba) da du dieu kien NHAN T1EN ho tro tu quy BHTN. Bam vao www.vpxnq.icu de nhan. QUA HAN SE KHONG DUOC CHAP NHAN! kL8m
1683,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.2593,0.1111,Bo LD-TB-XH: Ban da du d!eu k!en nhan t1en h0 tr0 NQ-116. Nhan t41 mo.zjcnw.com ngay. QUA HAN SE KHONG DUOC CHAP NHAN! pO2q,Bo LD-TB-XH: Ban da du dieu kien nhan t1en ho tro NQ-116. Nhan t41 mo.zjcnw.com ngay. QUA HAN SE KHONG DUOC CHAP NHAN! pO2q
1684,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.1538,0.0769,Quy BHTN: Ong (Ba) da du d!eu k!en nhan ho tro COVID-19. Bam vao www.mndks.icu de hoan tat. QUA HAN SE KHONG DUOC CHAP NHAN! aS4f,Quy BHTN: Ong (Ba) da du dieu kien nhan ho tro COVID-19. Bam vao www.mndks.icu de hoan tat. QUA HAN SE KHONG DUOC CHAP NHAN! aS4f
1685,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.24,0.2,Hoan thue TNCN: Ban da du d1eu k1en nhan t1en h0 tro theo NQ-116. Nhan tai www.bcvxz.icu. QUA HAN SE KHONG DUOC CHAP NHAN! gH9j,Hoan thue TNCN: Ban da du d1eu k1en nhan t1en ho tro theo NQ-116. Nhan tai www.bcvxz.icu. QUA HAN SE KHONG DUOC CHAP NHAN! gH9j
1686,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.1923,0.1154,Quyet dinh BHXH: Ong (Ba) da du d!eu k!en nhan t1en tu quy BHTN. Nhan tai mo.plkmj.com. QUA HAN SE KHONG DUOC CHAP NHAN! rT5y,Quyet dinh BHXH: Ong (Ba) da du dieu kien nhan t1en tu quy BHTN. Nhan tai mo.plkmj.com. QUA HAN SE KHONG DUOC CHAP NHAN! rT5y
1688,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.2,0.08,BHXH VN: Ong (Ba) da du d!eu k!en NHAN T1EN h0 tro COVID-19. Bam vao www.ytrew.icu ngay. QUA HAN SE KHONG DUOC CHAP NHAN! bV2n,BHXH VN: Ong (Ba) da du dieu kien NHAN T1EN ho tro COVID-19. Bam vao www.ytrew.icu ngay. QUA HAN SE KHONG DUOC CHAP NHAN! bV2n
1690,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.1481,0.0741,Bo LD-TB-XH: Ong (Ba) da du d!eu k!en nhan tro cap NQ-116. Bam vao www.lkjhg.icu de lay. QUA HAN SE KHONG DUOC CHAP NHAN! fD3s,Bo LD-TB-XH: Ong (Ba) da du dieu kien nhan tro cap NQ-116. Bam vao www.lkjhg.icu de lay. QUA HAN SE KHONG DUOC CHAP NHAN! fD3s
1691,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.28,0.16,Quy BHTN thong b4o: Ban da du d!eu k!en nhan t1en h0 tro dot 3. Nhan tai www.poiuy.icu. QUA HAN SE KHONG DUOC CHAP NHAN! aS7d,Quy BHTN thong b4o: Ban da du dieu kien nhan t1en ho tro dot 3. Nhan tai www.poiuy.icu. QUA HAN SE KHONG DUOC CHAP NHAN! aS7d
1692,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.1852,0.1111,BHXH: Ong (Ba) da du d!eu k!en nhan t1en tu quyet dinh BHXH. Bam vao mo.mnbvc.com de lay. QUA HAN SE KHONG DUOC CHAP NHAN! qW5e,BHXH: Ong (Ba) da du dieu kien nhan t1en tu quyet dinh BHXH. Bam vao mo.mnbvc.com de lay. QUA HAN SE KHONG DUOC CHAP NHAN! qW5e
1693,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.25,0.125,Ho tro COVID-19: Ban da du d!eu k!en nhan t1en h0 tro NQ-116. Bam vao www.zxcvb.icu. QUA HAN SE KHONG DUOC CHAP NHAN! rT8u,Ho tro COVID-19: Ban da du dieu kien nhan t1en ho tro NQ-116. Bam vao www.zxcvb.icu. QUA HAN SE KHONG DUOC CHAP NHAN! rT8u
1695,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.1538,0.0769,BHXH Viet Nam: Ban da du d!eu k!en nhan hoan thue TNCN. Bam vao mo.lkjhg.com de nhan. QUA HAN SE KHONG DUOC CHAP NHAN! mN4b,BHXH Viet Nam: Ban da du dieu kien nhan hoan thue TNCN. Bam vao mo.lkjhg.com de nhan. QUA HAN SE KHONG DUOC CHAP NHAN! mN4b
1696,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.25,0.125,Quy BHTN: Ong (Ba) da du d!eu k!en nhan t1en h0 tro NQ-116. Bam vao www.qwerty.icu. QUA HAN SE KHONG DUOC CHAP NHAN! vC9x,Quy BHTN: Ong (Ba) da du dieu kien nhan t1en ho tro NQ-116. Bam vao www.qwerty.icu. QUA HAN SE KHONG DUOC CHAP NHAN! vC9x
1697,BHXH / Trợ cấp,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),0.16,0.08,Tro cap NQ-116: Ban da du d!eu k!en nhan t1en tu BHXH VN. Nhan tai www.mnbvc.icu ngay. QUA HAN SE KHONG DUOC CHAP NHAN! zX2c,Tro cap NQ-116: Ban da du dieu kien nhan t1en tu BHXH VN. Nhan tai www.mnbvc.icu ngay. QUA HAN SE KHONG DUOC CHAP NHAN! zX2c
