content,category,level,has_url,has_phone_number,sender_type,digit_ratio,symbol_ratio,leet_char_ratio,dot_dash_inside_token_count,random_suffix_flag,name_hint_count,skeleton
H0-tr0_COVID: B4N!da~du D!EU^K!EN nh4n T1EN h0~tro tu quy BH#TN. Bam vao www.eszxdr.icu. QUA-HAN SE KH0NG DUOC CHAP NHAN! lM0n,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.07407407407407407,0.14814814814814814,0.12037037037037036,3.0,1.0,0.0,h< > tr< > covid b< >n da du d eu k en nh< >n t< >en h< > tro tu quy bh tn bam vao < >< > qua han se kh< >ng duoc chap nhan < >
BHXH_VN: B4n_da-du D!EU*K!EN nh4n^T1EN h0~tro BHTN. B4m v4o www.ygvfc.icu. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! xZ3q,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.08080808080808081,0.1717171717171717,0.12121212121212122,2.0,1.0,0.0,bhxh vn b< >n da du d eu k en nh< >n t< >en h< > tro bhtn b< >m v< >o < >< > qua han se kh< >ng duoc chap nhan < >
"Theo NQ-116, 0ng (B4) da du d!eu k1en nh4n t1en tu quy BHXH. Bam v4o www.ujmko.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! yR5e",BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.11224489795918367,0.10204081632653061,0.12244897959183673,2.0,1.0,0.0,theo nq < > < >ng b< > da du d eu k< >en nh< >n t< >en tu quy bhxh bam v< >o < >< > qua han se kh< >ng duoc chap nhan < >
0ng (B4) da du d!eu k1en nh4n t1en h0 tro tu quy BHTN. Bam v4o www.mjuik.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! zX8c,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.09782608695652174,0.08695652173913043,0.13043478260869565,1.0,1.0,0.0,< >ng b< > da du d eu k< >en nh< >n t< >en h< > tro tu quy bhtn bam v< >o < >< > qua han se kh< >ng duoc chap nhan < >
B4N_da-du D!EU K!EN nh4n T1EN h0~tro_tu_nhiem_vu_online. Nhan 300k/ngay-khong_can_von. Add t.me/huong_dan_kiem_tien_02,Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.08256880733944955,0.1926605504587156,0.09174311926605505,3.0,0.0,0.0,b< >n da du d eu k en nh< >n t< >en h< > tro tu nhiem vu online nhan < >k ngay khong can von add < > huong dan kiem tien < >
Tham g14 nh0m Telegram t.me/cong_dong_dau_tu_68 de nhan lenh trade tu chuv3n g14 h4ng ng4y.,Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.1282051282051282,0.08974358974358974,0.11538461538461539,1.0,0.0,0.0,tham g< > nh< >m telegram < > cong dong dau tu < > de nhan lenh trade tu chuv< >n g< > h< >ng ng< >y
@nh_Ch!_n4p t!3n v@0 STK: 8882229999_MB_Bank. TK_nhan: CTY-TNHH-DAU-TU-PHAT-TRIEN-THINH-VUONG. Chuyen_ xong_chup-bill_em_len_lenh_ngay!,Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,0,0,personal_number,0.10236220472440945,0.2204724409448819,0.11811023622047244,2.0,0.0,0.0,nh ch n< >p t < >n v < > stk < > mb bank tk nhan cty tnhh dau tu phat trien thinh vuong chuyen xong chup bill em len lenh ngay
Anh/ch! v-u-i l0ng n@p t13n v@o stk: 8888666622 - NH Agribank - CT TNHH TM DV PHAT LOC. Em d-u-y-e-t d0n n-g-a-y.,Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,0,0,personal_number,0.15217391304347827,0.1956521739130435,0.11956521739130435,3.0,0.0,1.0,anh ch v u i l< >ng n p t< >n v o stk < > nh agribank ct tnhh tm dv phat loc em d u y e t d< >n n g a y
D@u_tu_CopyTrade-n_h_a_n_l@i* khung m01 ng@y. Chuy3n vao STK 44332211 NH VPBank. CT: CONG TY TNHH DAU TU TAI CHINH S,Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,0,0,personal_number,0.11224489795918367,0.14285714285714285,0.12244897959183673,1.0,0.0,0.0,d u tu copytrade n h a n l i khung m< > ng y chuy< >n vao stk < > nh vpbank ct cong ty tnhh dau tu tai chinh s
B4N_da-du D!EU K!EN nh4n_T1EN th-u n-h-4-p t-h-u d0ng. Ch1 c4n_1O p-h-u-t/d4y. C-l-1-c-k: t.me/v_i_p_invest,Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.10526315789473684,0.29473684210526313,0.12631578947368421,7.0,0.0,0.0,b< >n da du d eu k en nh< >n t< >en th u n h < > p t h u d< >ng ch< > c< >n < >o p h u t d< >y c l < > c k < > v i p invest
"T-u-y-e-n ctv d@t d0n h@ng Shopp-e h04 h0ng cao. K-h-0-n-g c4n v0n, l@m t@i n-h-a. L-u0ng tr@ v@o 20h h@ng n-g@y.",Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,0,0,personal_number,0.10752688172043011,0.26881720430107525,0.1827956989247312,6.0,0.0,0.0,t u y e n ctv d t d< >n h ng shopp e h< > h< >ng cao k h < > n g c< >n v< >n l m t i n h a l u< >ng tr v o < >h h ng n g y
B4N_da-du D!EU K!EN nh4n_u*u d4i. Chuyen t1en vao STK: 190203040506 TK: CTY DAU TU TAI CHINH de n@p t1en f0r3x nhe.,Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,0,0,personal_number,0.2,0.11578947368421053,0.21052631578947367,1.0,0.0,0.0,b< >n da du d eu k en nh< >n u u d< >i chuyen t< >en vao stk < > tk cty dau tu tai chinh de n p t< >en f< >r< >x nhe
"Ch4o b4n, m1nh l4 H4nh. Cv th4 t1m v1d30 T1kt0k k13m t13n nhe nh4ng. Ib t.me/hanh_support_24h nhe.",Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.23170731707317074,0.0975609756097561,0.21951219512195122,1.0,0.0,0.0,ch< >o b< >n m< >nh l< > h< >nh cv th< > t< >m v< >d< > t< >kt< >k k< >m t< >n nhe nh< >ng ib < > hanh support < >h nhe
W-u@ k@ch h-u0ng z4n tr4z3 c01n b-a-o l0!. Th-u nh4p 10tr/th@ng ch! v0! 30 f-ut m0! n-g@y. J0!n n-h-0-m: t.me/crypto_sharks,Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.15384615384615385,0.25,0.25961538461538464,8.0,0.0,0.0,w u k ch h u< >ng z< >n tr< >z< > c< >n b a o l< > th u nh< >p < >tr th ng ch v< > < > f ut m< > n g y j< > n n h < > m < > crypto sharks
Tham g14 nh0m T3l3gr4m d3 nh4n 50k m13n f3 v4 b4t d4u l4m nh13m vu k13m 1tr/ng4y: t.me/kiemtien_moingay_2024,Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.2967032967032967,0.06593406593406594,0.27472527472527475,1.0,0.0,0.0,tham g< > nh< >m t< >l< >gr< >m d< > nh< >n < >k m< >n f< > v< > b< >t d< >u l< >m nh< >m vu k< >m < >tr ng< >y < > kiemtien moingay < >
Cv l4m nv T1kt0k th4 t1m b1nh lu4n. Ng4y 1O nv nh4n 1OOk. Kh0ng c4n d0ng f33 nhe b4n 01.,Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,0,0,personal_number,0.2753623188405797,0.043478260869565216,0.2753623188405797,0.0,0.0,0.0,cv l< >m nv t< >kt< >k th< > t< >m b< >nh lu< >n ng< >y < >o nv nh< >n < >ook kh< >ng c< >n d< >ng f< > nhe b< >n < >
"Ch@o_b4n! M1nh-th@y-b4n_phu-h0p_v01_v13c-l4m_th4-t1m_v!d30-k13m_t13n. Kh0ng-c4n_v0n, nh4n_100k-cu01-ng4y_nhe.",Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,0,0,personal_number,0.25471698113207547,0.24528301886792453,0.29245283018867924,5.0,0.0,0.0,ch o b< >n m< >nh th y b< >n phu h< >p v< > v< >c l< >m th< > t< >m v d< > k< >m t< >n kh< >ng c< >n v< >n nh< >n < >k cu< > ng< >y nhe
Th@ t!m v!d3o t!kt0k nh4n ngay 10k/v!d3o. m0! n-g@y 20 v!d3o l@ c0 200k. L-u0ng tr@ c-u0! n-g@y n-h-e b@n.,Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,0,0,personal_number,0.1839080459770115,0.26436781609195403,0.3103448275862069,5.0,0.0,0.0,th t m v d< >o t kt< >k nh< >n ngay < >k v d< >o m< > n g y < > v d< >o l c< > < >k l u< >ng tr c u< > n g y n h e b n
"Ch4o b4n, m1nh l4 Huong. C0ng v13c don g14n l4 th4 t1m v1d30 T1kT0k. M01 ng4y k13m 200k-400k. Nh4n t1n m1nh nhe.",Crypto / Đầu tư giả,LEVEL 2 – Leet nặng + tên riêng,0,0,personal_number,0.34065934065934067,0.06593406593406594,0.32967032967032966,1.0,0.0,0.0,ch< >o b< >n m< >nh l< > huong c< >ng v< >c don g< >n l< > th< > t< >m v< >d< > t< >kt< >k m< > ng< >y k< >m < >k < >k nh< >n t< >n m< >nh nhe
"JILI_C4SINO: Baccarat-truc-tiep, choi-ga, xo-so. Gui-rut-trong-3-phut. Dky: qwerty.com hG7fD",Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.03529411764705882,0.18823529411764706,0.03529411764705882,5.0,1.0,0.0,jili c< >sino baccarat truc tiep choi ga xo so gui rut trong < > phut dky < > < >
"Kim Long Casino: Baccarat-live, choi-ga, xo-so. Rut-tien-3-phut. Dky-nhan-68k: asdfg.com rT5y",Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.047619047619047616,0.17857142857142858,0.03571428571428571,6.0,1.0,0.0,kim long casino baccarat live choi ga xo so rut tien < > phut dky nhan < >k < > < >
"Awin tang 5Ok trai nghiem. Rut m4xx 5.OOOk. No Hu, Ban Ca, BCR... DK ngay tai: t.ly/eR3tY nH6mJ",Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.0641025641025641,0.14102564102564102,0.05128205128205128,2.0,1.0,1.0,awin tang < >ok trai nghiem rut m< >xx < > oook no hu ban ca bcr dk ngay tai t ly er< >ty < >
"8DAY-C4SINO: Baccarat-truc-tiep, choi-ga, xo-so. Rut-tien-nhanh. CSKH-24/24. Dky: poiuy.com mN7bV",Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.07865168539325842,0.19101123595505617,0.056179775280898875,7.0,1.0,0.0,< >day c< >sino baccarat truc tiep choi ga xo so rut tien nhanh cskh < > < > dky < > < >
"Awin_C4SINO: Baccarat-truc-tiep, da-ga, xo-so. Rut-3-phut-24/7. Dky-ngay: lkjhg.com qW3e",Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.07407407407407407,0.20987654320987653,0.06172839506172839,6.0,1.0,0.0,awin c< >sino baccarat truc tiep da ga xo so rut < > phut < > < > dky ngay < > < >
Giai tri 2Q_tuyen_DAI_LY. Hoa-hong_hap-dan_45%. Lien-he-zalo: 0944556677. Link: https://2q2q.vip/uY7t,Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,1,shortcode,0.1702127659574468,0.2127659574468085,0.1276595744680851,3.0,0.0,0.0,giai tri < >q tuyen dai ly hoa hong hap dan < > lien he zalo < > link < >< >q< >q vip uy< >t
"J!L!_nh4n-188k_kh!_t4!_4pp_x3-n4p-d4u. Ch0!: TLMN, X.oc-D.ia. L!nk: jili2.cc/hK22l",Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.16883116883116883,0.3116883116883117,0.2077922077922078,4.0,0.0,0.0,j l nh< >n < >k kh t< > < >pp x< > n< >p d< >u ch< > tlmn x oc d ia l nk jili< > cc hk< >l
"G141_tr1_2Q-T4i_4pp-nh4n_ng4y_128k. x3 n4p d4u. Ch0i Th3-th4o, B4cc4r4t, No-Hu. Link: 2q2q.tech/Q2214",Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.29347826086956524,0.18478260869565216,0.22826086956521738,4.0,0.0,0.0,g< > tr< > < >q t< >i < >pp nh< >n ng< >y < >k x< > n< >p d< >u ch< >i th< > th< >o b< >cc< >r< >t no hu link < >q< >q tech q< >
"789Bet_N@p-100k_nhan!200k. 1 v0ng cu0c rut MAXX 18.000k. N.o H.u, B.a.n C.a. DK: t.ly/v1C6m pL0k",Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.24096385542168675,0.21686746987951808,0.24096385542168675,7.0,1.0,0.0,< >bet n p < >k nhan < >k < > v< >ng cu< >c rut maxx < > < >k n o h u b a n c a dk t ly v< >c< >m < >
Aw1n-G4m3: T@1-@pp_nh4n-88k. x3_n@p_d@u. TLMN-X.0c-D.1a. Link: aw9z.cc,Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.16923076923076924,0.3076923076923077,0.24615384615384617,4.0,0.0,0.0,aw< >n g< >m< > t < > pp nh< >n < >k x< > n p d u tlmn x < >c d < >a link aw< >z cc
Kwin668_T@1_@pp-nh4n~188k! x3-n@p_d@u. N.0_H.u-B.4n_C.4. L1nk: hqt9z.cc #fomo,Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.19444444444444445,0.3194444444444444,0.25,4.0,0.0,0.0,kwin< > t < > pp nh< >n < >k x< > n p d u n < > h u b < >n c < > l< >nk hqt< >z cc fomo
8D4Y_T@1_@pp-nh4n~58k! x3-n@p_d@u. No.Hu-B.4n_C.4. Link: 8d7x.cc,Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.18333333333333332,0.3333333333333333,0.26666666666666666,4.0,0.0,0.0,< >d< >y t < > pp nh< >n < >k x< > n p d u no hu b < >n c < > link < >d< >x cc
"Kwin668 N4p 50k nh4n 100k, 1 v0ng cu0c rut MAXX 5.000k. BCR, No Hu. DK: t.ly/z1X9c mK4l",Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.28169014084507044,0.11267605633802817,0.2676056338028169,2.0,1.0,0.0,kwin< > n< >p < >k nh< >n < >k < > v< >ng cu< >c rut maxx < > < >k bcr no hu dk t ly z< >x< >c < >
789B3t-C@s1n0: B@cc@r@t_S-1ot_X0-S0. N@p_1-du0c_2. Link: bz88a.com #km,Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.2153846153846154,0.2923076923076923,0.2923076923076923,4.0,0.0,0.0,< >b< >t c s< >n< > b cc r t s < >ot x< > s< > n p < > du< >c < > link < > km
K1m L0ng tuy3n d41 ly t04n qu0c. Ch13t kh4u c40. Z4l0: 0866554433. Link: kl88.vip,Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,1,1,shortcode,0.39705882352941174,0.08823529411764706,0.38235294117647056,1.0,0.0,0.0,k< >m l< >ng tuy< >n d< > ly t< >n qu< >c ch< >t kh< >u c< > z< >l< > < > link kl< > vip
Tổng cục Thuế: Ong (Ba) da du d!eu k!en NHAN T1EN h0 tro thue. Bam vao: dichvuthue.vip,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,1,0,shortcode,0.02857142857142857,0.11428571428571428,0.05714285714285714,1.0,0.0,2.0,tong cuc thue ong ba da du d eu k en nhan t< >en h< > tro thue bam vao dichvuthue vip
[CẢNH SÁT GIAO THÔNG] B4n c0 l3nh f4t ngu01 chua th4nh to4n. Truy c4p https://xuphat-giaothong.xyz,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,1,0,brandname,0.10714285714285714,0.09523809523809523,0.11904761904761904,1.0,0.0,0.0,canh sat giao thong b< >n c< > l< >nh f< >t ngu< > chua th< >nh to< >n truy c< >p < >< >
Cảnh sát Giao thông: H0 s0 v1-ph4m-g14o-th0ng-cu4-b4n d4 du0c luu truv. Truy c4p https://phatnguoi-chinhphu.top,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,1,0,brandname,0.12244897959183673,0.12244897959183673,0.12244897959183673,2.0,0.0,0.0,canh sat giao thong h< > s< > v< > ph< >m g< >o th< >ng cu< > b< >n d< > du< >c luu truv truy c< >p < >< >
[BỘ CÔNG AN] Yeu c4u c4p nh4t th0ng t1n d1nh d4nh muc d0 2. Truy c4p: vneid-chinhphu.top,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,1,0,shortcode,0.1388888888888889,0.08333333333333333,0.125,1.0,0.0,0.0,bo cong an yeu c< >u c< >p nh< >t th< >ng t< >n d< >nh d< >nh muc d< > < > truy c< >p < >
Bộ GTVT: Thong bao v1 f4m camera j14o thonj. Tr4 cuu t41: phatnguoi-vn.xyz,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,1,0,brandname,0.11290322580645161,0.08064516129032258,0.12903225806451613,1.0,0.0,0.0,bo gtvt thong bao v< > f< >m camera j< >o thonj tr< > cuu t< > < >
T0ng cuc Thu3: B4n du d13u k13n nh4n h04n thu3 TNCN t41: h-t-t-p-s://hoanthue.gov-vn.top. Thuc h13n ng4y,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,1,0,brandname,0.1797752808988764,0.14606741573033707,0.1797752808988764,2.0,1.0,0.0,t< >ng cuc thu< > b< >n du d< >u k< >n nh< >n h< >n thu< > tncn t< > h t t p s hoanthue < > thuc h< >n < >
VN3ID: Y3u c4u x4c thuc l41 CCCD g4n ch1p tr3n h3 th0ng. V0 v4o h-t-t-p-s://vneid-vngov.top d3 l4m,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,1,0,shortcode,0.18292682926829268,0.13414634146341464,0.18292682926829268,2.0,1.0,0.0,vn< >id y< >u c< >u x< >c thuc l< > cccd g< >n ch< >p tr< >n h< > th< >ng v< > v< >o h t t p s < > d< > < >
B0 GTVT: Th0ng b4o n0p f4t x3 m4y/0 t0. L1nk xu l3: bộ-gtvt-gov.top.,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.19642857142857142,0.14285714285714285,0.19642857142857142,1.0,0.0,0.0,b< > gtvt th< >ng b< >o n< >p f< >t x< > m< >y < > t< > l< >nk xu l< > < >
Bộ Y Tế: B4n zw0c h0 tr0 ch1 f1 kh4m chwa b3nh. Nh4n k13m tr4 t41 https://yt-vn.vip,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,1,0,brandname,0.208955223880597,0.1044776119402985,0.22388059701492538,1.0,0.0,0.0,bo y te b< >n zw< >c h< > tr< > ch< > f< > kh< >m chwa b< >nh nh< >n k< >m tr< > t< > < >yt vn vip
B0 Y T3: Th0ng b4o k13m tr4 suc k-h03 d1nh k1. D4ng k1 t41 h-ttp://boyte-gov.top.,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.22388059701492538,0.14925373134328357,0.22388059701492538,3.0,0.0,0.0,b< > y t< > th< >ng b< >o k< >m tr< > suc k h< > d< >nh k< > d< >ng k< > t< > h ttp < >
[B0 GTVT]: Phat ngu01: B13n s0 x3 cu4 b4n v1 f4m t0c z0. Xem t41 dichvucongs.top.,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,1,0,brandname,0.22727272727272727,0.10606060606060606,0.24242424242424243,1.0,0.0,0.0,b< > gtvt phat ngu< > b< >n s< > x< > cu< > b< >n v< > f< >m t< >c z< > xem t< > < >
[BỘ GTVT]: Th0ng b40 n0p ph4t gu1 t01 s0 d13n th041 n4y. L1nk: bộ-gtvt-gov.top.,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,1,0,brandname,0.24242424242424243,0.13636363636363635,0.24242424242424243,1.0,0.0,0.0,bo gtvt th< >ng b< > n< >p ph< >t gu< > t< > s< > d< >n th< > n< >y l< >nk < >
Cục Viễn thông: S0 d13n th041 cu4 b4n s3 b1 t4m ngunj d1ch vu. L13n h3 0702345182 d3 mo.,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,0,1,brandname,0.37142857142857144,0.04285714285714286,0.34285714285714286,0.0,0.0,0.0,cuc vien thong s< > d< >n th< > cu< > b< >n s< > b< > t< >m ngunj d< >ch vu l< >n h< > < > d< > mo
C4nh s4t G140 th0ng: 0ng/B4 v1 f4m j14o th0ng ngh13m tr0ng. L13n h3 0912233445 d3 j141 qu-y3t f4t ngu01,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,0,1,brandname,0.43529411764705883,0.047058823529411764,0.4117647058823529,1.0,1.0,0.0,c< >nh s< >t g< > th< >ng < >ng b< > v< > f< >m j< >o th< >ng ngh< >m tr< >ng l< >n h< > < > d< > j< > qu y< >t f< >t < >
VIETCOMBANK: Ta1 kh0an b4n se b1 tru f3 duy tr1 2tr/thang. Bam vao vietcombank.vn-df.top d3 huY d1ch vu nay,Giả mạo ngân hàng,LEVEL 2 – Leet nặng + tên riêng,1,0,brandname,0.10112359550561797,0.06741573033707865,0.0898876404494382,1.0,0.0,0.0,vietcombank ta< > kh< >an b< >n se b< > tru f< > duy tr< > < >tr thang bam vao < >< > d< > huy d< >ch vu nay
TECHCOMBANK: Ung dung F@st Mobile bj d4ng nh4p tren thj3t b! la. Vuj l0ng x4c thuc t4j http://techcombank.vn-tr.top de b4o v3 t4i s4n.,Giả mạo ngân hàng,LEVEL 2 – Leet nặng + tên riêng,1,0,shortcode,0.08928571428571429,0.09821428571428571,0.10714285714285714,1.0,0.0,0.0,techcombank ung dung f st mobile bj d< >ng nh< >p tren thj< >t b la vuj l< >ng x< >c thuc t< >j < >< >< > de b< >o v< > t< >i s< >n
Ho tro COVID-19: B4n~da-du D!EU*K!EN nh4n_T1EN h0~tro tu quy BH#TN. Bam v40 www.vfbtg.icu. QUA^HAN SE_KH0NG DUOC_CHAP NHAN! mN4b,Giả mạo ngân hàng,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.09009009009009009,0.16216216216216217,0.11711711711711711,3.0,1.0,0.0,ho tro covid < > b< >n da du d eu k en nh< >n t< >en h< > tro tu quy bh tn bam v< > < >< > qua han se kh< >ng duoc chap nhan < >
