row_index,category,level,leet_token_ratio_before,leet_token_ratio_after,content_before,content_after
15,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.6522,0.3043,BHXH VN: B4n da zu d!eu k1en nh4n t1en tu wy BHTN. Nh4n t41: mo.lkjhg.com. QU4 H4N KH0NG ZU0C CH4P NH4N. ,Bảo hiểm xã hội Việt Nam: Bạn đã đủ điều kiện nhận tiền từ quỹ Bảo hiểm thất nghiệp. Nhận tại: mo.lkjhg.com. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
16,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.6818,0.3182,Theo NQ-116: B4n da zu d!eu k1en nh4n t1en ho tro. Nh4n t41: mo.dsazx.com. QU4 H4N KH0NG ZU0C CH4P NH4N. ,Theo Nghị quyết 116: Bạn đã đủ điều kiện nhận tiền hỗ trợ. Nhận tại: mo.dsazx.com. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
17,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.6522,0.3043,[BHXH] Quy BHTN: B4n da zu d!eu k1en nh4n t1en ho tro. Nh4n t41: mo.werty.com. QU4 H4N KH0NG ZU0C CH4P NH4N. ,[Bảo hiểm xã hội] Quỹ Bảo hiểm thất nghiệp: Bạn đã đủ điều kiện nhận tiền hỗ trợ. Nhận tại: mo.werty.com. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
18,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.5652,0.2609,BHXH: Ong (Ba) da zu d!eu k1en nh4n t1en ho tro BHTN. Nh4n t41: mo.xcvbn.com. QU4 H4N KH0NG ZU0C CH4P NH4N. ,Bảo hiểm xã hội: Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ Bảo hiểm thất nghiệp. Nhận tại: mo.xcvbn.com. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
19,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.7143,0.3333,Quyet zinh BHXH: B4n da zu d!eu k1en nh4n t1en. Nh4n t41: mo.rtyui.com. QU4 H4N KH0NG ZU0C CH4P NH4N. ,Quyết định Bảo hiểm xã hội: Bạn đã đủ điều kiện nhận tiền. Nhận tại: mo.rtyui.com. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
21,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.55,0.4,"Theo_NQ_116, B4n da-du D!EU*K!EN nh4n^T1EN tu quy#BHTN. B4m v4o www.lkjhg.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! ","Theo Nghị quyết 116, Bạn đã đủ ĐIỀU KIỆN nhận TIỀN từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.lkjhg.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!"
22,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.3636,0.2727,BHXH VN: Ong(Ba) da_du d!eu^k!en nh4n-T1EN ho~tro quy*BHTN. B4m v4o www.asdfg.icu. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! ,Bảo hiểm xã hội Việt Nam: Ông (Bà) đã đủ điều kiện nhận TIỀN hỗ trợ quỹ Bảo hiểm thất nghiệp. Bấm vào www.asdfg.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
23,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4762,0.381,[BHXH] Quyet*zinh: B4n_da-du d!eu^k!en nh4n~T1EN tu quy#BHTN. B4m v4o www.qwerty.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! ,[Bảo hiểm xã hội] Quyết định: Bạn đã đủ điều kiện nhận TIỀN từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.qwerty.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
24,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4762,0.381,Quy-BHTN: Ong(Ba)_da-du D!EU*K!EN nh4n^T1EN h0~tro. B4m v4o www.zxcvb.icu. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! ,Quỹ Bảo hiểm thất nghiệp: Ông (Bà) đã đủ ĐIỀU KIỆN nhận TIỀN hỗ trợ. Bấm vào www.zxcvb.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
25,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.45,0.35,BHXH: B4n_da-du D!EU^K!EN nh4n~T1EN ho_tro tu quy-BHTN. B4m v4o www.poiuy.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! ,Bảo hiểm xã hội: Bạn đã đủ ĐIỀU KIỆN nhận TIỀN hỗ trợ từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.poiuy.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
26,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.5263,0.4211,Theo_NQ-116: B4n_da-du d!eu*k!en nh4n^T1EN tu quy#BHTN. B4m v4o www.lkjmn.icu. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! ,Theo Nghị quyết 116: Bạn đã đủ điều kiện nhận TIỀN từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.lkjmn.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
27,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.5556,0.4444,[T.B] BHXH: B4n_da-du D!EU-K!EN nh4n_T1EN h0~tro BHTN. B4m v4o www.vbcxz.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! ,[Thông báo] Bảo hiểm xã hội: Bạn đã đủ ĐIỀU KIỆN nhận TIỀN hỗ trợ Bảo hiểm thất nghiệp. Bấm vào www.vbcxz.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
28,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.5556,0.4444,Quyet-zinh_BHXH: B4n_da-du D!EU^K!EN nh4n~T1EN BHTN. B4m v4o www.ytrew.icu. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! ,Quyết định Bảo hiểm xã hội: Bạn đã đủ ĐIỀU KIỆN nhận TIỀN Bảo hiểm thất nghiệp. Bấm vào www.ytrew.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
29,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.45,0.35,BHXH VN: Ong(Ba)_da-du d!eu*k!en nh4n^T1EN ho_tro. B4m v4o www.mnbvc.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! ,Bảo hiểm xã hội Việt Nam: Ông (Bà) đã đủ điều kiện nhận TIỀN hỗ trợ. Bấm vào www.mnbvc.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
30,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4737,0.3684,Quy-BHTN: B4n_da-du D!EU^K!EN nh4n~T1EN ho_tro nq-116. B4m v4o www.plmko.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! ,Quỹ Bảo hiểm thất nghiệp: Bạn đã đủ ĐIỀU KIỆN nhận TIỀN hỗ trợ Nghị quyết 116. Bấm vào www.plmko.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
31,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.45,0.35,[BHXH] Quyet-zinh: Ong(Ba)_da-du D!EU*K!EN nh4n^T1EN. B4m v4o www.ijnuh.icu. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! ,[Bảo hiểm xã hội] Quyết định: Ông (Bà) đã đủ ĐIỀU KIỆN nhận TIỀN. Bấm vào www.ijnuh.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
32,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.5789,0.4737,Theo_NQ_116: B4n_da-du d!eu^k!en nh4n~T1EN tu quy#BHTN. B4m v4o www.uhbvg.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! ,Theo Nghị quyết 116: Bạn đã đủ điều kiện nhận TIỀN từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.uhbvg.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
33,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.5789,0.4737,BHXH_VN: B4n_da-du D!EU*K!EN nh4n^T1EN h0~tro BHTN. B4m v4o www.ygvfc.icu. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! ,Bảo hiểm xã hội Việt Nam: Bạn đã đủ ĐIỀU KIỆN nhận TIỀN hỗ trợ Bảo hiểm thất nghiệp. Bấm vào www.ygvfc.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
34,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.45,0.35,[T.B] Quy-BHTN: Ong(Ba)_da-du d!eu^k!en nh4n-T1EN ho_tro. B4m v4o www.rdxct.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! ,[Thông báo] Quỹ Bảo hiểm thất nghiệp: Ông (Bà) đã đủ điều kiện nhận TIỀN hỗ trợ. Bấm vào www.rdxct.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
35,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4737,0.3684,BHXH: B4n_da-du D!EU*K!EN nh4n^T1EN tu quy#BHTN. B4m v4o www.tfvgy.icu. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! ,Bảo hiểm xã hội: Bạn đã đủ ĐIỀU KIỆN nhận TIỀN từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.tfvgy.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
36,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.5556,0.4444,Quyet-zinh_BHXH: B4n_da-du d!eu^k!en nh4n~T1EN ho_tro. B4m v4o www.hbijn.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! ,Quyết định Bảo hiểm xã hội: Bạn đã đủ điều kiện nhận TIỀN hỗ trợ. Bấm vào www.hbijn.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
37,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4737,0.3684,Theo_NQ-116: Ong(Ba)_da-du D!EU*K!EN nh4n^T1EN BHTN. B4m v4o www.okmji.icu. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! ,Theo Nghị quyết 116: Ông (Bà) đã đủ ĐIỀU KIỆN nhận TIỀN Bảo hiểm thất nghiệp. Bấm vào www.okmji.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
38,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4,0.35,[BHXH] Quy-BHTN: B4n_da-du d!eu^k!en nh4n-T1EN ho_tro. Nhan t41: mo.ujmnh.com. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! ,[Bảo hiểm xã hội] Quỹ Bảo hiểm thất nghiệp: Bạn đã đủ điều kiện nhận TIỀN hỗ trợ. Nhận tại: mo.ujmnh.com. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
39,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.3478,0.3043,BHXH VN: Ong(Ba)_da-du D!EU*K!EN nh4n^T1EN tu quy#BHTN. Nhan t41: mo.ytrfd.com. QUA^HAN SE KH0NG_DUOC CHAP_NHAN! ,Bảo hiểm xã hội Việt Nam: Ông (Bà) đã đủ ĐIỀU KIỆN nhận TIỀN từ quỹ Bảo hiểm thất nghiệp. Nhận tại: mo.ytrfd.com. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
40,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4231,0.3077,"Theo NQ-116, 0ng (B4) da du d!eu k1en nh4n t1en h0 tro tu quy BHTN. Bam v4o www.vbxzq.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! ","Theo Nghị quyết 116, Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.vbxzq.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!"
41,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4286,0.2857,[B0 LD-TB-XH] B4n da du d!eu k1en nh4n t1en h0 tro tu quy BHXH. Nh4n t41 mo.qwert.com. QUA HAN SE KH0NG DUOC CHAP NHAN! ,[Bộ Lao động - Thương binh - Xã hội] Bạn đã đủ điều kiện nhận tiền hỗ trợ từ quỹ Bảo hiểm xã hội. Nhận tại mo.qwert.com. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
42,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4545,0.3636,"Theo_NQ-116, B4n-da*du_d!eu_k!en!nh4n*T1EN_tu^quy~BHTN. Bam_vao_www.plmok.icu. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! ","Theo Nghị quyết 116, Bạn đã đủ điều kiện nhận TIỀN từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.plmok.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!"
44,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.44,0.28,Quyet z1nh BHXH: 0ng (B4) da du d!eu k1en nh4n t1en tu quy BHTN. Bam v4o www.mnpqr.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! ,Quyết định Bảo hiểm xã hội: Ông (Bà) đã đủ điều kiện nhận tiền từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.mnpqr.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
45,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.7,0.5455,B0_LD-TB-XH: B4n_da~du_d!eu_k!en!nh4n_T1EN_tu_quy-BHTN. Nhan_t41_mo.poiuy.com. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! ,Bộ Lao động - Thương binh - Xã hội: Bạn đã đủ điều kiện nhận TIỀN từ quỹ Bảo hiểm thất nghiệp. Nhận tại mo.poiuy.com. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
46,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4,0.28,"Theo NQ-116, B4n da du d!eu k1en nh4n t1en tu quy BHXH. Bam v4o www.asdfg.icu de nh4n. QUA HAN SE KH0NG DUOC CHAP NHAN! ","Theo Nghị quyết 116, Bạn đã đủ điều kiện nhận tiền từ quỹ Bảo hiểm xã hội. Bấm vào www.asdfg.icu để nhận. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!"
48,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4286,0.3214,0ng (B4) da du d!eu k1en nh4n t1en h0 tro tu quy BHTN. Nhan t41 mo.ytrew.com l4m thu tuc. QUA HAN SE KH0NG DUOC CHAP NHAN! ,Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ từ quỹ Bảo hiểm thất nghiệp. Nhận tại mo.ytrew.com làm thủ tục. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
49,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4091,0.2727,"[T.B] Theo NQ-116, b4n da du d!eu k1en nh4n t1en h0 tro. Bam v4o www.hjklm.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! ","[Thông báo] Theo Nghị quyết 116, bạn đã đủ điều kiện nhận tiền hỗ trợ. Bấm vào www.hjklm.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!"
51,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4583,0.3333,Quyet z1nh BHXH: Ong (B4) da du d!eu k1en nh4n t1en h0 tro. Bam v4o www.poiuz.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! ,Quyết định Bảo hiểm xã hội: Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ. Bấm vào www.poiuz.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
52,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4167,0.3333,B0-LD-TB-XH_TB: Ong^Ba_da_du_d!eu_k!en-nhan_t1en*BHTN. Bam_vao_www.mnbvc.icu. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! ,Bộ Lao động - Thương binh - Xã hội thông báo: Ông Bà đã đủ điều kiện nhận tiền Bảo hiểm thất nghiệp. Bấm vào www.mnbvc.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
53,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4583,0.3333,"Theo NQ-116, 0ng (B4) da du d!eu k1en nh4n t1en h0 tro. Nhan t41 mo.xcvbn.com. QUA HAN SE KH0NG DUOC CHAP NHAN! ","Theo Nghị quyết 116, Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ. Nhận tại mo.xcvbn.com. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!"
54,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.3913,0.2609,B4n da du d!eu k1en nh4n t1en tu quy BHTN theo NQ-116. Bam v4o www.lkjhg.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! ,Bạn đã đủ điều kiện nhận tiền từ quỹ Bảo hiểm thất nghiệp theo Nghị quyết 116. Bấm vào www.lkjhg.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
56,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4783,0.3478,NQ-116: 0ng (B4) da du d!eu k1en nh4n t1en h0 tro BHXH. Bam v4o www.rewqa.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! ,Nghị quyết 116: Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ Bảo hiểm xã hội. Bấm vào www.rewqa.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
58,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.3913,0.2174,"Theo quyet z1nh BHXH, b4n da du d!eu k1en nh4n t1en. Nhan t41 mo.zaxsc.com. QUA HAN SE KH0NG DUOC CHAP NHAN! ","Theo quyết định Bảo hiểm xã hội, bạn đã đủ điều kiện nhận tiền. Nhận tại mo.zaxsc.com. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!"
59,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.4583,0.3333,0ng (B4) da du d!eu k1en nh4n t1en h0 tro tu quy BHTN. Bam v4o www.plmko.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! ,Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.plmko.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
60,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.5,0.3636,B0_LD-TB-XH: Ong^Ba-da_du_d!eu_k!en_nhan_t1en!BHTN. Bam_vao_www.vfrtg.icu. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! ,Bộ Lao động - Thương binh - Xã hội: Ông Bà đã đủ điều kiện nhận tiền Bảo hiểm thất nghiệp. Bấm vào www.vfrtg.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
