"norm_id","sample_id","source_text","normalized_text"
"sms_norm_00011","phase1_00011","Ma OTP la 22085377. de xac nhan giao dich (TRU TIEN) tu The cua quy khach. Vui long giu bao mat va khong chia se OTP cho bat cu ai. LH Techcombank: 1800588822","Mã OTP là 22085377 để xác nhận giao dịch (trừ tiền) từ thẻ của quý khách. Vui lòng giữ bí mật và không chia sẻ OTP cho bất cứ ai. Liên hệ Techcombank: 1800588822"
"sms_norm_00012","phase1_00012","THÔNG BÁO! Hiện nay đang có số điện thoại lạ gọi đến các công dân trên địa bàn, xưng danh là ở phòng Văn hoá Xã hội phường để đề nghị vào đường link của bảo hiểm xã hội VSSID để đổi thẻ Bảo hiểm. Đây là số điện thoại mạo danh để lừa đảo công nghệ cao qua mạng. Kính đề nghị các đ/c lãnh đạo Tổ dân phố gửi ngay thông tin này tới bà con nhân dân không thực hiện theo hướng dẫn của tội phạm. Cơ quan Bảo hiểm Xã hội và phòng VHXH phường không triển khai nội dung này. Trân trọng!","Thông báo! Hiện nay đang có số điện thoại lạ gọi đến các công dân trên địa bàn, xưng danh là ở phòng Văn hóa Xã hội phường để đề nghị vào đường link của bảo hiểm xã hội VSSID để đổi thẻ Bảo hiểm. Đây là số điện thoại mạo danh để lừa đảo công nghệ cao qua mạng. Kính đề nghị các đồng chí lãnh đạo Tổ dân phố gửi ngay thông tin này tới bà con nhân dân không thực hiện theo hướng dẫn của tội phạm. Cơ quan Bảo hiểm Xã hội và phòng VHXH phường không triển khai nội dung này. Trân trọng!"
"sms_norm_00013","phase1_00013","CHÚC MỪNG SINH NHẬT Quý khách. Kính chúc Quý khách luôn hạnh phúc, thành công và thịnh vượng. Cảm ơn Quý khách đã luôn đồng hành cùng fpt-voice.net","Chúc mừng sinh nhật Quý khách. Kính chúc Quý khách luôn hạnh phúc, thành công và thịnh vượng. Cảm ơn Quý khách đã luôn đồng hành cùng fpt-voice.net"
"sms_norm_00014","phase1_00014","TB: Tu 10/6/17, QK vui long su dung TK DDA 104005886693 gan voi the ATM E-Partner thay cho TK 711A50424587 voi so du duoc giu nguyen. Cam on QK. LH 1900558868","Thông báo: Từ 10/6/17, quý khách vui lòng sử dụng tài khoản DDA 104005886693 gắn với thẻ ATM E-Partner thay cho tài khoản 711A50424587 với số dư được giữ nguyên. Cảm ơn quý khách. Liên hệ 1900558868"
"sms_norm_00015","phase1_00015","Viettel kinh chuc Quy khach ngay sinh nhat vui ve, dam am ben nguoi than va gia dinh. Tran trong cam on Quy khach da su dung dich vu cua Viettel.","Viettel kính chúc Quý khách ngày sinh nhật vui vẻ, đầm ấm bên người thân và gia đình. Trân trọng cảm ơn Quý khách đã sử dụng dịch vụ của Viettel."
"sms_norm_00016","phase1_00016","Chuc Quy khach ngay le 20/10 vui ve ben nguoi than va gia dinh.","Chúc Quý khách ngày lễ 20/10 vui vẻ bên người thân và gia đình."
"sms_norm_00017","phase1_00017","Ma OTP xac thuc GD la 972501, hieu luc 1 phut. Chi tiet GD:Chuyen khoan nhanh qua so TK,so tien 22,700,000 VND tren kenh Internet cua dich vu VCB Digibank.","Mã OTP xác thực giao dịch là 972501, hiệu lực 1 phút. Chi tiết giao dịch: Chuyển khoản nhanh qua số tài khoản, số tiền 22.700.000 đồng trên kênh Internet của dịch vụ VCB Digibank."
"sms_norm_00018","phase1_00018","SME Viet Nam: Toa dam von cho SME VN va Ra mat Mang luoi ket noi, ho tro doanh nghiep SME VN se dien ra luc 9h-12h30 ngay 21/10/2017, tai Diamond Place, 15A Ho Van Hue, P9, Q.Phu Nhuan","SME Việt Nam: Tọa đàm vốn cho SME Việt Nam và Ra mắt Mạng lưới kết nối, hỗ trợ doanh nghiệp SME Việt Nam sẽ diễn ra lúc 9h-12h30 ngày 21/10/2017, tại Diamond Place, 15A Hồ Văn Huê, Phường 9, Quận Phú Nhuận"
"sms_norm_00019","phase1_00019","PCGV tran trong thong bao ke tu thang 07/2017 se khong thu tien tai nha, moi Quy KH thanh toan tien dien qua Ngan hang hoac cac diem thu ho. LH 1900545454","PCGV trân trọng thông báo kể từ tháng 07/2017 sẽ không thu tiền tại nhà, mời Quý khách thanh toán tiền điện qua ngân hàng hoặc các điểm thu hộ. Liên hệ 1900545454"
"sms_norm_00020","phase1_00020","Quý khách vừa đăng ký thành công gói cước WIN60 với ưu đãi: Data tốc độ cao không giời hạn + 05GB Hotspot dùng trên thiết bị Smartphone / Tablet, sử dụng đến 04/09/2023. Thời gian cam kết sử dụng mạng Wintel là 24 tháng kế từ ngày đăng ký gói cước thành công. Trân trọng!","Quý khách vừa đăng ký thành công gói cước WIN60 với ưu đãi: Data tốc độ cao không giới hạn + 05GB Hotspot dùng trên thiết bị Smartphone / Tablet, sử dụng đến 04/09/2023. Thời gian cam kết sử dụng mạng Wintel là 24 tháng kể từ ngày đăng ký gói cước thành công. Trân trọng!"
"sms_norm_00021","phase1_00021","Xem ngay tuyen tap 30 pha kien tao tuyen dinh trong bong da tai http://mobiclip.vn/2198/playlist/html hoan toan MIEN CUOC 3G/GPRS. Tran trong cam on","Xem ngay tuyển tập 30 pha kiến tạo tuyệt vời trong bóng đá tại http://mobiclip.vn/2198/playlist/html hoàn toàn miễn cước 3G/GPRS. Trân trọng cảm ơn"
"sms_norm_00022","phase1_00022","(QC) Dich vu Tong Dai Taxi Viettel: Goi 1520 de duoc ket noi den hang Taxi uy tin gan nhat voi vi tri hien tai cua Quy khach. Cuoc phi chi 1500d/p. Chi tiet: 198 (100d/p). Tu choi QC, soan TC4 gui 199.","(Quảng cáo) Dịch vụ Tổng đài Taxi Viettel: Gọi 1520 để được kết nối đến hãng Taxi uy tín gần nhất với vị trí hiện tại của Quý khách. Cước phí chỉ 1.500đ/p. Chi tiết: 198 (100đ/p). Từ chối quảng cáo, soạn TC4 gửi 199."
"sms_norm_00023","phase1_00023","iTel TB: Den het thang 01/2023, Quy khach dang la hoi vien Than Thiet, so diem iTel Club la 200. Diem iTel Club co gia tri su dung trong vong 12 thang ke tu thang kich hoat. Dung lang phi diem nhe! Truy cap app MyiTel tai http://onelink.to/myitel hoac website itel.vn/club de nhan va su dung nhieu uu dai hap dan tu iTel Club. Chi tiet LH 0877087087 (0d cho TB iTel). Tran trong!","iTel thông báo: Đến hết tháng 01/2023, Quý khách đang là hội viên Thân thiết, số điểm iTel Club là 200. Điểm iTel Club có giá trị sử dụng trong vòng 12 tháng kể từ tháng kích hoạt. Đừng lãng phí điểm nhé! Truy cập app MyiTel tại http://onelink.to/myitel hoặc website itel.vn/club để nhận và sử dụng nhiều ưu đãi hấp dẫn từ iTel Club. Chi tiết liên hệ 0877087087 (0đ cho thông báo iTel). Trân trọng!"
"sms_norm_00024","phase1_00024","Tel chân thành xin lỗi Quý Khách về sự cố gián đoạn dịch vụ chiều ngày 03/02/2023. Hiện các dịch vụ đã hoạt động bình thường trở lại. Rất mong nhận được sự thông cảm của Quý Khách. Mọi yêu cầu hỗ trợ vui lòng liên hệ CSKH iTel: gọi 0877087087 (0đ cho TB iTel). Trân trọng!","Tel chân thành xin lỗi Quý Khách về sự cố gián đoạn dịch vụ chiều ngày 03/02/2023. Hiện các dịch vụ đã hoạt động bình thường trở lại. Rất mong nhận được sự thông cảm của Quý Khách. Mọi yêu cầu hỗ trợ vui lòng liên hệ Chăm sóc khách hàng iTel: gọi 0877087087 (0đ cho TB iTel). Trân trọng!"
"sms_norm_00025","phase1_00025","SHOPEE: DE CAP NHAT MAT KHAU, ma xac minh la 131929. Co hieu luc trong 15 phut. KHONG chia se ma nay voi nguoi khac, ke ca nhan vien Shopee.","Shopee: Để cập nhật mật khẩu, mã xác minh là 131929. Có hiệu lực trong 15 phút. KHÔNG chia sẻ mã này với người khác, kể cả nhân viên Shopee."
"sms_norm_00026","phase1_00026","Use code 55167 to add this phone to your Steam account","Use code 55167 to add this phone to your Steam account"
"sms_norm_00027","phase1_00027","""Thông tin minh bạch - Tiêu dùng an toàn"" là chủ đề Ngày Quyền của người tiêu dùng Việt Nam 2023","""Thông tin minh bạch - Tiêu dùng an toàn"" là chủ đề Ngày Quyền của người tiêu dùng Việt Nam 2023"
"sms_norm_00028","phase1_00028","(TB) Bộ TT&TT trân trọng đề nghị người dân cảnh giác với thông tin giả mạo, lừa đảo trên Internet. Trước khi sử dụng dịch vụ, giao dịch trên Internet, hãy tra cứu thông tin về website mà mình truy cập bằng cách nhắn tin miễn phí theo cú pháp TCTM <tên miền hoặc link website> gửi 156 hoặc tra cứu tại: https://tracuutenmien.gov.vn","[Thông báo] Bộ TT&TT trân trọng đề nghị người dân cảnh giác với thông tin giả mạo, lừa đảo trên Internet. Trước khi sử dụng dịch vụ, giao dịch trên Internet, hãy tra cứu thông tin về website mà mình truy cập bằng cách nhắn tin miễn phí theo cú pháp Tổng cục ThuếM <tên miền hoặc link website> gửi 156 hoặc tra cứu tại: https://tracuutenmien.gov.vn"
"sms_norm_00029","phase1_00029","[CANH BAO] Ai do dang co truy cap tai khoan VPBank Online cua quy khach tren thiet bi/trinh duyet la. Neu khong phai QK, DOI MAT KHAU de tranh bi MAT TIỀN. Neu la QK, nhap ma bao mat 534367 de tiep tục. KHÔNG chia se ma nay cho bat kỳ ai BAO GỒM NGAN HANG hay website gia mao de tranh rui ro MAT TIEN. LH 1900545415","[CẢNH BÁO] Ai đó đang có truy cập tài khoản VPBank Online của Quý khách trên thiết bị/trình duyệt lạ. Nếu không phải Quý khách, đổi mật khẩu để tránh bị mất tiền. Nếu là Quý khách, nhập mã bảo mật 534367 để tiếp tục. KHÔNG chia sẻ mã này cho bất kỳ ai bao gồm ngân hàng hay website giả mạo để tránh rủi ro mất tiền. Liên hệ 1900545415"
"sms_norm_00030","phase1_00030","[TB] NẠP THẺ ĐỦ ĐẦY - DATA XÀI NGAY! Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 25/11/2025. Tiền KM sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm . Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng.","[Thông báo] Nạp thẻ đủ đầy - Data xài ngay! Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 25/11/2025. Tiền khuyến mãi sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm. Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng."
"sms_norm_00031","phase1_00031","[TB] NÂNG CẤP ĐIỆN THOẠI - NHẬN ƯU ĐÃI 5G. Tặng 15GB data trải nghiệm trên hạ tầng 5G trong 15 ngày (1GB/ngày) khi Quý khách nâng cấp lên điện thoại 5G. Để nhận ưu đãi, sử dụng máy 5G và soạn 5G gửi 191. Chương trình áp dụng 1 lần đến hết ngày 30/11/2025, dành riêng cho Quý khách. Chi tiết LH 198 (0đ).","[Thông báo] Nâng cấp điện thoại - nhận ưu đãi 5G. Tặng 15GB data trải nghiệm trên hạ tầng 5G trong 15 ngày (1GB/ngày) khi Quý khách nâng cấp lên điện thoại 5G. Để nhận ưu đãi, sử dụng máy 5G và soạn 5G gửi 191. Chương trình áp dụng 1 lần đến hết ngày 30/11/2025, dành riêng cho Quý khách. Chi tiết liên hệ 198 (0đ)."
"sms_norm_00032","phase1_00032","[TB] NẠP THẺ ONLINE - DATA XÀI NGAY! Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 15/11/2025. Tiền KM sử dụng truy cập Internet trong 15 ngày. CT áp dụng khi nạp thẻ online qua các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/pay/tt . Chi tiết gọi 197, bấm phím 19 (0đ). Trân trọng.","[Thông báo] Nạp thẻ online - Data xài ngay! Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 15/11/2025. Tiền khuyến mãi sử dụng truy cập Internet trong 15 ngày. Chương trình áp dụng khi nạp thẻ online qua các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/pay/tt. Chi tiết gọi 197, bấm phím 19 (0đ). Trân trọng."
"sms_norm_00033","phase1_00033","[TB] NẠP THẺ ĐỦ ĐẦY - DATA XÀI NGAY! Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 10/11/2025. Tiền KM sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm . Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng.","[Thông báo] Nạp thẻ đủ đầy - Data xài ngay! Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 10/11/2025. Tiền khuyến mãi sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm. Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng."
"sms_norm_00034","phase1_00034","[TB] LÊN MẠNG, GỌI ĐIỆN THẢ GA! 1. Soạn V90B gửi 191: 90K/30 ngày có 30GB (1GB/ngày), 30p gọi ngoại mạng, miễn phí 10p/cuộc gọi nội mạng 2. Soạn SD70 gửi 191: 70K/30 ngày có 30GB (1GB/ngày) Gói cước gia hạn sau 30 ngày. CT dành riêng cho Quý khách. LH 198 (0đ).","[Thông báo] Lên mạng, gọi điện thỏa ga! 1. Soạn V90B gửi 191: 90 ngàn đồng/30 ngày có 30GB (1GB/ngày), 30 phút gọi ngoại mạng, miễn phí 10 phút/cuộc gọi nội mạng 2. Soạn SD70 gửi 191: 70 ngàn đồng/30 ngày có 30GB (1GB/ngày) Gói cước gia hạn sau 30 ngày. Chương trình dành riêng cho Quý khách. Liên hệ 198 (0đ)."
"sms_norm_00035","phase1_00035","Ban co the qua NAP DIEN THOAI MIEN PHI 10.000D trong MoMo, het han 31/10. Mo Vi > UU DAI > QUA CUA TOI dung ngay!","Bạn có thể qua nạp điện thoại miễn phí 10.000đ trong MoMo, hết hạn 31/10. Mở ví > Ưu đãi > Quà của tôi dùng ngay!"
"sms_norm_00036","phase1_00036","Ban co 10.000D qua Nap Dien Thoai & 140.000D qua khac trong MoMo, het han 31/10. Mo Vi > UU DAI > QUA CUA TOI dung ngay!","Bạn có 10.000đ qua nạp điện thoại & 140.000đ qua khác trong MoMo, hết hạn 31/10. Mở ví > Ưu đãi > Quà của tôi dùng ngay!"
"sms_norm_00037","phase1_00037","[TB] Nap lien tay, Khuyen mai ngay. Tang 30% gia tri tat ca the nap trong ngay 29/10/2025 (20% de truy cap Internet, 10% de goi va nhan tin noi mang), uu dai su dung trong 15 ngay. CT danh rieng cho Quy khach khi nap the online tai cac vi dien tu, ung dung thanh toan hoac tai https://viettel.vn/naptienkm . LH 198 (0d).","[Thông báo] Nạp liền tay, khuyến mại ngay. Tặng 30% giá trị tất cả thẻ nạp trong ngày 29/10/2025 (20% để truy cập Internet, 10% để gọi và nhắn tin nội mạng), ưu đãi sử dụng trong 15 ngày. Chương trình dành riêng cho Quý khách khi nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm. Liên hệ 198 (0đ)."
"sms_norm_00038","phase1_00038","[TB] Nạp liền tay, Khuyến mại ngay. Tặng 30% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày hôm nay (20% để truy cập Internet, 10% để gọi và nhắn tin nội mạng), ưu đãi sử dụng trong 15 ngày. CT dành riêng cho Quý khách khi nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm . LH 198 (0đ).","[Thông báo] Nạp liền tay, khuyến mại ngay. Tặng 30% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày hôm nay (20% để truy cập Internet, 10% để gọi và nhắn tin nội mạng), ưu đãi sử dụng trong 15 ngày. Chương trình dành riêng cho Quý khách khi nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm. Liên hệ 198 (0đ)."
"sms_norm_00039","phase1_00039","[TB] NẠP THẺ ĐỦ ĐẦY - DATA XÀI NGAY! Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 25/10/2025. Tiền KM sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm . Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng.","[Thông báo] Nạp thẻ đủ đầy - Data xài ngay! Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 25/10/2025. Tiền khuyến mãi sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm. Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng."
"sms_norm_00040","phase1_00040","[TB] Chỉ với 3K - Cần chi wifi! 1. Soạn 5G10 gửi 191: 3.000đ (giá gốc 10.000đ) có 6GB. 2. Soạn ST7K gửi 191: 3.000đ (giá gốc 7.000đ) có 1GB. Ưu đãi sử dụng đến 24h ngày đăng ký, các gói cước gia hạn theo ngày với giá gốc. CT áp dụng với lần đăng ký đầu tiên đến 30/10 cho TB nhận được tin nhắn. LH 198 (0đ).","[Thông báo] Chỉ với 3 ngàn - Cần chi wifi! 1. Soạn 5G10 gửi 191: 3.000đ (giá gốc 10.000đ) có 6GB. 2. Soạn ST7K gửi 191: 3.000đ (giá gốc 7.000đ) có 1GB. Ưu đãi sử dụng đến 24h ngày đăng ký, các gói cước gia hạn theo ngày với giá gốc. Chương trình áp dụng với lần đăng ký đầu tiên đến 30/10 cho thuê bao nhận được tin nhắn. Liên hệ 198 (0đ)."
"sms_norm_00041","phase1_00041","[QC] Cơ hội TRÚNG XE MÁY HONDA SH 125i PHIÊN BẢN THỂ THAO khi hòa mạng Internet Viettel và đóng trước cước từ 6 tháng trở lên, cước thuê bao chỉ từ 220.000đ/tháng. LH 18008168 (0đ) để được tư vấn gói cước và phí hòa mạng. CT áp dụng từ 1/10 - 31/12/2025 tại TP. Hồ Chí Minh. Từ chối QC, soạn TC3 gửi 199.","[Quảng cáo] Cơ hội trúng xe máy Honda SH 125i phiên bản thể thao khi hòa mạng Internet Viettel và đóng trước cước từ 6 tháng trở lên, cước thuê bao chỉ từ 220.000 đồng/tháng. Liên hệ 18008168 (0 đồng) để được tư vấn gói cước và phí hòa mạng. Chương trình áp dụng từ 1/10 - 31/12/2025 tại TP. Hồ Chí Minh. Từ chối quảng cáo, soạn TC3 gửi 199."
"sms_norm_00042","phase1_00042","[TB] Nap lien tay, Khuyen mai ngay. Tang 30% gia tri tat ca the nap trong ngay 22/10/2025 (20% de truy cap Internet, 10% de goi va nhan tin noi mang), uu dai su dung trong 15 ngay. CT danh rieng cho Quy khach khi nap the online tai cac vi dien tu, ung dung thanh toan hoac tai https://viettel.vn/naptienkm . LH 198 (0d).","[Thông báo] Nạp liên tay, khuyến mại ngay. Tặng 30% giá trị tất cả thẻ nạp trong ngày 22/10/2025 (20% để truy cập Internet, 10% để gọi và nhận tin nhắn nội mạng), ưu đãi sử dụng trong 15 ngày. Chương trình dành riêng cho quý khách khi nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm. Liên hệ 198 (0 đồng)."
"sms_norm_00043","phase1_00043","[TB] MTTQ Việt Nam kêu gọi chung tay ủng hộ đồng bào bị thiệt hại do bão lũ gây ra. Các tài khoản tiếp nhận: 55102025 tại Vietinbank; 8639699999 tại BIDV; 1400666102025 tại Agribank; 8888881010 tại Vietcombank; 0606 tại MBbank.","[Thông báo] Ủy ban Mặt trận Tổ quốc Việt Nam kêu gọi chung tay ủng hộ đồng bào bị thiệt hại do bão lũ gây ra. Các tài khoản tiếp nhận: 55102025 tại VietinBank; 8639699999 tại BIDV; 1400666102025 tại Agribank; 8888881010 tại Vietcombank; 0606 tại MBBank."
"sms_norm_00044","phase1_00044","[TB] Mừng 25 năm Viettel Telecom - Cảm ơn Quý khách đã lựa chọn và đồng hành! Để nhận ưu đãi data và điểm Viettel++ tương ứng với số năm Quý khách đã gắn bó cùng Viettel, truy cập https://vietteltelecom25.tv360.vn ngay trong ngày 15/10/2025. Chi tiết LH 198 (0đ). Trân trọng!","[Thông báo] Mừng 25 năm Viettel Telecom - Cảm ơn quý khách đã lựa chọn và đồng hành! Để nhận ưu đãi data và điểm Viettel++ tương ứng với số năm quý khách đã gắn bó cùng Viettel, truy cập https://vietteltelecom25.tv360.vn ngay trong ngày 15/10/2025. Chi tiết liên hệ 198 (0 đồng). Trân trọng!"
"sms_norm_00045","phase1_00045","[TB] Nap lien tay, Khuyen mai ngay. Tang 30% gia tri tat ca the nap trong ngay 29/09/2025 (20% de truy cap Internet, 10% de goi va nhan tin noi mang), uu dai su dung trong 15 ngay. CT danh rieng cho Quy khach khi nap the online tai cac vi dien tu, ung dung thanh toan hoac tai https://viettel.vn/naptienkm . LH 198 (0d).","[Thông báo] Nạp liên tay, khuyến mại ngay. Tặng 30% giá trị tất cả thẻ nạp trong ngày 29/09/2025 (20% để truy cập Internet, 10% để gọi và nhận tin nhắn nội mạng), ưu đãi sử dụng trong 15 ngày. Chương trình dành riêng cho quý khách khi nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm. Liên hệ 198 (0 đồng)."
"sms_norm_00046","phase1_00046","Ban co 10.000D qua Nap Dien Thoai & 140.000D qua khac trong MoMo, het han 30/9. Mo Vi > UU DAI > QUA CUA TOI dung ngay!","Bạn có 10.000 đồng qua nạp điện thoại & 140.000 đồng qua khắc trong MoMo, hết hạn 30/9. Mở ví > Ưu đãi > Quà của tôi dùng ngay!"
"sms_norm_00047","phase1_00047","Ban co the qua NAP DIEN THOAI MIEN PHI 10.000D trong MoMo, het han 30/9. Mo Vi > UU DAI > QUA CUA TOI dung ngay!","Bạn có thể nhận nạp điện thoại miễn phí 10.000 đồng trong MoMo, hết hạn 30/9. Mở ví > Ưu đãi > Quà của tôi dùng ngay!"
"sms_norm_00048","phase1_00048","[TB] NẠP THẺ ĐỦ ĐẦY - DATA XÀI NGAY! Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 25/09/2025. Tiền KM sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm . Chi tiết gọi 198 bấm phím 1 (0đ). Trân trọng.","[Thông báo] Nạp thẻ đủ đầy - data xài ngay! Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 25/09/2025. Tiền khuyến mại sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm. Chi tiết gọi 198 bấm phím 1 (0 đồng). Trân trọng."
"sms_norm_00049","phase1_00049","[TB] Chỉ với 3K - Cần chi wifi! 1. Soạn 5G10 gửi 191: 3.000đ (giá gốc 10.000đ) có 6GB. 2. Soạn ST7K gửi 191: 3.000đ (giá gốc 7.000đ) có 1GB. Ưu đãi sử dụng đến 24h ngày đăng ký, các gói cước gia hạn theo ngày với giá gốc. CT áp dụng với lần đăng ký đầu tiên đến 30/09 cho TB nhận được tin nhắn. LH 198 (0đ).","[Thông báo] Chỉ với 3 ngàn - Cần chi wifi! 1. Soạn 5G10 gửi 191: 3.000đ (giá gốc 10.000đ) có 6GB. 2. Soạn ST7K gửi 191: 3.000đ (giá gốc 7.000đ) có 1GB. Ưu đãi sử dụng đến 24h ngày đăng ký, các gói cước gia hạn theo ngày với giá gốc. Chương trình áp dụng với lần đăng ký đầu tiên đến 30/09 cho thuê bao nhận được tin nhắn. Liên hệ 198 (0đ)."
