id,cat,content_before,content_after
1440,Giả mạo ngân hàng,[SHB DIGIBANK] C4nh b4o! T41 kh04n b1 l0 th0ng t1n. V40 shbdigibank.vn-lk.top z3 d01 m4 f1n.,[SHB DIGIBANK] Cảnh báo! Tài khoản bị lộ thông tin. Vào shbdigibank.vn-lk.top để đổi mã PIN.
1441,Giả mạo ngân hàng,[VIETCOMBANK] th0ng b4o h3t h4n d1ch vu. V40 vietcombank-online.vip z3 j14 h4n truoc 21h.,[VIETCOMBANK] Thông báo hết hạn dịch vụ. Vào vietcombank-online.vip để gia hạn trước 21h.
1442,Cờ bạc / Betting,Dky + 888k! (N4p 100k nh4n 388k) 1 v0ng cu0c l4 rut MAXX 9.999k. N0 Hu. B4n C4. BCR... DK: t.ly/gX7k1 zXpQ,Đăng ký + 888k! (Nạp 100k nhận 388k) 1 vòng cược là rút MAXX 9.999k. Nổ Hũ. Bắn Cá. BCR... DK: t.ly/gX7k1 zXpQ
1444,Cờ bạc / Betting,"V7B3t t0p 3 nh4 c41 VN, tuy3n d41 ly h04 h0ng 55%, tr4 t1en nh13u h1nh thuc, l13n h3 z4l0 Hu0ng: 0912345678 L1nk: https://v7v7.bet","V7B3t top 3 nhà cái VN, tuyển đại lý hoa hồng 55%, trả tiền nhiều hình thức, liên hệ Zalo Huong: 0912345678 Link: https://v7v7.bet"
1445,Cờ bạc / Betting,"K1m L0ng C4s1n0 t4ng ng4y 68-888K kh1 d4ng ky t41: d82yy.com, l1en h3 CSKH d3 nh4n. B4cc4r4t truc t13p, ch01 g4, x0 s0, rut t13n 3 fhut.","Kim Long Casino tặng ngay 68-888K khi đăng ký tại: d82yy.com, liên hệ CSKH để nhận. Baccarat trực tiếp, chọi gà, xổ số, rút tiền 3 phút."
1447,Cờ bạc / Betting,"J!L!-Game m0i t4g b4n 199k kh1 t41 @pp, x2 n4p d4u, rut ng4y k0 c4n n4p, ch0i N.0hu, B.4nC4... Cl1ck: https://jl66.cc/mP8zL","J!L!-Game mới tặng bạn 199k khi tải app, x2 nạp đầu, rút ngay không cần nạp, chơi Nổ Hũ, Bắn Cá... Click: https://jl66.cc/mP8zL"
1448,Cờ bạc / Betting,"4w1n-KM_Dky+100k. N4p 50k nh4n 150k. Rut t13n m4x 10.000k. Htr4 5% m01 ng4y. NoHu, B4nC4. DK: t.ly/Aw9n2 rT5u","4w1n-KM_Đăng ký+100k. Nạp 50k nhận 150k. Rút tiền max 10.000k. Hỗ trợ 5% mỗi ngày. Nổ Hũ, Bắn Cá. DK: t.ly/Aw9n2 rT5u"
1449,Cờ bạc / Betting,"G141 tr1 2Q tuy3n d41 ly h04 h0ng @60%, tr4 t13n linh h04t, l13n h3 z4l0 M1nh: 0945678123 L1nk: https://2q2q.vip","Giải trí 2Q tuyển đại lý hoa hồng @60%, trả tiền linh hoạt, liên hệ Zalo Minh: 0945678123 Link: https://2q2q.vip"
1450,Cờ bạc / Betting,"789B3t ch40 mung th4ng m01 t4ng 88-888K kh1 dky t41: b3t789.com, l1en he CSKH nh4n. B4cc4r4t, ch01 g4, th3 th40. Rut t13n 5 fhut.","789B3t chào mừng tháng mới tặng 88-888K khi đăng ký tại: b3t789.com, liên hệ CSKH nhận. Baccarat, chọi gà, thể thao. Rút tiền 5 phút."
1451,Cờ bạc / Betting,Kw1n668 (N4p 200k nh4n 500k) 1 v0ng cu0c rut MAXX 20.000k. N0 Hu. B4n C4. BCR... DK: t.ly/Kw1n4 qW9e,Kw1n668 (Nạp 200k nhận 500k) 1 vòng cược rút MAXX 20.000k. Nổ Hũ. Bắn Cá. BCR... DK: t.ly/Kw1n4 qW9e
1453,Cờ bạc / Betting,"K1m L0ng C4s1n0 tuy3n CTV h04 h0ng @50%, l13n h3 z4l0 L4n: 0977123456 L1nk: https://klcasino.vip","Kim Long Casino tuyển CTV hoa hồng @50%, liên hệ Zalo Lan: 0977123456 Link: https://klcasino.vip"
1454,Cờ bạc / Betting,"8D4Y t0p 1 nh4 c41 t4ng 100-588K kh1 dky t41: 8d8d.com, l1en h3 CSKH. B4cc4r4t, ch01 g4, x0 s0, rut t13n 2 fhut 24/24.","8D4Y top 1 nhà cái tặng 100-588K khi đăng ký tại: 8d8d.com, liên hệ CSKH. Baccarat, chọi gà, xổ số, rút tiền 2 phút 24/24."
1455,Cờ bạc / Betting,J!L! (N4p 50k nh4n 200k) 1 v0ng cu0c l4 rut MAXX 5.000k. N0 Hu. B4n C4. BCR... DK: t.ly/J1l15 hY6t,J!L! (Nạp 50k nhận 200k) 1 vòng cược là rút MAX 5.000k. Nổ Hũ. Bắn Cá. BCR... DK: t.ly/J1l15 hết
1457,Cờ bạc / Betting,G141 tr1 2Q (N4p 100k nh4n 300k) m01 ng4y rut MAXX 15.000k. N0 Hu. B4n C4. BCR... DK: t.ly/2q2q6 nM2b,Giải trí 2Q (Nạp 100k nhận 300k) mỗi ngày rút MAX 15.000k. Nổ Hũ. Bắn Cá. BCR... DK: t.ly/2q2q6 nM2b
1458,Cờ bạc / Betting,"789B3t-Tuyen d41 ly h04 h0ng @55%, k0 c4n v0n, l13n h3 z4l0 Tuan: 0909888777 L1nk: https://789b.bet","789B3t-Tuyển đại lý hoa hồng @55%, không cần vốn, liên hệ Zalo Tuấn: 0909888777 Link: https://789b.bet"
1459,Cờ bạc / Betting,"Kw1n668 ch40 mung n4m m01 t4ng 99-999K kh1 dky t41: k668k.com, l1en h3 CSKH. B4cc4r4t, th3 th40, x0 s0. Rut t13n 3 fhut.","Kw1n668 chào mừng năm mới tặng 99-999K khi đăng ký tại: k668k.com, liên hệ CSKH. Baccarat, thể thao, xổ số. Rút tiền 3 phút."
1460,Cờ bạc / Betting,V7B3t (N4p 500k nh4n 1200k) 1 v0ng cu0c rut MAXX 50.000k. N0 Hu. B4n C4. BCR... DK: t.ly/V7b77 xZ3s,V7B3t (Nạp 500k nhận 1200k) 1 vòng cược rút MAX 50.000k. Nổ Hũ. Bắn Cá. BCR... DK: t.ly/V7b77 xZ3s
1462,Cờ bạc / Betting,"8D4Y tuy3n d41 ly h04 h0ng @50%, tr4 h0ng ng4y, l13n h3 z4l0 H41: 0911222333 L1nk: https://8day8.vip","8D4Y tuyển đại lý hoa hồng @50%, trả hoa hồng ngày, liên hệ Zalo Hải: 0911222333 Link: https://8day8.vip"
1463,Cờ bạc / Betting,"J!L! t0p nh4 c41 Uy t1n t4ng 50-500K kh1 dky t41: jili8.com, l1en h3 CSKH. B4cc4r4t, ch01 g4, x0 s0, rut t13n 2 fhut.","J!L! top nhà cái Uy tín tặng 50-500K khi đăng ký tại: jili8.com, liên hệ CSKH. Baccarat, chọi gà, xổ số, rút tiền 2 phút."
1464,Cờ bạc / Betting,4w1n (N4p 100k nh4n 400k) 1 v0ng cu0c rut MAXX 10.000k. N0 Hu. B4n C4. BCR... DK: t.ly/Aw4n8 vC5x,4w1n (Nạp 100k nhận 400k) 1 vòng cược rút MAX 10.000k. Nổ Hũ. Bắn Cá. BCR... DK: t.ly/Aw4n8 vC5x
1466,Cờ bạc / Betting,"789B3t t0p 1 VN t4ng 77-777K kh1 dky t41: b789b.com, l1en h3 CSKH. B4cc4r4t, th3 th40, x0 s0. Rut t13n 5 fhut 24/7.","789B3t top 1 VN tặng 77-777K khi đăng ký tại: b789b.com, liên hệ CSKH. Baccarat, thể thao, xổ số. Rút tiền 5 phút 24/7."
1467,Cờ bạc / Betting,"Kw1n668 tuy3n CTV h04 h0ng @60%, l13n h3 z4l0 Vy: 0981234455 L1nk: https://kw668.bet","Kw1n668 tuyển CTV hoa hồng @60%, liên hệ Zalo Vy: 0981234455 Link: https://kw668.bet"
1468,Cờ bạc / Betting,V7B3t (N4p 100k nh4n 288k) 1 v0ng cu0c rut MAXX 8.000k. N0 Hu. B4n C4. BCR... DK: t.ly/V7b39 lK8j,V7B3t (Nạp 100k nhận 288k) 1 vòng cược rút MAX 8.000k. Nổ Hũ. Bắn Cá. BCR... DK: t.ly/V7b39 lK8j
1469,Cờ bạc / Betting,K1m L0ng C4s1n0 (N4p 300k nh4n 888k) rut MAXX 30.000k. N0 Hu. B4n C4. BCR... DK: t.ly/Kl881 mJ4h,Kim Long Casino (Nạp 300k nhận 888k) rút MAX 30.000k. Nổ Hũ. Bắn Cá. BCR... DK: t.ly/Kl881 mJ4h
1471,Cờ bạc / Betting,"J!L! tuy3n d41 ly h04 h0ng @55%, tr4 h0ng m01 ng4y, l13n h3 z4l0 Yen: 0933445566 L1nk: https://jili.vip","J!L! tuyển đại lý hoa hồng @55%, trả hoa hồng mỗi ngày, liên hệ Zalo Yến: 0933445566 Link: https://jili.vip"
1472,Cờ bạc / Betting,"4w1n t0p nh4 c41 t4ng 88-666K kh1 dky t41: awin1.com, l1en h3 CSKH. B4cc4r4t, ch01 g4, x0 s0, rut t13n 2 fhut.","4w1n top nhà cái tặng 88-666K khi đăng ký tại: awin1.com, liên hệ CSKH. Baccarat, chọi gà, xổ số, rút tiền 2 phút."
1473,Cờ bạc / Betting,G141 tr1 2Q (N4p 50k nh4n 188k) 1 v0ng cu0c rut MAXX 6.000k. N0 Hu. B4n C4. BCR... DK: t.ly/2q992 dS1a,Giải trí 2Q (Nạp 50k nhận 188k) 1 vòng cược rút MAX 6.000k. Nổ Hũ. Bắn Cá. BCR... DK: t.ly/2q992 dS1a
1475,Cờ bạc / Betting,"Kw1n668 t0p 1 t4ng 68-888K kh1 dky t41: k668v.com, l1en h3 CSKH. B4cc4r4t, th3 th40, x0 s0. Rut t13n 3 fhut 24/24.","Kw1n668 top 1 tặng 68-888K khi đăng ký tại: k668v.com, liên hệ CSKH. Baccarat, thể thao, xổ số. Rút tiền 3 phút 24/24."
1476,Cờ bạc / Betting,"V7B3t tuy3n d41 ly h04 h0ng @50%, l13n h3 z4l0 N4m: 0922334455 L1nk: https://v7v7.vip","V7B3t tuyển đại lý hoa hồng @50%, liên hệ Zalo Nam: 0922334455 Link: https://v7v7.vip"
1477,Cờ bạc / Betting,K1m L0ng C4s1n0 (N4p 100k nh4n 333k) 1 v0ng cu0c rut MAXX 12.000k. N0 Hu. B4n C4. BCR... DK: t.ly/Kl113 gH4k,Kim Long Casino (Nạp 100k nhận 333k) 1 vòng cược rút MAX 12.000k. Nổ Hũ. Bắn Cá. BCR... DK: t.ly/Kl113 gH4k
1478,Cờ bạc / Betting,8D4Y (N4p 200k nh4n 600k) 1 v0ng cu0c rut MAXX 18.000k. N0 Hu. B4n C4. BCR... DK: t.ly/8d224 jK7l,8D4Y (Nạp 200k nhận 600k) 1 vòng cược rút MAXX 18.000k. Nổ Hũ. Bắn Cá. BCR... DK: t.ly/8d224 jK7l
1480,Cờ bạc / Betting,"4w1n tuy3n CTV h04 h0ng @60%, l13n h3 z4l0 Thuy: 0966778899 L1nk: https://awin.bet","4w1n tuyển CTV hoa hồng @60%, liên hệ zalo Thủy: 0966778899 Link: https://awin.bet"
1481,Cờ bạc / Betting,"G141 tr1 2Q ch40 mung n4m m01 t4ng 100-888K kh1 dky t41: 2q2q.com, l1en h3 CSKH. B4cc4r4t, x0 s0, rut t13n 5 fhut.","Giải trí 2Q chào mừng năm mới tặng 100-888K khi đăng ký tại: 2q2q.com, liên hệ CSKH. Baccarat, xổ số, rút tiền 5 phút."
1482,Giả mạo ngân hàng,[VCB DIGIBANK] T4i kh04n b1 kh04 do d4ng nh4p b4t thu0ng. Vui l0ng x4c thuc t41 vcbdigibank.vn-sh.top truoc 24h,[VCB DIGIBANK] Tài khoản bị khóa do đăng nhập bất thường. Vui lòng xác thực tại vcbdigibank.vn-sh.top trước 24h
1483,Giả mạo ngân hàng,BIDV: He th0ng f4t h13n t4i kh04n c0 d4u h13u b1 x4m f4m. Z4ng nh4p b1dv-online.vip d3 b4o v3 t4i s4n ngay,BIDV: Hệ thống phát hiện tài khoản có dấu hiệu bị xâm phạm. Đăng nhập bidv-online.vip để bảo vệ tài sản ngay
1484,Giả mạo ngân hàng,[MSB] Thong bao: T4i kho4n cua b4n s3 b1 t4m d7ng d1ch vu v4o luc 22h. TruY c4p msb.vn-tr.top d3 k1ch ho4t l4i,[MSB] Thông báo: Tài khoản của bạn sẽ bị tạm dừng dịch vụ vào lúc 22h. Truy cập msb.vn-tr.top để kích hoạt lại
1485,Giả mạo ngân hàng,TECHCOMBANK canh bao: f4t h13n th13t b1 l4 zang nh4p. Neu kh0ng f41 b4n b4m v4o techcombank.cc d3 huy jiao djch,TECHCOMBANK cảnh báo: phát hiện thiết bị lạ đăng nhập. Nếu không phải bạn bấm vào techcombank.cc để hủy giao dịch
1487,Giả mạo ngân hàng,MB BANK: Quy kh4ch v0 lu1ng c4p nh4t th0ng t1n x4c thuc kyc d3 tr4nh b1 kh04 t4i kh04n t4i mbbank.vn-kt.top,MB BANK: Quý khách vui lòng cập nhật thông tin xác thực kyc để tránh bị khóa tài khoản tại mbbank.vn-kt.top
1490,Giả mạo ngân hàng,SACOMBANK: f4t h13n jiao djch b4t thu0ng 50 tr13u z0ng. Truy c4p sacombank.vn-gd.top d3 h0an t4c n3u kh0ng f4i b4n,SACOMBANK: phát hiện giao dịch bất thường 50 triệu đồng. Truy cập sacombank.vn-gd.top để hoàn tác nếu không phải bạn
1494,Giả mạo ngân hàng,[ACB] f4t h13n l3nh chuy3n t13n 20tr tu t4i kh04n. N3u kh0ng f4i b4n h4y v4o acb.vn-kh.top d3 kjp th0i ng4n ch4n,[ACB] phát hiện lệnh chuyển tiền 20tr từ tài khoản. Nếu không phải bạn hãy vào acb.vn-kh.top để kịp thời ngăn chặn
1496,Giả mạo ngân hàng,TPBANK: He thong b4o tr1 t4i kh04n. Y3u c4u x4c thuc l4i th0ng t1n t4i tpbank-online.vip d3 kh0ng b1 g14n d04n,TPBANK: Hệ thống báo trì tài khoản. Yêu cầu xác thực lại thông tin tại tpbank-online.vip để không bị gián đoạn
1499,Giả mạo ngân hàng,[SACOMBANK] He th0ng k13m tr4 th4y th13u x4c thuc sinh trac h0c. Bam sacombank.cc d3 c4p nh4t truoc kh1 b1 kh04,[SACOMBANK] Hệ thống kiểm tra thấy thiếu xác thực sinh trắc học. Bấm sacombank.cc để cập nhật trước khi bị khóa
1500,Giả mạo ngân hàng,VIETCOMBANK: Ta1 kh0an b4n se b1 tru f3 duy tr1 2tr/thang. Bam vao vietcombank.vn-df.top d3 huY d1ch vu nay,VIETCOMBANK: Tài khoản bạn sẽ bị trừ phí duy trì 2tr/tháng. Bấm vào vietcombank.vn-df.top để hủy dịch vụ này
1501,Giả mạo ngân hàng,VCB DIGIBANK: f4t h13n t4i kh04n z4ng b1 t4n c0ng tu x4. Vui l0ng z4ng nh4p vcbdigibank-online.vip d3 b4o m4t,VCB DIGIBANK: phát hiện tài khoản đang bị tấn công từ xa. Vui lòng đăng nhập vcbdigibank-online.vip để bảo mật
1502,Giả mạo ngân hàng,[BIDV] Thong bao: L3nh rut t13n t4i ATM d4ng d0i x4c nh4n. Kh0ng f4i b4n th3 h4y t4i bidv.cc ngay l4p tuc,[BIDV] Thông báo: Lệnh rút tiền tại ATM đang đợi xác nhận. Không phải bạn thì hãy tải bidv.cc ngay lập tức
1503,Giả mạo ngân hàng,TECHCOMBANK: Ta1 kh0an cu4 b4n bi k3 x4u x4m nh4p. Bam v4o techcombank.vn-bm.top d3 k1ch ho4t ch3 d0 b4o v3,TECHCOMBANK: Tài khoản của bạn bị kẻ xấu xâm nhập. Bấm vào techcombank.vn-bm.top để kích hoạt chế độ bảo vệ
1504,Giả mạo ngân hàng,[ACB] Canh bao: Th3 t1n dung cua b4n d4 b1 t4m kh0a. Vui l0ng v4o acb-online.vip d3 mo l4i d1ch vu truoc 18h,[ACB] Cảnh báo: Thẻ tín dụng của bạn đã bị tạm khóa. Vui lòng vào acb-online.vip để mở lại dịch vụ trước 18h
1505,Giả mạo ngân hàng,MB BANK: Chuc mung wy kh4ch nh4n zu0c g01 h0 tr0 5tr. B4m v4o mbbank.vn-ht.top d3 nh4n t13n v3 t4i kh04n,MB BANK: Chúc mừng quý khách nhận được gói hỗ trợ 5tr. Bấm vào mbbank.vn-ht.top để nhận tiền về tài khoản
1506,Giả mạo ngân hàng,[TPBANK] f4t h13n y3u c4u rut t04n b0 s0 zu. N3u kh0ng f4i b4n b4m tpbank.cc d3 ng4n ch4n jiao djch n4y,[TPBANK] phát hiện yêu cầu rút toàn bộ số dư. Nếu không phải bạn bấm tpbank.cc để ngăn chặn giao dịch này
1507,Giả mạo ngân hàng,SHB DIGIBANK: Ta1 kh0an cu4 b4n se bi k3t thuc v4o cu0i ng4y. Truy c4p shbdigibank-online.vip d3 g14 h4n,SHB DIGIBANK: Tài khoản của bạn sẽ bị kết thúc vào cuối ngày. Truy cập shbdigibank-online.vip để gia hạn
1508,Giả mạo ngân hàng,[MSB] Canh bao: Ung zung MSB m01 zu0c k1ch ho4t. N3u kh0ng f4i b4n b4m msb.vn-security.top d3 t4m kh0a,[MSB] Cảnh báo: Ứng dụng MSB mới được kích hoạt. Nếu không phải bạn bấm msb.vn-security.top để tạm khóa
1510,Giả mạo ngân hàng,[VIETCOMBANK] f4t h13n t4i kh04n th4nh t04n wu0c t3 tr4i f3p. B4m vietcombank.cc d3 x4c nh4n z4nh tnh ng4y,[VIETCOMBANK] Phát hiện tài khoản thanh toán quốc tế trái phép. Bấm vietcombank.cc để xác nhận danh tính ngay
1511,Giả mạo ngân hàng,VCB DIGIBANK: He th0ng s3 t4m d7ng ch7ng kh04n n3u kh0ng x4c thuc. V4o vcbdigibank.vn-ck.top truoc 16h,VCB DIGIBANK: Hệ thống sẽ tạm dừng chứng khoán nếu không xác thực. Vào vcbdigibank.vn-ck.top trước 16h
1512,Giả mạo ngân hàng,[BIDV] Thong bao: Ta1 kh0an cu4 b4n b1 ngh1 ng0 r7a t13n. Vui l0ng x4c thuc t4i bidv-online.vip d3 m0 kh04,[BIDV] Thông báo: Tài khoản của bạn bị nghi ngờ rửa tiền. Vui lòng xác thực tại bidv-online.vip để mở khóa
1513,Giả mạo ngân hàng,TECHCOMBANK: Wy kh4ch c0 kh04n v4y s4p z3n h4n th4nh t04n. Vui l0ng v4o techcombank.cc d3 x3m ch1 t13t,TECHCOMBANK: Quý khách có khoản vay sắp đến hạn thanh toán. Vui lòng vào techcombank.cc để xem chi tiết
1514,Giả mạo ngân hàng,[ACB] Canh bao r0 r1 m4t kh4u b4nk1ng. Vui l0ng th4y z0i t41 acb.vn-security.top d3 tr4nh m4t t4i s4n,[ACB] Cảnh báo rò rỉ mật khẩu banking. Vui lòng thay đổi tại acb.vn-security.top để tránh mất tài sản
1517,Giả mạo ngân hàng,SHB DIGIBANK: f4t h13n cu0c g01 v1z30 kyc j14 m4o. Vui l0ng z4ng nh4p shbdigibank.cc d3 b4o m4t t4i kh04n,SHB DIGIBANK: Phát hiện cuộc gọi video KYC giả mạo. Vui lòng đăng nhập shbdigibank.cc để bảo mật tài khoản
1518,Giả mạo ngân hàng,[MSB] Wy kh4ch vu4 th4y z0i s0 z13n th04i nh4n OTP. N3u kh0ng f4i b4n v4o msb-online.vip d3 huy l3nh,[MSB] Quý khách vừa thay đổi số điện thoại nhận OTP. Nếu không phải bạn vào msb-online.vip để hủy lệnh
1520,Giả mạo ngân hàng,[VIETCOMBANK] Wy kh4ch zu0c t4ng 1 tr13u z0ng v4o t4i kh04n. B4m v4o vietcombank-online.vip d3 nh4n ng4y,[VIETCOMBANK] Quý khách được tặng 1 triệu đồng vào tài khoản. Bấm vào vietcombank-online.vip để nhận ngay
1562,Cờ bạc / Betting,"789Bet n4p 50k nh4n 150k. 1 v0ng cu0c rut m4x. N0 Hu, B4n C4. t.ly/kG8w2 XdErQ","789Bet nạp 50k nhận 150k. 1 vòng cược rút max. Nổ Hũ, Bắn Cá. t.ly/kG8w2 XdErQ"
1563,Cờ bạc / Betting,"Kwin668 t4i 4pp nh4n ngay 100k free. x3 n4p d4u. TLMN, X.0c-D.14. r4v3p.cc/mN4zP","Kwin668 tải app nhận ngay 100k free. x3 nạp đầu. TLMN, Xóc-Đĩa. r4v3p.cc/mN4zP"
1564,Cờ bạc / Betting,V7Bet ch40 mung th4nh v1en m01 nh4n 88k. Rut t1en f4st. w4y th0u. jiaitri.tech/vB9qL,V7Bet chào mừng thành viên mới nhận 88k. Rút tiền fast. Quay thấu. jiaitri.tech/vB9qL
1565,Cờ bạc / Betting,"Kim Long Casino ja1 tr1 d1nh c40. B4cc4r4t, ch01 g4, x0 s0. CSKH 24/24. d92ms.com","Kim Long Casino giải trí đỉnh cao. Baccarat, chọi gà, xổ số. CSKH 24/24. d92ms.com"
1566,Cờ bạc / Betting,8DAY n4p d4u x2 t41 x1u n0 hu. 1 v0ng cu0c rut l1en. t.ly/pL2mN sW8zX,8DAY nạp đầu x2 tài xỉu nổ hũ. 1 vòng cược rút liền. t.ly/pL2mN sW8zX
1567,Cờ bạc / Betting,JILI b4n c4 n0 hu cuc f3. T4i 4pp nh4n ngay code 50k. jili8.cc/aH5kR,JILI bắn cá nổ hũ cực phê. Tải app nhận ngay code 50k. jili8.cc/aH5kR
1568,Cờ bạc / Betting,"Awin t4ng 100% n4p d4u. TLMN, X0c z14, b4u cu4. rut t1en 3 fhut. awin6.vip/zX1pT","Awin tặng 100% nạp đầu. TLMN, Xóc đĩa, bầu cua. Rút tiền 3 phút. awin6.vip/zX1pT"
1569,Cờ bạc / Betting,"Giai tri 2Q n4p 100k nh4n 300k. x3 t41 kh04n. BCR, S0rt, NoHu. t.ly/hJ9r4 bN2mK","Giải trí 2Q nạp 100k nhận 300k. x3 tài khoản. BCR, Sport, Nổ Hũ. t.ly/hJ9r4 bN2mK"
1570,Cờ bạc / Betting,789Bet ja1 tr1 t41 x1u qu4ng c40. n4p rut f4st 1-1. dkx92.bet/uP4qS,789Bet giải trí tài xỉu quảng cáo. Nạp rút fast 1-1. dkx92.bet/uP4qS
1571,Cờ bạc / Betting,Kwin668 tang 68k cho th4nh v1en m01. Kh0ng c4n n4p rut m4x 500k. kwin7.tech/eW2zL,Kwin668 tặng 68k cho thành viên mới. Không cần nạp rút max 500k. kwin7.tech/eW2zL
1572,Cờ bạc / Betting,V7Bet b4cc4r4t l1ve tr7c t1ep. Gu1 v4 rut tr0ng 3 fhut. v7vn9.com,V7Bet baccarat live trực tiếp. Gửi và rút trong 3 phút. v7vn9.com
1573,Cờ bạc / Betting,Kim Long Casino n4p 200k t4ng 200k. Hu0ng d4n rut t1en f4st. t.ly/uI4oP qV1zL,Kim Long Casino nạp 200k tặng 200k. Hướng dẫn rút tiền fast. t.ly/uI4oP qV1zL
1574,Cờ bạc / Betting,8DAY r4 m4t s4nh c4 s1n0 m01. T4ng c0ze 100k kf1 t4i 4pp. 8day6.cc/mK9pX,8DAY ra mắt sảnh casino mới. Tặng code 100k khi tải app. 8day6.cc/mK9pX
1575,Cờ bạc / Betting,JILI game b41 d01 thu0ng uy t1n. N4p rut 1-1 kh0ng f3. jili9.vip/rT2nY,JILI game bài đổi thưởng uy tín. Nạp rút 1-1 không phí. jili9.vip/rT2nY
1577,Cờ bạc / Betting,"Giai tri 2Q th3 th40, x0 s0, d4 g4. CSKH fu fhu 24/7. t.ly/yR5tW zN8kP",Giải trí 2Q thể thao
1579,Cờ bạc / Betting,Kwin668 n0 hu j4ckf0t cuC kh7ng. T4i 4pp nh4n ngay 50k. kwin8.cc/bN7vX,Kwin668 nổ hũ jackpot cực khủng. Tải app nhận ngay 50k. kwin8.cc/bN7vX
1642,Cờ bạc / Betting,"789B3t: N4p 1OOk nh4n 2OOk, 1 v0ng cu0c rut MAXX 1O.OOOk. N0 Hu, B4n C4... DK: t.ly/rt56x pQ9w",789Bet: Nạp 100k nhận 200k
1646,Cờ bạc / Betting,"8D4Y: Dk1 t4ng 88k tr41 ngh13m, n4p 5Ok nh4n 188k. No Hu, B4n C4. Link: t.ly/v8x2z sW1e",8DAY: DK tặng 88k trải nghiệm
1647,Cờ bạc / Betting,"JILI_G4m3-m01_T4ng^588k khi-dk! x3 n4p d4u, rut-ng4y ko-c4n n4p. Link: jl66.tech/aB3cX",JILI_Game-mới_Tặng^588k khi-DK! x3 nạp đầu
1649,Cờ bạc / Betting,"Aw1n_Tuy3n D41 Ly_Ch13t kh4u 50%, tra_h04 h0ng-ng4y, Z4lo: 0899123456. Link: aw8.vip",Awin_Tuyển Đại Lý_Chiết khấu 50%
1650,Cờ bạc / Betting,"789B3t: G.em m01 t4g b4n 199k kh1 t41 4pp, x3 n4p d4u, ch01 T.LMN, X.oc-D.ia. Click: https://b789.cc/vT4uM",789Bet: Game mới tặng bạn 199k khi tải app
1660,Cờ bạc / Betting,"V7B3t: G.em m01 t4g b4n 299k kh1 t41 4pp, x3 n4p d4u, ch01 TLMN, X.oc-D.ia. Click: https://v7v7.cc/kL6jH",V7Bet: Game mới tặng bạn 299k khi tải app
